1998_15444_000000_000000	VI.--DUTY OF PRACTITIONER IN SUPPOSED CASE OF POISONING	VI.--DUTY OF PRACTITIONER IN SUPPOSED CASE OF POISONING	false	19.44	22.81	17.62989
1998_15444_000001_000000	If called to a case supposed or suspected to be one of poisoning, the medical man has two duties to perform: To save the patient's life, and to place himself in a position to give evidence if called on to do so. If life is extinct, his duty is a simple one.	If called to a case supposed or suspected to be one of poisoning, the medical man has two duties to perform: To save the patient's life, and to place himself in a position to give evidence if called on to do so. If life is extinct, his duty is a simple one.	false	23.42	40.27	18
1998_15444_000001_000001	He should make inquiries as to symptoms, and time at which food or medicine was last taken.	He should make inquiries as to symptoms, and time at which food or medicine was last taken.	true	40.61	46.24	15
1998_15444_000001_000002	He should take possession of any food, medicine, vomited matter, urine, or faeces, in the room, and should seal them up in clean vessels for examination.	He should take possession of any food, medicine, vomited matter, urine, or faeces, in the room, and should seal them up in clean vessels for examination.	true	46.76	56.59	14
1998_15444_000001_000003	He should notice the position and temperature of the body, the condition of rigor mortis, marks of violence, appearance of lips and mouth.	He should notice the position and temperature of the body, the condition of rigor mortis, marks of violence, appearance of lips and mouth.	true	57.89	66.24	16
1998_15444_000001_000004	He should not make a post-mortem examination without an order in writing from the coroner.	He should not make a post mortem examination without an order in writing from the coroner.	false	66.24	72.31	13
1998_15444_000001_000005	In making a post-mortem examination, the alimentary canal should be removed and preserved for further investigation.	In making a post mortem examination, the alimentary canal should be removed and preserved for further investigation.	true	72.8	79.45	14
1998_15444_000001_000006	A double ligature should be passed round the oesophagus, and also round the duodenum a few inches below the pylorus.	A double ligature should be passed round the oesophagus, and also round the duodenum a few inches below the pylorus.	true	80.12	87.88	15
1998_15444_000001_000007	The gut and the gullet being cut across between these ligatures, the stomach may be removed entire without spilling its contents.	The gut and the gullet being cut across between these ligatures, the stomach may be removed entire without spilling its contents.	false	88.82	96.37	15
1998_15444_000001_000008	The intestines may be removed in a similar way, and the whole or a portion of the liver should be preserved.	The intestines may be removed in a similar way, and the whole or a portion of the liver should be preserved.	true	97.22	103.69	14
1998_15444_000001_000009	These should all be put in separate jars without any preservative fluid, tied up, sealed, labelled, and initialled.	These should all be put in separate jars without any preservative fluid, tied up, sealed, labelled, and initialled.	true	104.15	111.55	17
1998_15444_000001_000010	All observations should be at once committed to writing, or they will not be admitted by the court for the purpose of refreshing the memory whilst giving evidence.	All observations should be at once committed to writing, or they will not be admitted by the court for the purpose of refreshing the memory whilst giving evidence.	true	112.19	121	13
1998_15444_000001_000011	If the medical practitioner is in doubt on any point, he should obtain technical assistance from someone who has paid attention to the subject.	If the medical practitioner is in doubt on any point, he should obtain technical assistance from someone who has paid attention to the subject.	true	121.7	129.1	14
1998_15444_000002_000000	In a case of attempted suicide by poisoning, is it the duty of the doctor to inform the police?	In a case of attempted suicide by poisoning, is it the duty of the doctor to inform the police?	true	130.7	136.51	13
1998_15444_000002_000001	He would be unwise to do so.	He would be unwise to do so.	true	137.03	139.15	16
1998_15444_000002_000002	He had much better stick to his own business, and not act as an amateur detective.	He had much better stick to his own business, and not act as an amateur detective.	true	139.46	144.22	14
