1998_15444_000001_000001	He should make inquiries as to symptoms, and time at which food or medicine was last taken.	He should make inquiries as to symptoms, and time at which food or medicine was last taken.
1998_15444_000001_000002	He should take possession of any food, medicine, vomited matter, urine, or faeces, in the room, and should seal them up in clean vessels for examination.	He should take possession of any food, medicine, vomited matter, urine, or faeces, in the room, and should seal them up in clean vessels for examination.
1998_15444_000001_000003	He should notice the position and temperature of the body, the condition of rigor mortis, marks of violence, appearance of lips and mouth.	He should notice the position and temperature of the body, the condition of rigor mortis, marks of violence, appearance of lips and mouth.
1998_15444_000001_000005	In making a post-mortem examination, the alimentary canal should be removed and preserved for further investigation.	In making a post mortem examination, the alimentary canal should be removed and preserved for further investigation.
1998_15444_000001_000006	A double ligature should be passed round the oesophagus, and also round the duodenum a few inches below the pylorus.	A double ligature should be passed round the oesophagus, and also round the duodenum a few inches below the pylorus.
1998_15444_000001_000008	The intestines may be removed in a similar way, and the whole or a portion of the liver should be preserved.	The intestines may be removed in a similar way, and the whole or a portion of the liver should be preserved.
1998_15444_000001_000009	These should all be put in separate jars without any preservative fluid, tied up, sealed, labelled, and initialled.	These should all be put in separate jars without any preservative fluid, tied up, sealed, labelled, and initialled.
1998_15444_000001_000010	All observations should be at once committed to writing, or they will not be admitted by the court for the purpose of refreshing the memory whilst giving evidence.	All observations should be at once committed to writing, or they will not be admitted by the court for the purpose of refreshing the memory whilst giving evidence.
1998_15444_000001_000011	If the medical practitioner is in doubt on any point, he should obtain technical assistance from someone who has paid attention to the subject.	If the medical practitioner is in doubt on any point, he should obtain technical assistance from someone who has paid attention to the subject.
1998_15444_000002_000000	In a case of attempted suicide by poisoning, is it the duty of the doctor to inform the police?	In a case of attempted suicide by poisoning, is it the duty of the doctor to inform the police?
1998_15444_000002_000001	He would be unwise to do so.	He would be unwise to do so.
1998_15444_000002_000002	He had much better stick to his own business, and not act as an amateur detective.	He had much better stick to his own business, and not act as an amateur detective.
1998_15444_000003_000000	VII.--TREATMENT OF POISONING	seven.--TREATMENT OF POISONING
