2033_164916_000000_000000	"'Twas as I feared the coming ills discerning: * But unto Allah we are all returning."	"'twas as I feared the coming ills discerning: asterisk But unto Allah we are all returning."	false	0	7.17	22.569263
2033_164916_000001_000000	Then the Eunuch cried upon the pages, saying, "Take him off the ass." So they carried him along with the caravan, surrounded by the pages, as the white contains the black of the eye; and the Castrato said to them, "If a hair of him be lost, you will be lost with it." And he bade them privily treat him with honour and not humiliate him.	Then the Eunuch cried upon the pages, saying, "Take him off the ass." So they carried him along with the caravan, surrounded by the pages, as the white contains the black of the eye; and the Castrato said to them, "If a hair of him be lost, you will be lost with it." And he bade them privily treat him with honour and not humiliate him.	false	7.17	33.51	20.80464
2033_164916_000001_000001	But when the Stoker saw himself beset by the pages, he despaired of his life and turning to the Eunuch, said to him, "O Chief, I am neither this youth's brother nor am I akin to him, nor is he sib to me; but I was a Fireman in a Hammam and found him cast out, in his sickness, on the dung heap." Then the caravan fared on and the Stoker wept and imagined in himself a thousand things, whilst the Eunuch walked by his side and told him nothing, but said to him, "Thou disturbedst our mistress by reciting verses, thou and this youth: but fear nothing for thy self;" and kept laughing at him the while to himself.	But when the Stoker saw himself beset by the pages, he despaired of his life and turning to the Eunuch, said to him, "O Chief, I am neither this youth's brother nor am I akin to him, nor is he sib to me; but I was a Fireman in a Hammam and found him cast out, in his sickness, on the dung heap." Then the caravan fared on and the Stoker wept and imagined in himself a thousand things, whilst the Eunuch walked by his side and told him nothing, but said to him, "Thou disturbedst our mistress by reciting verses, thou and this youth: but fear nothing for thy self;" and kept laughing at him the while to himself.	false	33.51	91.74	23.122574
2033_164916_000001_000002	Whenever the caravan halted, they served him with food, and he and the Castrato ate from one dish.[FN#322] Then the Eunuch bade his lads bring a gugglet of sugared sherbet and, after drinking himself, gave it to the Fireman, who drank; but all the while his tears never dried, out of fear for his life and grief for his separation from Zau al-Makan and for what had befallen them in their strangerhood.	Whenever the caravan halted, they served him with food, and he and the Castrato ate from one dish.[f n # three hundred twenty two] Then the Eunuch bade his lads bring a gugglet of sugared sherbet and, after drinking himself, gave it to the Fireman, who drank; but all the while his tears never dried, out of fear for his life and grief for his separation from Zau al Makan and for what had befallen them in their strangerhood.	false	91.74	122.4	21.955238
2033_164916_000001_000003	So they both travelled on with the caravan, whilst the Chamberlain now rode by the door of his wife's litter, in attendance on Zau al-Makan and his sister, and now gave an eye to the Fireman; and Nuzhat al-Zaman and her brother occupied themselves with converse and mutual condolence; and they ceased not after this fashion till they came within three days' journey from Baghdad.	So they both travelled on with the caravan, whilst the Chamberlain now rode by the door of his wife's litter, in attendance on Zau al Makan and his sister, and now gave an eye to the Fireman; and Nuzhat al Zaman and her brother occupied themselves with converse and mutual condolence; and they ceased not after this fashion till they came within three days' journey from Baghdad.	false	122.4	151.86	21.594517
2033_164916_000001_000004	Here they alighted at eventide and rested till the morning morrowed; and as they awoke and they were about to load the beasts, behold, there appeared afar off a great cloud of dust that darkened the firmament till it became black as gloomiest night.[FN#323] Thereupon the Chamberlain cried out to them, "Stay, and your loading delay!"; then, mounting with his Mamelukes, rode forward in the direction of the dust cloud.	Here they alighted at eventide and rested till the morning morrowed; and as they awoke and they were about to load the beasts, behold, there appeared afar off a great cloud of dust that darkened the firmament till it became black as gloomiest night.[f n # three hundred twenty three] Thereupon the Chamberlain cried out to them, "Stay, and your loading delay!"; then, mounting with his Mamelukes, rode forward in the direction of the dust cloud.	false	151.86	188.28	22.28735
2033_164916_000001_000005	When they drew near, suddenly appeared under it a numerous conquering host like the full tide sea, with flags and standards, drums and kettledrums, horsemen and footmen.	When they drew near, suddenly appeared under it a numerous conquering host like the full tide sea, with flags and standards, drums and kettledrums, horsemen and footmen.	false	188.28	202.56	21.435925
2033_164916_000001_000006	The Chamberlain marvelled at this; and when the troops saw him, there detached itself from amongst them a plump of five hundred cavaliers, who fell upon him and his suite and surrounded them, five for one; whereupon said he to them, "What is the matter and what are these troops, that ye do this with us?" Asked they, "Who art thou; and whence comest thou, and whither art thou bound?" and he answered, "I am the Chamberlain of the Emir of Damascus, King Sharrkan, son of Omar bin al-Nu'uman, Lord of Baghdad and of the land of Khorasan, and I bring tribute and presents from him to his father in Baghdad." When the horsemen heard his words they let their head kerchiefs fall over their faces and wept, saying, "In very sooth King Omar is dead and he died not but of poison.	The Chamberlain marvelled at this; and when the troops saw him, there detached itself from amongst them a plump of five hundred cavaliers, who fell upon him and his suite and surrounded them, five for one; whereupon said he to them, "What is the matter and what are these troops, that ye do this with us?" Asked they, "Who art thou; and whence comest thou, and whither art thou bound?" and he answered, "I am the Chamberlain of the Emir of Damascus, King Sharrkan, son of Omar bin al Nu'uman, Lord of Baghdad and of the land of Khorasan, and I bring tribute and presents from him to his father in Baghdad." When the horsemen heard his words they let their head kerchiefs fall over their faces and wept, saying, "In very sooth King Omar is dead and he died not but of poison.	false	202.56	276.84	22.82731
2033_164916_000001_000007	So fare ye forwards; no harm shall befal you till you join his Grand Wazir, Dandan." Now when the Chamberlain heard this, he wept sore and exclaimed, "Oh for our disappointment in this our journey!"	So fare ye forwards; no harm shall befal you till you join his Grand Wazir, Dandan." Now when the Chamberlain heard this, he wept sore and exclaimed, "Oh for our disappointment in this our journey!"	false	276.84	292.62	21.549013
2033_164916_000001_000008	Then he and all his suite wept till they had come up with the host and sought access to the Wazir Dandan, who granted an interview and called a halt and, causing his pavilion to be pitched, sat down on a couch therein and commanded to admit the Chamberlain.	Then he and all his suite wept till they had come up with the host and sought access to the Wazir Dandan, who granted an interview and called a halt and, causing his pavilion to be pitched, sat down on a couch therein and commanded to admit the Chamberlain.	false	292.62	310.68	23.011608
2033_164916_000001_000009	Then he bade him be seated and questioned him; and he replied that he was Chamberlain to the Emir of Damascus and was bound to King Omar with presents and the tribute of Syria.	Then he bade him be seated and questioned him; and he replied that he was Chamberlain to the Emir of Damascus and was bound to King Omar with presents and the tribute of Syria.	false	310.68	322.98	23.44618
2033_164916_000001_000010	The Wazir, hearing the mention of King Omar's name, wept and said, "King Omar is dead by poison, and upon his dying the folk fell out amongst themselves as to who should succeed him, until they were like to slay one another on this account; but the notables and grandees and the four Kazis interposed and all the people agreed to refer the matter to the decision of the four judges and that none should gainsay them.	The Wazir, hearing the mention of King Omar's name, wept and said, "King Omar is dead by poison, and upon his dying the folk fell out amongst themselves as to who should succeed him, until they were like to slay one another on this account; but the notables and grandees and the four Kazis interposed and all the people agreed to refer the matter to the decision of the four judges and that none should gainsay them.	false	322.98	353.16	23.996069
2033_164916_000001_000011	So it was agreed that we go to Damascus and fetch thence the King's son, Sharrkan, and make him Sultan over his father's realm.	So it was agreed that we go to Damascus and fetch thence the King's son, Sharrkan, and make him Sultan over his father's realm.	false	353.16	362.34	22.201473
