2414_128291_000000_000000	LXVIII.	l x v i i i.	false	0	6.63	24.258612
2414_128291_000000_000001	THE VOLUNTARY BEGGAR.	THE VOLUNTARY BEGGAR.	false	6.63	10.23	24.8416
2414_128291_000001_000000	When Zarathustra had left the ugliest man, he was chilled and felt lonesome: for much coldness and lonesomeness came over his spirit, so that even his limbs became colder thereby.	When Zarathustra had left the ugliest man, he was chilled and felt lonesome: for much coldness and lonesomeness came over his spirit, so that even his limbs became colder thereby.	false	10.23	40.8	22.964224
2414_128291_000001_000001	When, however, he wandered on and on, uphill and down, at times past green meadows, though also sometimes over wild stony couches where formerly perhaps an impatient brook had made its bed, then he turned all at once warmer and heartier again.	When, however, he wandered on and on, uphill and down, at times past green meadows, though also sometimes over wild stony couches where formerly perhaps an impatient brook had made its bed, then he turned all at once warmer and heartier again.	false	40.8	65.86	24.022806
2414_128291_000002_000000	"What hath happened unto me?" he asked himself, "something warm and living quickeneth me; it must be in the neighbourhood.	"What hath happened unto me?" he asked himself, "something warm and living quickeneth me; it must be in the neighbourhood.	false	67.46	78.19	21.830225
2414_128291_000003_000000	Already am I less alone; unconscious companions and brethren rove around me; their warm breath toucheth my soul."	Already am I less alone; unconscious companions and brethren rove around me; their warm breath toucheth my soul."	false	79.67	91.15	22.776552
2414_128291_000004_000000	When, however, he spied about and sought for the comforters of his lonesomeness, behold, there were kine there standing together on an eminence, whose proximity and smell had warmed his heart.	When, however, he spied about and sought for the comforters of his lonesomeness, behold, there were kine there standing together on an eminence, whose proximity and smell had warmed his heart.	false	92.54	111.34	23.192976
2414_128291_000004_000001	The kine, however, seemed to listen eagerly to a speaker, and took no heed of him who approached.	The kine, however, seemed to listen eagerly to a speaker, and took no heed of him who approached.	false	111.92	120.91	24.460793
2414_128291_000004_000002	When, however, Zarathustra was quite nigh unto them, then did he hear plainly that a human voice spake in the midst of the kine, and apparently all of them had turned their heads towards the speaker.	When, however, Zarathustra was quite nigh unto them, then did he hear plainly that a human voice spake in the midst of the kine, and apparently all of them had turned their heads towards the speaker.	false	122	139.36	24.96156
2414_128291_000005_000000	Then ran Zarathustra up speedily and drove the animals aside; for he feared that some one had here met with harm, which the pity of the kine would hardly be able to relieve.	Then ran Zarathustra up speedily and drove the animals aside; for he feared that some one had here met with harm, which the pity of the kine would hardly be able to relieve.	false	141.38	157.03	23.945675
2414_128291_000005_000001	But in this he was deceived; for behold, there sat a man on the ground who seemed to be persuading the animals to have no fear of him, a peaceable man and Preacher-on-the-Mount, out of whose eyes kindness itself preached.	But in this he was deceived; for behold, there sat a man on the ground who seemed to be persuading the animals to have no fear of him, a peaceable man and Preacher on the Mount, out of whose eyes kindness itself preached.	false	157.85	180.28	23.495401
2414_128291_000005_000002	"What dost thou seek here?" called out Zarathustra in astonishment.	"What dost thou seek here?" called out Zarathustra in astonishment.	false	181.22	187.09	25.134085
2414_128291_000006_000000	"What do I here seek?" answered he: "the same that thou seekest, thou mischief-maker; that is to say, happiness upon earth.	"What do I here seek?" answered he: "the same that thou seekest, thou mischief maker; that is to say, happiness upon earth.	false	189.8	202.02	21.639523
2414_128291_000007_000000	To that end, however, I would fain learn of these kine.	To that end, however, I would fain learn of these kine.	false	202.02	208.72	22.08414
2414_128291_000007_000001	For I tell thee that I have already talked half a morning unto them, and just now were they about to give me their answer.	For I tell thee that I have already talked half a morning unto them, and just now were they about to give me their answer.	false	209.75	219.73	24.682478
2414_128291_000007_000002	Why dost thou disturb them?	Why dost thou disturb them?	false	220.49	224.07	21.91121
2414_128291_000008_000000	Except we be converted and become as kine, we shall in no wise enter into the kingdom of heaven.	Except we be converted and become as kine, we shall in no wise enter into the kingdom of heaven.	true	224.07	233.02	25.543543
2414_128291_000008_000001	For we ought to learn from them one thing: ruminating.	For we ought to learn from them one thing: ruminating.	true	233.36	238.6	23.562239
2414_128291_000009_000000	And verily, although a man should gain the whole world, and yet not learn one thing, ruminating, what would it profit him!	And verily, although a man should gain the whole world, and yet not learn one thing, ruminating, what would it profit him!	true	239.48	250.42	21.833666
2414_128291_000009_000001	He would not be rid of his affliction,	He would not be rid of his affliction,	true	251.42	254.2	23.287308
2414_128291_000010_000000	--His great affliction: that, however, is at present called DISGUST.	--His great affliction: that, however, is at present called DISGUST.	true	254.78	260.47	25.745092
2414_128291_000010_000001	Who hath not at present his heart, his mouth and his eyes full of disgust? Thou also!	Who hath not at present his heart, his mouth and his eyes full of disgust? Thou also!	false	261.14	269.11	23.498947
2414_128291_000010_000002	Thou also!	Thou also!	true	269.33	270.39	22.665321
2414_128291_000010_000003	But behold these kine!"--	But behold these kine!"--	false	270.39	275.82	23.47741
2414_128291_000011_000000	Thus spake the Preacher-on-the-Mount, and turned then his own look towards Zarathustra--for hitherto it had rested lovingly on the kine--: then, however, he put on a different expression.	Thus spake the Preacher on the Mount, and turned then his own look towards Zarathustra-for hitherto it had rested lovingly on the kine-: then, however, he put on a different expression.	false	275.82	292.87	22.815731
2414_128291_000011_000001	"Who is this with whom I talk?" he exclaimed frightened, and sprang up from the ground.	"Who is this with whom I talk?" he exclaimed frightened, and sprang up from the ground.	true	293.66	301.45	23.765501
2414_128291_000012_000000	"This is the man without disgust, this is Zarathustra himself, the surmounter of the great disgust, this is the eye, this is the mouth, this is the heart of Zarathustra himself."	"This is the man without disgust, this is Zarathustra himself, the surmounter of the great disgust, this is the eye, this is the mouth, this is the heart of Zarathustra himself."	false	303.35	316.9	25.496626
2414_128291_000013_000000	And whilst he thus spake he kissed with o'erflowing eyes the hands of him with whom he spake, and behaved altogether like one to whom a precious gift and jewel hath fallen unawares from heaven.	And whilst he thus spake he kissed with o'erflowing eyes the hands of him with whom he spake, and behaved altogether like one to whom a precious gift and jewel hath fallen unawares from heaven.	false	318.83	337.45	23.327877
2414_128291_000013_000001	The kine, however, gazed at it all and wondered.	The kine, however, gazed at it all and wondered.	false	338.78	343.81	23.797049
2414_128291_000014_000000	"Speak not of me, thou strange one; thou amiable one!" said Zarathustra, and restrained his affection, "speak to me firstly of thyself!	"Speak not of me, thou strange one; thou amiable one!" said Zarathustra, and restrained his affection, "speak to me firstly of thyself!	false	346.07	360.63	24.1304
