2609_169640_000000_000000	FOOTNOTES:	FOOTNOTES:	false	0	0.45	56
2609_169640_000001_000000	[2] From _The Buccaneers of America_.	[two] From underscore The Buccaneers of America underscore.	false	0.45	7.74	17
2609_169640_000002_000000	THE MALAY PROAS[3]	THE MALAY p r o a s[three]	false	7.74	28.485	18
2609_169640_000003_000000	JAMES FENIMORE COOPER	james FENIMORE COOPER	true	28.485	30.46	15
2609_169640_000004_000000	We had cleared the Straits of Sunda early in the morning, and had made a pretty fair run in the course of the day, though most of the time in thick weather.	We had cleared the Straits of Sunda early in the morning, and had made a pretty fair run in the course of the day, though most of the time in thick weather.	false	32	41.07	13
2609_169640_000004_000001	Just as the sun set, however, the horizon became clear, and we got a sight of two small sail, seemingly heading in toward the coast of Sumatra, proas by their rig and dimensions.	Just as the sun set, however, the horizon became clear, and we got a sight of two small sail, seemingly heading in toward the coast of Sumatra, proas by their rig and dimensions.	false	41.07	54.34	16
2609_169640_000004_000002	They were so distant, and were so evidently steering for the land, that no one gave them much thought, or bestowed on them any particular attention.	They were so distant, and were so evidently steering for the land, that no one gave them much thought, or bestowed on them any particular attention.	false	54.68	64.5	15
2609_169640_000004_000003	Proas in that quarter were usually distrusted by ships, it is true; but the sea is full of them, and far more are innocent than are guilty of any acts of violence.	Proas in that quarter were usually distrusted by ships, it is true; but the sea is full of them, and far more are innocent than are guilty of any acts of violence.	false	64.5	76.54	14
2609_169640_000004_000004	Then it became dark soon after these craft were seen, and night shut them in.	Then it became dark soon after these craft were seen, and night shut them in.	false	77.21	82.38	12
2609_169640_000004_000005	An hour after the sun had set, the wind fell to a light air, that just kept steerage-way on the ship.	An hour after the sun had set, the wind fell to a light air, that just kept steerage way on the ship.	false	82.38	90.64	15
2609_169640_000004_000006	Fortunately, the _John_ was not only fast, but she minded her helm, as a light-footed girl turns in a lively dance.	Fortunately, the underscore john underscore was not only fast, but she minded her helm, as a light footed girl turns in a lively dance.	false	90.86	100.92	15
2609_169640_000004_000007	I never was in a better-steering ship, most especially in moderate weather.	I never was in a better steering ship, most especially in moderate weather.	true	100.92	105.7	11
2609_169640_000005_000000	Mr. Marble had the middle watch that night, and, of course, I was on deck from midnight until four in the morning.	mr Marble had the middle watch that night, and, of course, I was on deck from midnight until four in the morning.	false	106.22	113.64	13
2609_169640_000005_000001	It proved misty most of the watch, and for quite an hour we had a light drizzling rain.	It proved misty most of the watch, and for quite an hour we had a light drizzling rain.	false	113.64	120.31	12
2609_169640_000005_000002	The ship the whole time was close-hauled, carrying royals.	The ship the whole time was close hauled, carrying royals.	false	120.71	124.78	15
2609_169640_000005_000003	As everybody seemed to have made up his mind to a quiet night, one without any reefing or furling, most of the watch were sleeping about the decks, or wherever they could get good quarters, and be least in the way.	As everybody seemed to have made up his mind to a quiet night, one without any reefing or furling, most of the watch were sleeping about the decks, or wherever they could get good quarters, and be least in the way.	false	125.48	140.37	13
