3005_163389_000000_000000	Well, by and by somebody said Sherburn ought to be lynched.	Well, by and by somebody said Sherburn ought to be lynched.	false	0	8.445	13
3005_163389_000000_000001	In about a minute everybody was saying it; so away they went, mad and yelling, and snatching down every clothes-line they come to to do the hanging with.	In about a minute everybody was saying it; so away they went, mad and yelling, and snatching down every clothes line they come to to do the hanging with.	false	8.445	23.7	16
3005_163389_000001_000000	CHAPTER XXII.	CHAPTER twenty two.	true	23.7	25	10
3005_163389_000002_000000	THEY swarmed up towards Sherburn's house, a-whooping and raging like Injuns, and everything had to clear the way or get run over and tromped to mush, and it was awful to see.	THEY swarmed up towards Sherburn's house, a whooping and raging like Injuns, and everything had to clear the way or get run over and tromped to mush, and it was awful to see.	true	27.02	38.62	14
3005_163389_000002_000001	Children was heeling it ahead of the mob, screaming and trying to get out of the way; and every window along the road was full of women's heads, and there was nigger boys in every tree, and bucks and wenches looking over every fence; and as soon as the mob would get nearly to them they would break and skaddle back out of reach.	Children was heeling it ahead of the mob, screaming and trying to get out of the way; and every window along the road was full of women's heads, and there was nigger boys in every tree, and bucks and wenches looking over every fence; and as soon as the mob would get nearly to them they would break and skaddle back out of reach.	false	38.9	58	15
3005_163389_000002_000002	Lots of the women and girls was crying and taking on, scared most to death.	Lots of the women and girls was crying and taking on, scared most to death.	false	58.31	63.1	15
3005_163389_000003_000000	They swarmed up in front of Sherburn's palings as thick as they could jam together, and you couldn't hear yourself think for the noise.	They swarmed up in front of Sherburn's palings as thick as they could jam together, and you couldn't hear yourself think for the noise.	true	63.62	71.5	19.271458
3005_163389_000003_000001	It was a little twenty-foot yard.	It was a little twenty foot yard.	true	71.84	74.17	19.433355
3005_163389_000003_000002	Some sung out "Tear down the fence!	Some sung out "Tear down the fence!	true	74.33	77.5	18.400684
3005_163389_000003_000003	tear down the fence!" Then there was a racket of ripping and tearing and smashing, and down she goes, and the front wall of the crowd begins to roll in like a wave.	tear down the fence!" Then there was a racket of ripping and tearing and smashing, and down she goes, and the front wall of the crowd begins to roll in like a wave.	true	77.6	89.5	19.583714
3005_163389_000004_000000	Just then Sherburn steps out on to the roof of his little front porch, with a double-barrel gun in his hand, and takes his stand, perfectly ca'm and deliberate, not saying a word.	Just then Sherburn steps out on to the roof of his little front porch, with a double barrel gun in his hand, and takes his stand, perfectly ca'm and deliberate, not saying a word.	true	90.08	102.43	18.972841
3005_163389_000004_000001	The racket stopped, and the wave sucked back.	The racket stopped, and the wave sucked back.	true	102.74	106	16.921091
3005_163389_000005_000000	Sherburn never said a wordjust stood there, looking down.	Sherburn never said a word  just stood there, looking down.	true	106.79	111.37	16
3005_163389_000005_000001	The stillness was awful creepy and uncomfortable.	The stillness was awful creepy and uncomfortable.	true	112.01	114.97	16
3005_163389_000005_000002	Sherburn run his eye slow along the crowd; and wherever it struck the people tried a little to out-gaze him, but they couldn't; they dropped their eyes and looked sneaky.	Sherburn run his eye slow along the crowd; and wherever it struck the people tried a little to out gaze him, but they couldn't; they dropped their eyes and looked sneaky.	true	115.49	126.67	18.066813
3005_163389_000005_000003	Then pretty soon Sherburn sort of laughed; not the pleasant kind, but the kind that makes you feel like when you are eating bread that's got sand in it.	Then pretty soon Sherburn sort of laughed; not the pleasant kind, but the kind that makes you feel like when you are eating bread that's got sand in it.	false	127.13	136.59	18.420286
3005_163389_000006_000000	Then he says, slow and scornful:	Then he says, slow and scornful:	true	136.59	139.48	10
3005_163389_000007_000000	"The idea of _you_ lynching anybody!	"The idea of underscore you underscore lynching anybody!	false	141.11	144.16	17
3005_163389_000007_000001	It's amusing.	It's amusing.	true	144.62	145.78	16
3005_163389_000007_000002	The idea of you thinking you had pluck enough to lynch a _man_!	The idea of you thinking you had pluck enough to lynch a underscore man underscore!	false	146.51	151.83	10
3005_163389_000007_000003	Because you're brave enough to tar and feather poor friendless cast-out women that come along here, did that make you think you had grit enough to lay your hands on a _man_?	Because you're brave enough to tar and feather poor friendless cast out women that come along here, did that make you think you had grit enough to lay your hands on a underscore man underscore?	false	151.83	163.62	17
3005_163389_000007_000004	Why, a _man's_ safe in the hands of ten thousand of your kindas long as it's daytime and you're not behind him.	Why, a underscore man's underscore safe in the hands of ten thousand of your kind  as long as it's daytime and you're not behind him.	false	163.62	171.49	17.04382
3005_163389_000008_000000	"Do I know you?	"Do I know you?	true	172.1	173.44	19.397707
3005_163389_000008_000001	I know you clear through.	I know you clear through.	true	173.93	175.68	14
3005_163389_000008_000002	I was born and raised in the South, and I've lived in the North; so I know the average all around. The average man's a coward.	I was born and raised in the South, and I've lived in the North; so I know the average all around. The average man's a coward.	false	175.68	184.39	18
3005_163389_000008_000003	In the North he lets anybody walk over him that wants to, and goes home and prays for a humble spirit to bear it. In the South one man all by himself, has stopped a stage full of men in the daytime, and robbed the lot.	In the North he lets anybody walk over him that wants to, and goes home and prays for a humble spirit to bear it. In the South one man all by himself, has stopped a stage full of men in the daytime, and robbed the lot.	false	184.7	200.13	18.999252
3005_163389_000008_000004	Your newspapers call you a brave people so much that you think you are braver than any other peoplewhereas you're just _as_ brave, and no braver.	Your newspapers call you a brave people so much that you think you are braver than any other people  whereas you're just underscore as underscore brave, and no braver.	false	200.13	211.3	15
3005_163389_000008_000005	Why don't your juries hang murderers?	Why don't your juries hang murderers?	true	211.79	214.39	15
3005_163389_000008_000006	Because they're afraid the man's friends will shoot them in the back, in the darkand it's just what they _would_ do.	Because they're afraid the man's friends will shoot them in the back, in the dark  and it's just what they underscore would underscore do.	false	214.64	222.16	16
3005_163389_000009_000000	"So they always acquit; and then a _man_ goes in the night, with a hundred masked cowards at his back and lynches the rascal.	"So they always acquit; and then a underscore man underscore goes in the night, with a hundred masked cowards at his back and lynches the rascal.	false	223.1	232.57	15
3005_163389_000009_000001	Your mistake is, that you didn't bring a man with you; that's one mistake, and the other is that you didn't come in the dark and fetch your masks.	Your mistake is, that you didn't bring a man with you; that's one mistake, and the other is that you didn't come in the dark and fetch your masks.	true	232.94	243.58	17.8437
3005_163389_000009_000002	You brought _part_ of a manBuck Harkness, thereand if you hadn't had him to start you, you'd a taken it out in blowing.	You brought underscore part underscore of a man  Buck Harkness, there  and if you hadn't had him to start you, you'd a taken it out in blowing.	false	243.77	252.4	18.790174
3005_163389_000010_000000	"You didn't want to come.	"You didn't want to come.	true	253.1	254.68	16
3005_163389_000010_000001	The average man don't like trouble and danger.	The average man don't like trouble and danger.	true	254.9	257.82	15
3005_163389_000010_000002	_You_ don't like trouble and danger.	underscore You underscore don't like trouble and danger.	false	257.82	260.65	12
3005_163389_000010_000003	But if only _half_ a manlike Buck Harkness, thereshouts 'Lynch him! lynch him!' you're afraid to back downafraid you'll be found out to be what you are_cowards_and so you raise a yell, and hang yourselves on to that half-a-man's coat-tail, and come raging up here, swearing what big things you're going to do.	But if only underscore half underscore a man  like Buck Harkness, there  shouts 'Lynch him! lynch him!' you're afraid to back down  afraid you'll be found out to be what you are underscore cowards underscore and so you raise a yell, and hang yourselves on to that half a man's coat tail, and come raging up here, swearing what big things you're going to do.	false	260.96	286.45	19.568186
3005_163389_000010_000004	The pitifulest thing out is a mob; that's what an army isa mob; they don't fight with courage that's born in them, but with courage that's borrowed from their mass, and from their officers.	The pitifulest thing out is a mob; that's what an army is  a mob; they don't fight with courage that's born in them, but with courage that's borrowed from their mass, and from their officers.	true	287.03	300.4	18.544424
3005_163389_000010_000005	But a mob without any _man_ at the head of it is _beneath_ pitifulness.	But a mob without any underscore man underscore at the head of it is underscore beneath underscore pitifulness.	false	301.1	305.62	15
3005_163389_000010_000006	Now the thing for _you_ to do is to droop your tails and go home and crawl in a hole.	Now the thing for underscore you underscore to do is to droop your tails and go home and crawl in a hole.	false	306.08	313.33	15
3005_163389_000010_000007	If any real lynching's going to be done it will be done in the dark, Southern fashion; and when they come they'll bring their masks, and fetch a _man_ along.	If any real lynching's going to be done it will be done in the dark, Southern fashion; and when they come they'll bring their masks, and fetch a underscore man underscore along.	false	313.64	323.56	18
3005_163389_000010_000008	Now _leave_and take your half-a-man with you"tossing his gun up across his left arm and cocking it when he says this.	Now underscore leave underscore and take your half a man with you"  tossing his gun up across his left arm and cocking it when he says this.	false	323.87	332.74	18.03552
3005_163389_000011_000000	The crowd washed back sudden, and then broke all apart, and went tearing off every which way, and Buck Harkness he heeled it after them, looking tolerable cheap.	The crowd washed back sudden, and then broke all apart, and went tearing off every which way, and Buck Harkness he heeled it after them, looking tolerable cheap.	true	333.41	345.07	20
3005_163389_000011_000001	I could a stayed if I wanted to, but I didn't want to.	I could a stayed if I wanted to, but I didn't want to.	true	345.56	349.54	13
3005_163389_000012_000000	I went to the circus and loafed around the back side till the watchman went by, and then dived in under the tent.	I went to the circus and loafed around the back side till the watchman went by, and then dived in under the tent.	true	350.42	357.19	11
3005_163389_000012_000001	I had my twenty-dollar gold piece and some other money, but I reckoned I better save it, because there ain't no telling how soon you are going to need it, away from home and amongst strangers that way.	I had my twenty dollar gold piece and some other money, but I reckoned I better save it, because there ain't no telling how soon you are going to need it, away from home and amongst strangers that way.	false	357.62	369.28	11
3005_163389_000012_000002	You can't be too careful.	You can't be too careful.	true	369.77	371.59	11
