3005_163389_000001_000000	CHAPTER XXII.	CHAPTER twenty two.
3005_163389_000002_000000	THEY swarmed up towards Sherburn's house, a-whooping and raging like Injuns, and everything had to clear the way or get run over and tromped to mush, and it was awful to see.	THEY swarmed up towards Sherburn's house, a whooping and raging like Injuns, and everything had to clear the way or get run over and tromped to mush, and it was awful to see.
3005_163389_000003_000000	They swarmed up in front of Sherburn's palings as thick as they could jam together, and you couldn't hear yourself think for the noise.	They swarmed up in front of Sherburn's palings as thick as they could jam together, and you couldn't hear yourself think for the noise.
3005_163389_000003_000001	It was a little twenty-foot yard.	It was a little twenty foot yard.
3005_163389_000003_000002	Some sung out "Tear down the fence!	Some sung out "Tear down the fence!
3005_163389_000003_000003	tear down the fence!" Then there was a racket of ripping and tearing and smashing, and down she goes, and the front wall of the crowd begins to roll in like a wave.	tear down the fence!" Then there was a racket of ripping and tearing and smashing, and down she goes, and the front wall of the crowd begins to roll in like a wave.
3005_163389_000004_000000	Just then Sherburn steps out on to the roof of his little front porch, with a double-barrel gun in his hand, and takes his stand, perfectly ca'm and deliberate, not saying a word.	Just then Sherburn steps out on to the roof of his little front porch, with a double barrel gun in his hand, and takes his stand, perfectly ca'm and deliberate, not saying a word.
3005_163389_000004_000001	The racket stopped, and the wave sucked back.	The racket stopped, and the wave sucked back.
3005_163389_000005_000000	Sherburn never said a wordjust stood there, looking down.	Sherburn never said a word  just stood there, looking down.
3005_163389_000005_000001	The stillness was awful creepy and uncomfortable.	The stillness was awful creepy and uncomfortable.
3005_163389_000005_000002	Sherburn run his eye slow along the crowd; and wherever it struck the people tried a little to out-gaze him, but they couldn't; they dropped their eyes and looked sneaky.	Sherburn run his eye slow along the crowd; and wherever it struck the people tried a little to out gaze him, but they couldn't; they dropped their eyes and looked sneaky.
3005_163389_000006_000000	Then he says, slow and scornful:	Then he says, slow and scornful:
3005_163389_000007_000001	It's amusing.	It's amusing.
3005_163389_000008_000000	"Do I know you?	"Do I know you?
3005_163389_000008_000001	I know you clear through.	I know you clear through.
3005_163389_000008_000005	Why don't your juries hang murderers?	Why don't your juries hang murderers?
3005_163389_000009_000001	Your mistake is, that you didn't bring a man with you; that's one mistake, and the other is that you didn't come in the dark and fetch your masks.	Your mistake is, that you didn't bring a man with you; that's one mistake, and the other is that you didn't come in the dark and fetch your masks.
3005_163389_000010_000000	"You didn't want to come.	"You didn't want to come.
3005_163389_000010_000001	The average man don't like trouble and danger.	The average man don't like trouble and danger.
3005_163389_000010_000004	The pitifulest thing out is a mob; that's what an army isa mob; they don't fight with courage that's born in them, but with courage that's borrowed from their mass, and from their officers.	The pitifulest thing out is a mob; that's what an army is  a mob; they don't fight with courage that's born in them, but with courage that's borrowed from their mass, and from their officers.
3005_163389_000011_000000	The crowd washed back sudden, and then broke all apart, and went tearing off every which way, and Buck Harkness he heeled it after them, looking tolerable cheap.	The crowd washed back sudden, and then broke all apart, and went tearing off every which way, and Buck Harkness he heeled it after them, looking tolerable cheap.
3005_163389_000011_000001	I could a stayed if I wanted to, but I didn't want to.	I could a stayed if I wanted to, but I didn't want to.
3005_163389_000012_000000	I went to the circus and loafed around the back side till the watchman went by, and then dived in under the tent.	I went to the circus and loafed around the back side till the watchman went by, and then dived in under the tent.
3005_163389_000012_000002	You can't be too careful.	You can't be too careful.
3005_163389_000013_000000	It was a real bully circus.	It was a real bully circus.
