3005_163390_000001_000000	CHAPTER XXIII.	CHAPTER twenty three.
3005_163390_000002_000000	WELL, all day him and the king was hard at it, rigging up a stage and a curtain and a row of candles for footlights; and that night the house was jam full of men in no time.	WELL, all day him and the king was hard at it, rigging up a stage and a curtain and a row of candles for footlights; and that night the house was jam full of men in no time.
3005_163390_000002_000002	Andbut never mind the rest of his outfit; it was just wild, but it was awful funny.	And  but never mind the rest of his outfit; it was just wild, but it was awful funny.
3005_163390_000002_000003	The people most killed themselves laughing; and when the king got done capering and capered off behind the scenes, they roared and clapped and stormed and haw-hawed till he come back and done it over again, and after that they made him do it another time.	The people most killed themselves laughing; and when the king got done capering and capered off behind the scenes, they roared and clapped and stormed and haw hawed till he come back and done it over again, and after that they made him do it another time.
3005_163390_000004_000000	Twenty people sings out:	Twenty people sings out:
3005_163390_000005_000000	"What, is it over?	"What, is it over?
3005_163390_000006_000000	The duke says yes.	The duke says yes.
3005_163390_000006_000001	Then there was a fine time.	Then there was a fine time.
3005_163390_000006_000003	But a big, fine looking man jumps up on a bench and shouts:	But a big, fine looking man jumps up on a bench and shouts:
3005_163390_000007_000000	"Hold on!	"Hold on!
3005_163390_000007_000001	Just a word, gentlemen." They stopped to listen.	Just a word, gentlemen." They stopped to listen.
3005_163390_000007_000002	"We are soldmighty badly sold.	"We are sold  mighty badly sold.
3005_163390_000007_000005	Then we'll all be in the same boat.	Then we'll all be in the same boat.
3005_163390_000007_000006	Ain't that sensible?" ("You bet it is!the jedge is right!" everybody sings out.) "All right, thennot a word about any sell.	Ain't that sensible?" ("You bet it is!  the jedge is right!" everybody sings out.) "All right, then  not a word about any sell.
3005_163390_000007_000007	Go along home, and advise everybody to come and see the tragedy."	Go along home, and advise everybody to come and see the tragedy."
3005_163390_000008_000000	Next day you couldn't hear nothing around that town but how splendid that show was.	Next day you couldn't hear nothing around that town but how splendid that show was.
3005_163390_000008_000001	House was jammed again that night, and we sold this crowd the same way.	House was jammed again that night, and we sold this crowd the same way.
3005_163390_000009_000001	I stood by the duke at the door, and I see that every man that went in had his pockets bulging, or something muffled up under his coatand I see it warn't no perfumery, neither, not by a long sight.	I stood by the duke at the door, and I see that every man that went in had his pockets bulging, or something muffled up under his coat  and I see it warn't no perfumery, neither, not by a long sight.
3005_163390_000009_000004	Well, when the place couldn't hold no more people the duke he give a fellow a quarter and told him to tend door for him a minute, and then he started around for the stage door, I after him; but the minute we turned the corner and was in the dark he says:	Well, when the place couldn't hold no more people the duke he give a fellow a quarter and told him to tend door for him a minute, and then he started around for the stage door, I after him; but the minute we turned the corner and was in the dark he says:
3005_163390_000010_000000	"Walk fast now till you get away from the houses, and then shin for the raft like the dickens was after you!"	"Walk fast now till you get away from the houses, and then shin for the raft like the dickens was after you!"
3005_163390_000011_000000	I done it, and he done the same.	I done it, and he done the same.
3005_163390_000011_000001	We struck the raft at the same time, and in less than two seconds we was gliding down stream, all dark and still, and edging towards the middle of the river, nobody saying a word.	We struck the raft at the same time, and in less than two seconds we was gliding down stream, all dark and still, and edging towards the middle of the river, nobody saying a word.
3005_163390_000011_000002	I reckoned the poor king was in for a gaudy time of it with the audience, but nothing of the sort; pretty soon he crawls out from under the wigwam, and says:	I reckoned the poor king was in for a gaudy time of it with the audience, but nothing of the sort; pretty soon he crawls out from under the wigwam, and says:
3005_163390_000012_000000	"Well, how'd the old thing pan out this time, duke?" He hadn't been up-town at all.	"Well, how'd the old thing pan out this time, duke?" He hadn't been up town at all.
3005_163390_000013_000000	We never showed a light till we was about ten mile below the village. Then we lit up and had a supper, and the king and the duke fairly laughed their bones loose over the way they'd served them people.	We never showed a light till we was about ten mile below the village. Then we lit up and had a supper, and the king and the duke fairly laughed their bones loose over the way they'd served them people.
3005_163390_000013_000001	The duke says:	The duke says:
3005_163390_000014_000000	"Greenhorns, flatheads!	"Greenhorns, flatheads!
3005_163390_000015_000000	Them rapscallions took in four hundred and sixty-five dollars in that three nights.	Them rapscallions took in four hundred and sixty five dollars in that three nights.
3005_163390_000016_000000	"Don't it s'prise you de way dem kings carries on, Huck?"	"Don't it s'prise you de way dem kings carries on, Huck?"
3005_163390_000019_000000	"Well, it don't, because it's in the breed.	"Well, it don't, because it's in the breed.
3005_163390_000021_000000	"Well, that's what I'm a-saying; all kings is mostly rapscallions, as fur as I can make out."	"Well, that's what I'm a saying; all kings is mostly rapscallions, as fur as I can make out."
3005_163390_000023_000000	"You read about them onceyou'll see.	"You read about them once  you'll see.
3005_163390_000023_000002	And look at Charles Second, and Louis Fourteen, and Louis Fifteen, and James Second, and Edward Second, and Richard Third, and forty more; besides all them Saxon heptarchies that used to rip around so in old times and raise Cain.	And look at Charles Second, and Louis Fourteen, and Louis Fifteen, and james Second, and Edward Second, and Richard Third, and forty more; besides all them Saxon heptarchies that used to rip around so in old times and raise Cain.
3005_163390_000023_000003	My, you ought to seen old Henry the Eight when he was in bloom.	My, you ought to seen old Henry the Eight when he was in bloom.
3005_163390_000023_000005	He used to marry a new wife every day, and chop off her head next morning.	He used to marry a new wife every day, and chop off her head next morning.
3005_163390_000023_000006	And he would do it just as indifferent as if he was ordering up eggs.	And he would do it just as indifferent as if he was ordering up eggs.
3005_163390_000023_000007	'Fetch up Nell Gwynn,' he says.	'Fetch up Nell Gwynn,' he says.
3005_163390_000023_000008	They fetch her up. Next morning, 'Chop off her head!' And they chop it off.	They fetch her up. Next morning, 'Chop off her head!' And they chop it off.
3005_163390_000023_000009	'Fetch up Jane Shore,' he says; and up she comes, Next morning, 'Chop off her head'and they chop it off.	'Fetch up Jane Shore,' he says; and up she comes, Next morning, 'Chop off her head'  and they chop it off.
3005_163390_000023_000010	'Ring up Fair Rosamun.' Fair Rosamun answers the bell.	'Ring up Fair Rosamun.' Fair Rosamun answers the bell.
3005_163390_000023_000013	Well, Henry he takes a notion he wants to get up some trouble with this country.	Well, Henry he takes a notion he wants to get up some trouble with this country.
3005_163390_000023_000014	How does he go at itgive notice?give the country a show?	How does he go at it  give notice?  give the country a show?
3005_163390_000023_000018	Well, what did he do?	Well, what did he do?
3005_163390_000023_000019	Ask him to show up?	Ask him to show up?
3005_163390_000023_000020	Nodrownded him in a butt of mamsey, like a cat.	No  drownded him in a butt of mamsey, like a cat.
3005_163390_000023_000021	S'pose people left money laying around where he waswhat did he do?	S'pose people left money laying around where he was  what did he do?
3005_163390_000023_000023	He always done the other thing.	He always done the other thing.
3005_163390_000023_000024	S'pose he opened his mouthwhat then?	S'pose he opened his mouth  what then?
3005_163390_000023_000025	If he didn't shut it up powerful quick he'd lose a lie every time.	If he didn't shut it up powerful quick he'd lose a lie every time.
3005_163390_000023_000028	All I say is, kings is kings, and you got to make allowances.	All I say is, kings is kings, and you got to make allowances.
3005_163390_000023_000030	It's the way they're raised."	It's the way they're raised."
3005_163390_000025_000000	"Well, they all do, Jim.	"Well, they all do, Jim.
3005_163390_000027_000000	"Yes, a duke's different.	"Yes, a duke's different.
3005_163390_000027_000001	But not very different.	But not very different.
3005_163390_000027_000002	This one's a middling hard lot for a duke.	This one's a middling hard lot for a duke.
3005_163390_000027_000003	When he's drunk there ain't no near-sighted man could tell him from a king."	When he's drunk there ain't no near sighted man could tell him from a king."
3005_163390_000029_000000	"It's the way I feel, too, Jim.	"It's the way I feel, too, Jim.
3005_163390_000029_000001	But we've got them on our hands, and we got to remember what they are, and make allowances.	But we've got them on our hands, and we got to remember what they are, and make allowances.
3005_163390_000029_000002	Sometimes I wish we could hear of a country that's out of kings."	Sometimes I wish we could hear of a country that's out of kings."
3005_163390_000030_000000	What was the use to tell Jim these warn't real kings and dukes?	What was the use to tell Jim these warn't real kings and dukes?
3005_163390_000031_000000	I went to sleep, and Jim didn't call me when it was my turn.	I went to sleep, and Jim didn't call me when it was my turn.
3005_163390_000031_000001	He often done that.	He often done that.
3005_163390_000031_000002	When I waked up just at daybreak he was sitting there with his head down betwixt his knees, moaning and mourning to himself.	When I waked up just at daybreak he was sitting there with his head down betwixt his knees, moaning and mourning to himself.
3005_163390_000031_000003	I didn't take notice nor let on.	I didn't take notice nor let on.
3005_163390_000031_000004	I knowed what it was about.	I knowed what it was about.
3005_163390_000037_000001	I was a-bilin'!	I was a bilin'!
3005_163390_000037_000002	I says:	I says:
