3005_163391_000000_000000	CHAPTER XXIV.	CHAPTER twenty four.	false	1.47	26.865	17
3005_163391_000001_000000	NEXT day, towards night, we laid up under a little willow towhead out in the middle, where there was a village on each side of the river, and the duke and the king begun to lay out a plan for working them towns.	NEXT day, towards night, we laid up under a little willow towhead out in the middle, where there was a village on each side of the river, and the duke and the king begun to lay out a plan for working them towns.	true	26.865	39.34	18
3005_163391_000001_000001	Jim he spoke to the duke, and said he hoped it wouldn't take but a few hours, because it got mighty heavy and tiresome to him when he had to lay all day in the wigwam tied with the rope.	Jim he spoke to the duke, and said he hoped it wouldn't take but a few hours, because it got mighty heavy and tiresome to him when he had to lay all day in the wigwam tied with the rope.	true	39.71	51.4	17
3005_163391_000001_000002	You see, when we left him all alone we had to tie him, because if anybody happened on to him all by himself and not tied it wouldn't look much like he was a runaway nigger, you know.	You see, when we left him all alone we had to tie him, because if anybody happened on to him all by himself and not tied it wouldn't look much like he was a runaway nigger, you know.	false	51.59	63.55	16
3005_163391_000001_000003	So the duke said it _was_ kind of hard to have to lay roped all day, and he'd cipher out some way to get around it.	So the duke said it underscore was underscore kind of hard to have to lay roped all day, and he'd cipher out some way to get around it.	false	63.59	70.57	15
3005_163391_000002_000000	He was uncommon bright, the duke was, and he soon struck it.	He was uncommon bright, the duke was, and he soon struck it.	false	71.15	75.31	18
3005_163391_000002_000001	He dressed Jim up in King Lear's outfitit was a long curtain-calico gown, and a white horse-hair wig and whiskers; and then he took his theater paint and painted Jim's face and hands and ears and neck all over a dead, dull, solid blue, like a man that's been drownded nine days.	He dressed Jim up in King Lear's outfit  it was a long curtain calico gown, and a white horse hair wig and whiskers; and then he took his theater paint and painted Jim's face and hands and ears and neck all over a dead, dull, solid blue, like a man that's been drownded nine days.	false	75.62	95.32	19
3005_163391_000002_000002	Blamed if he warn't the horriblest looking outrage I ever see.	Blamed if he warn't the horriblest looking outrage I ever see.	false	96.02	100	13
3005_163391_000002_000003	Then the duke took and wrote out a sign on a shingle so:	Then the duke took and wrote out a sign on a shingle so:	true	100.37	103.84	15
3005_163391_000003_000000	Sick Arabbut harmless when not out of his head.	Sick Arab  but harmless when not out of his head.	false	104.3	108.34	18.827114
3005_163391_000004_000000	And he nailed that shingle to a lath, and stood the lath up four or five foot in front of the wigwam.	And he nailed that shingle to a lath, and stood the lath up four or five foot in front of the wigwam.	false	108.98	114.76	16
3005_163391_000004_000001	Jim was satisfied.	Jim was satisfied.	true	115.13	116.71	17.484228
3005_163391_000004_000002	He said it was a sight better than lying tied a couple of years every day, and trembling all over every time there was a sound.	He said it was a sight better than lying tied a couple of years every day, and trembling all over every time there was a sound.	true	116.87	124.33	15
3005_163391_000004_000003	The duke told him to make himself free and easy, and if anybody ever come meddling around, he must hop out of the wigwam, and carry on a little, and fetch a howl or two like a wild beast, and he reckoned they would light out and leave him alone. Which was sound enough judgment; but you take the average man, and he wouldn't wait for him to howl.	The duke told him to make himself free and easy, and if anybody ever come meddling around, he must hop out of the wigwam, and carry on a little, and fetch a howl or two like a wild beast, and he reckoned they would light out and leave him alone. Which was sound enough judgment; but you take the average man, and he wouldn't wait for him to howl.	true	124.88	145.57	18
3005_163391_000004_000004	Why, he didn't only look like he was dead, he looked considerable more than that.	Why, he didn't only look like he was dead, he looked considerable more than that.	true	145.7	150.88	19
3005_163391_000005_000000	These rapscallions wanted to try the Nonesuch again, because there was so much money in it, but they judged it wouldn't be safe, because maybe the news might a worked along down by this time.	These rapscallions wanted to try the Nonesuch again, because there was so much money in it, but they judged it wouldn't be safe, because maybe the news might a worked along down by this time.	true	152.03	164.32	16
3005_163391_000005_000001	They couldn't hit no project that suited exactly; so at last the duke said he reckoned he'd lay off and work his brains an hour or two and see if he couldn't put up something on the Arkansaw village; and the king he allowed he would drop over to t'other village without any plan, but just trust in Providence to lead him the profitable waymeaning the devil, I reckon.	They couldn't hit no project that suited exactly; so at last the duke said he reckoned he'd lay off and work his brains an hour or two and see if he couldn't put up something on the Arkansaw village; and the king he allowed he would drop over to t'other village without any plan, but just trust in Providence to lead him the profitable way  meaning the devil, I reckon.	false	164.54	187.03	16
3005_163391_000005_000002	We had all bought store clothes where we stopped last; and now the king put his'n on, and he told me to put mine on.	We had all bought store clothes where we stopped last; and now the king put his'n on, and he told me to put mine on.	false	187.73	195.07	16
3005_163391_000005_000003	I done it, of course.	I done it, of course.	true	195.38	196.93	20.53851
3005_163391_000005_000004	The king's duds was all black, and he did look real swell and starchy.	The king's duds was all black, and he did look real swell and starchy.	true	197.15	202.12	15
3005_163391_000005_000005	I never knowed how clothes could change a body before.	I never knowed how clothes could change a body before.	true	202.4	205.57	15
3005_163391_000005_000006	Why, before, he looked like the orneriest old rip that ever was; but now, when he'd take off his new white beaver and make a bow and do a smile, he looked that grand and good and pious that you'd say he had walked right out of the ark, and maybe was old Leviticus himself.	Why, before, he looked like the orneriest old rip that ever was; but now, when he'd take off his new white beaver and make a bow and do a smile, he looked that grand and good and pious that you'd say he had walked right out of the ark, and maybe was old leviticus himself.	false	205.88	224.77	19
3005_163391_000005_000007	Jim cleaned up the canoe, and I got my paddle ready.	Jim cleaned up the canoe, and I got my paddle ready.	true	225.2	228.76	21.13515
3005_163391_000005_000008	There was a big steamboat laying at the shore away up under the point, about three mile above the townbeen there a couple of hours, taking on freight.	There was a big steamboat laying at the shore away up under the point, about three mile above the town  been there a couple of hours, taking on freight.	false	228.95	239.01	18
3005_163391_000005_000009	Says the king:	Says the king:	false	239.01	240.9	19.033743
3005_163391_000006_000000	"Seein' how I'm dressed, I reckon maybe I better arrive down from St. Louis or Cincinnati, or some other big place.	"Seein' how I'm dressed, I reckon maybe I better arrive down from saint Louis or Cincinnati, or some other big place.	false	240.9	248.74	15
3005_163391_000006_000001	Go for the steamboat, Huckleberry; we'll come down to the village on her."	Go for the steamboat, Huckleberry; we'll come down to the village on her."	true	249.11	253.66	12
3005_163391_000007_000000	I didn't have to be ordered twice to go and take a steamboat ride. I fetched the shore a half a mile above the village, and then went scooting along the bluff bank in the easy water.	I didn't have to be ordered twice to go and take a steamboat ride. I fetched the shore a half a mile above the village, and then went scooting along the bluff bank in the easy water.	false	253.97	264.37	14
3005_163391_000007_000001	Pretty soon we come to a nice innocent-looking young country jake setting on a log swabbing the sweat off of his face, for it was powerful warm weather; and he had a couple of big carpet-bags by him.	Pretty soon we come to a nice innocent looking young country jake setting on a log swabbing the sweat off of his face, for it was powerful warm weather; and he had a couple of big carpet bags by him.	false	264.62	277.24	17
3005_163391_000008_000000	"Run her nose in shore," says the king.	"Run her nose in shore," says the king.	true	277.67	280.21	13
3005_163391_000008_000001	I done it.	I done it.	true	280.22	281.07	20
3005_163391_000008_000002	"Wher' you bound for, young man?"	"Wher' you bound for, young man?"	false	281.07	283.96	17.411673
3005_163391_000009_000000	"For the steamboat; going to Orleans."	"For the steamboat; going to Orleans."	true	285.02	287.77	18
3005_163391_000010_000000	"Git aboard," says the king.	"Git aboard," says the king.	true	288.17	290.11	20
3005_163391_000010_000001	"Hold on a minute, my servant 'll he'p you with them bags.	"Hold on a minute, my servant 'l l he'p you with them bags.	false	290.54	294.22	20.84265
3005_163391_000010_000002	Jump out and he'p the gentleman, Adolphus"meaning me, I see.	Jump out and he'p the gentleman, Adolphus"  meaning me, I see.	true	294.32	298.63	18
3005_163391_000011_000000	I done so, and then we all three started on again.	I done so, and then we all three started on again.	true	298.97	302.5	16
3005_163391_000011_000001	The young chap was mighty thankful; said it was tough work toting his baggage such weather. He asked the king where he was going, and the king told him he'd come down the river and landed at the other village this morning, and now he was going up a few mile to see an old friend on a farm up there.	The young chap was mighty thankful; said it was tough work toting his baggage such weather. He asked the king where he was going, and the king told him he'd come down the river and landed at the other village this morning, and now he was going up a few mile to see an old friend on a farm up there.	false	302.66	319.51	17
3005_163391_000011_000002	The young fellow says:	The young fellow says:	true	319.67	321.13	19
3005_163391_000012_000000	"When I first see you I says to myself, 'It's Mr. Wilks, sure, and he come mighty near getting here in time.' But then I says again, 'No, I reckon it ain't him, or else he wouldn't be paddling up the river.' You _ain't_ him, are you?"	"When I first see you I says to myself, 'It's mr Wilks, sure, and he come mighty near getting here in time.' But then I says again, 'No, I reckon it ain't him, or else he wouldn't be paddling up the river.' You underscore ain't underscore him, are you?"	false	321.59	337.06	20
3005_163391_000013_000000	"No, my name's BlodgettElexander Blodgett_Reverend_ Elexander Blodgett, I s'pose I must say, as I'm one o' the Lord's poor servants. But still I'm jist as able to be sorry for Mr. Wilks for not arriving in time, all the same, if he's missed anything by itwhich I hope he hasn't."	"No, my name's Blodgett  Elexander Blodgett underscore Reverend underscore Elexander Blodgett, I s'pose I must say, as I'm one o' the Lord's poor servants. But still I'm jist as able to be sorry for mr Wilks for not arriving in time, all the same, if he's missed anything by it  which I hope he hasn't."	false	337.88	357.76	17
3005_163391_000014_000000	"Well, he don't miss any property by it, because he'll get that all right; but he's missed seeing his brother Peter diewhich he mayn't mind, nobody can tell as to thatbut his brother would a give anything in this world to see _him_ before he died; never talked about nothing else all these three weeks; hadn't seen him since they was boys togetherand hadn't ever seen his brother William at allthat's the deef and dumb oneWilliam ain't more than thirty or thirty-five.	"Well, he don't miss any property by it, because he'll get that all right; but he's missed seeing his brother peter die  which he mayn't mind, nobody can tell as to that  but his brother would a give anything in this world to see underscore him underscore before he died; never talked about nothing else all these three weeks; hadn't seen him since they was boys together  and hadn't ever seen his brother William at all  that's the deef and dumb one  William ain't more than thirty or thirty five.	false	358.91	389.38	18.776903
3005_163391_000014_000001	Peter and George were the only ones that come out here; George was the married brother; him and his wife both died last year.	peter and George were the only ones that come out here; George was the married brother; him and his wife both died last year.	true	389.66	397.21	14
3005_163391_000014_000002	Harvey and William's the only ones that's left now; and, as I was saying, they haven't got here in time."	Harvey and William's the only ones that's left now; and, as I was saying, they haven't got here in time."	true	397.28	403.69	18
3005_163391_000015_000000	"Did anybody send 'em word?"	"Did anybody send 'em word?"	true	404.42	406.39	19
3005_163391_000016_000000	"Oh, yes; a month or two ago, when Peter was first took; because Peter said then that he sorter felt like he warn't going to get well this time.	"Oh, yes; a month or two ago, when peter was first took; because peter said then that he sorter felt like he warn't going to get well this time.	false	406.79	416.41	18
3005_163391_000016_000001	You see, he was pretty old, and George's g'yirls was too young to be much company for him, except Mary Jane, the red-headed one; and so he was kinder lonesome after George and his wife died, and didn't seem to care much to live.	You see, he was pretty old, and George's g'yirls was too young to be much company for him, except Mary Jane, the red headed one; and so he was kinder lonesome after George and his wife died, and didn't seem to care much to live.	false	416.63	431.08	17
3005_163391_000016_000002	He most desperately wanted to see Harveyand William, too, for that matterbecause he was one of them kind that can't bear to make a will.	He most desperately wanted to see Harvey  and William, too, for that matter  because he was one of them kind that can't bear to make a will.	true	431.18	439.12	18
3005_163391_000016_000003	He left a letter behind for Harvey, and said he'd told in it where his money was hid, and how he wanted the rest of the property divided up so George's g'yirls would be all rightfor George didn't leave nothing.	He left a letter behind for Harvey, and said he'd told in it where his money was hid, and how he wanted the rest of the property divided up so George's g'yirls would be all right  for George didn't leave nothing.	false	439.37	451.24	17
3005_163391_000016_000004	And that letter was all they could get him to put a pen to."	And that letter was all they could get him to put a pen to."	true	451.4	454.6	15
3005_163391_000017_000000	"Why do you reckon Harvey don't come?	"Why do you reckon Harvey don't come?	false	455.42	457.5	18
3005_163391_000017_000001	Wher' does he live?"	Wher' does he live?"	false	457.5	458.98	23.113054
3005_163391_000018_000000	"Oh, he lives in EnglandSheffieldpreaches therehasn't ever been in this country.	"Oh, he lives in England  Sheffield  preaches there  hasn't ever been in this country.	true	459.44	465.28	19.856413
3005_163391_000018_000001	He hasn't had any too much timeand besides he mightn't a got the letter at all, you know."	He hasn't had any too much time  and besides he mightn't a got the letter at all, you know."	false	465.5	470.89	14
3005_163391_000019_000000	"Too bad, too bad he couldn't a lived to see his brothers, poor soul. You going to Orleans, you say?"	"Too bad, too bad he couldn't a lived to see his brothers, poor soul. You going to Orleans, you say?"	true	471.56	477.82	16
3005_163391_000020_000000	"Yes, but that ain't only a part of it.	"Yes, but that ain't only a part of it.	true	478.37	481.33	17.640686
3005_163391_000020_000001	I'm going in a ship, next Wednesday, for Ryo Janeero, where my uncle lives."	I'm going in a ship, next Wednesday, for Ryo Janeero, where my uncle lives."	false	481.43	487.68	21.71928
3005_163391_000021_000000	"It's a pretty long journey.	"It's a pretty long journey.	true	487.68	489.43	16
3005_163391_000021_000001	But it'll be lovely; wisht I was a-going. Is Mary Jane the oldest?	But it'll be lovely; wisht I was a going. Is Mary Jane the oldest?	true	489.59	495.04	18.91404
3005_163391_000021_000002	How old is the others?"	How old is the others?"	true	495.2	496.66	19.157505
3005_163391_000022_000000	"Mary Jane's nineteen, Susan's fifteen, and Joanna's about fourteenthat's the one that gives herself to good works and has a hare-lip."	"Mary Jane's nineteen, Susan's fifteen, and Joanna's about fourteen  that's the one that gives herself to good works and has a hare lip."	true	497.12	505.93	21.11555
3005_163391_000023_000000	"Poor things! to be left alone in the cold world so."	"Poor things! to be left alone in the cold world so."	true	506.45	510.49	19
3005_163391_000024_000000	"Well, they could be worse off.	"Well, they could be worse off.	true	511.19	513.36	22.031307
3005_163391_000024_000001	Old Peter had friends, and they ain't going to let them come to no harm.	Old peter had friends, and they ain't going to let them come to no harm.	false	513.36	517.66	21
3005_163391_000024_000002	There's Hobson, the Babtis' preacher; and Deacon Lot Hovey, and Ben Rucker, and Abner Shackleford, and Levi Bell, the lawyer; and Dr. Robinson, and their wives, and the widow Bartley, andwell, there's a lot of them; but these are the ones that Peter was thickest with, and used to write about sometimes, when he wrote home; so Harvey 'll know where to look for friends when he gets here."	There's Hobson, the Babtis' preacher; and Deacon Lot Hovey, and Ben Rucker, and Abner Shackleford, and Levi Bell, the lawyer; and dr Robinson, and their wives, and the widow Bartley, and  well, there's a lot of them; but these are the ones that peter was thickest with, and used to write about sometimes, when he wrote home; so Harvey 'l l know where to look for friends when he gets here."	false	517.67	541.48	21.165173
3005_163391_000025_000000	Well, the old man went on asking questions till he just fairly emptied that young fellow.	Well, the old man went on asking questions till he just fairly emptied that young fellow.	true	542.78	547.9	18
3005_163391_000025_000001	Blamed if he didn't inquire about everybody and everything in that blessed town, and all about the Wilkses; and about Peter's businesswhich was a tanner; and about George'swhich was a carpenter; and about Harvey'swhich was a dissentering minister; and so on, and so on.	Blamed if he didn't inquire about everybody and everything in that blessed town, and all about the Wilkses; and about Peter's business  which was a tanner; and about George's  which was a carpenter; and about Harvey's  which was a dissentering minister; and so on, and so on.	true	548.18	564.73	20
3005_163391_000025_000002	Then he says:	Then he says:	true	564.77	565.93	16.70734
3005_163391_000026_000000	"What did you want to walk all the way up to the steamboat for?"	"What did you want to walk all the way up to the steamboat for?"	true	566.33	569.47	16
3005_163391_000027_000000	"Because she's a big Orleans boat, and I was afeard she mightn't stop there.	"Because she's a big Orleans boat, and I was afeard she mightn't stop there.	true	570.32	574.6	19.546309
3005_163391_000027_000001	When they're deep they won't stop for a hail.	When they're deep they won't stop for a hail.	true	574.76	577.24	22
3005_163391_000027_000002	A Cincinnati boat will, but this is a St. Louis one."	A Cincinnati boat will, but this is a saint Louis one."	true	577.25	580.6	19
3005_163391_000028_000000	"Was Peter Wilks well off?"	"Was peter Wilks well off?"	true	581.36	583.3	19
3005_163391_000029_000000	"Oh, yes, pretty well off.	"Oh, yes, pretty well off.	true	583.67	585.69	22.444258
3005_163391_000029_000001	He had houses and land, and it's reckoned he left three or four thousand in cash hid up som'ers."	He had houses and land, and it's reckoned he left three or four thousand in cash hid up som'ers."	true	585.69	591.07	16
3005_163391_000030_000000	"When did you say he died?"	"When did you say he died?"	true	591.47	593.08	11
3005_163391_000031_000000	"I didn't say, but it was last night."	"I didn't say, but it was last night."	false	593.36	595.45	21
3005_163391_000032_000000	"Funeral to-morrow, likely?"	"Funeral to morrow, likely?"	true	595.85	597.64	20
3005_163391_000033_000000	"Yes, 'bout the middle of the day."	"Yes, 'bout the middle of the day."	false	597.92	600.04	24.172445
3005_163391_000034_000000	"Well, it's all terrible sad; but we've all got to go, one time or another.	"Well, it's all terrible sad; but we've all got to go, one time or another.	true	600.74	605.83	19.618528
3005_163391_000034_000001	So what we want to do is to be prepared; then we're all right."	So what we want to do is to be prepared; then we're all right."	false	606.23	609.85	23
3005_163391_000035_000000	"Yes, sir, it's the best way.	"Yes, sir, it's the best way.	true	609.98	611.85	21
3005_163391_000035_000001	Ma used to always say that."	Ma used to always say that."	false	611.85	613.96	20
3005_163391_000036_000000	When we struck the boat she was about done loading, and pretty soon she got off.	When we struck the boat she was about done loading, and pretty soon she got off.	true	615.08	619.78	19
3005_163391_000036_000001	The king never said nothing about going aboard, so I lost my ride, after all.	The king never said nothing about going aboard, so I lost my ride, after all.	true	619.94	624.64	18
3005_163391_000036_000002	When the boat was gone the king made me paddle up another mile to a lonesome place, and then he got ashore and says:	When the boat was gone the king made me paddle up another mile to a lonesome place, and then he got ashore and says:	true	625.04	631.72	15
3005_163391_000037_000000	"Now hustle back, right off, and fetch the duke up here, and the new carpet-bags.	"Now hustle back, right off, and fetch the duke up here, and the new carpet bags.	true	632.18	637.75	21.475239
3005_163391_000037_000001	And if he's gone over to t'other side, go over there and git him.	And if he's gone over to t'other side, go over there and git him.	false	637.76	641.53	19.435488
3005_163391_000037_000002	And tell him to git himself up regardless.	And tell him to git himself up regardless.	true	641.69	644.115	19.72576
3005_163391_000037_000003	Shove along, now."	Shove along, now."	true	644.115	645.52	15.789728
3005_163391_000038_000000	I see what _he_ was up to; but I never said nothing, of course.	I see what underscore he underscore was up to; but I never said nothing, of course.	false	646.13	650.23	18
3005_163391_000038_000001	When I got back with the duke we hid the canoe, and then they set down on a log, and the king told him everything, just like the young fellow had said itevery last word of it.	When I got back with the duke we hid the canoe, and then they set down on a log, and the king told him everything, just like the young fellow had said it  every last word of it.	false	650.33	660.49	21
3005_163391_000038_000002	And all the time he was a-doing it he tried to talk like an Englishman; and he done it pretty well, too, for a slouch.	And all the time he was a doing it he tried to talk like an Englishman; and he done it pretty well, too, for a slouch.	false	660.8	667.84	21
3005_163391_000038_000003	I can't imitate him, and so I ain't a-going to try to; but he really done it pretty good.	I can't imitate him, and so I ain't a going to try to; but he really done it pretty good.	false	668.09	673.39	19
3005_163391_000038_000004	Then he says:	Then he says:	true	673.43	674.56	17.866508
3005_163391_000039_000000	"How are you on the deef and dumb, Bilgewater?"	"How are you on the deef and dumb, Bilgewater?"	true	674.96	677.68	17.209671
3005_163391_000040_000000	The duke said, leave him alone for that; said he had played a deef and dumb person on the histronic boards.	The duke said, leave him alone for that; said he had played a deef and dumb person on the histronic boards.	false	678.26	684.28	18
3005_163391_000040_000001	So then they waited for a steamboat.	So then they waited for a steamboat.	true	684.32	686.83	21.816244
3005_163391_000041_000000	About the middle of the afternoon a couple of little boats come along, but they didn't come from high enough up the river; but at last there was a big one, and they hailed her.	About the middle of the afternoon a couple of little boats come along, but they didn't come from high enough up the river; but at last there was a big one, and they hailed her.	true	687.14	696.28	19.753109
3005_163391_000041_000001	She sent out her yawl, and we went aboard, and she was from Cincinnati; and when they found we only wanted to go four or five mile they was booming mad, and gave us a cussing, and said they wouldn't land us.	She sent out her yawl, and we went aboard, and she was from Cincinnati; and when they found we only wanted to go four or five mile they was booming mad, and gave us a cussing, and said they wouldn't land us.	true	696.56	709.36	19
3005_163391_000041_000002	But the king was ca'm.	But the king was ca'm.	true	709.52	711.045	19.810865
3005_163391_000041_000003	He says:	He says:	true	711.045	712	20.398478
3005_163391_000042_000000	"If gentlemen kin afford to pay a dollar a mile apiece to be took on and put off in a yawl, a steamboat kin afford to carry 'em, can't it?"	"If gentlemen kin afford to pay a dollar a mile apiece to be took on and put off in a yawl, a steamboat kin afford to carry 'em, can't it?"	false	712.4	720.97	17
3005_163391_000043_000000	So they softened down and said it was all right; and when we got to the village they yawled us ashore.	So they softened down and said it was all right; and when we got to the village they yawled us ashore.	false	721.58	726.91	14
3005_163391_000043_000001	About two dozen men flocked down when they see the yawl a-coming, and when the king says:	About two dozen men flocked down when they see the yawl a coming, and when the king says:	false	728.51	734.56	17
3005_163391_000044_000000	"Kin any of you gentlemen tell me wher' Mr. Peter Wilks lives?" they give a glance at one another, and nodded their heads, as much as to say, "What d' I tell you?" Then one of them says, kind of soft and gentle:	"Kin any of you gentlemen tell me where' mr peter Wilks lives?" they give a glance at one another, and nodded their heads, as much as to say, "What d' I tell you?" Then one of them says, kind of soft and gentle:	false	735.05	748.24	16
3005_163391_000045_000000	"I'm sorry sir, but the best we can do is to tell you where he _did_ live yesterday evening."	"I'm sorry sir, but the best we can do is to tell you where he underscore did underscore live yesterday evening."	false	749.33	755.17	14
3005_163391_000046_000000	Sudden as winking the ornery old cretur went an to smash, and fell up against the man, and put his chin on his shoulder, and cried down his back, and says:	Sudden as winking the ornery old cretur went an to smash, and fell up against the man, and put his chin on his shoulder, and cried down his back, and says:	true	755.75	765.45	14
3005_163391_000047_000000	"Alas, alas, our poor brothergone, and we never got to see him; oh, it's too, too hard!"	"Alas, alas, our poor brother  gone, and we never got to see him; oh, it's too, too hard!"	false	765.45	773.23	17
3005_163391_000048_000000	Then he turns around, blubbering, and makes a lot of idiotic signs to the duke on his hands, and blamed if he didn't drop a carpet-bag and bust out a-crying.	Then he turns around, blubbering, and makes a lot of idiotic signs to the duke on his hands, and blamed if he didn't drop a carpet bag and bust out a crying.	true	773.63	782.47	16
3005_163391_000048_000001	If they warn't the beatenest lot, them two frauds, that ever I struck.	If they warn't the beatenest lot, them two frauds, that ever I struck.	true	782.75	787.09	16
3005_163391_000049_000000	Well, the men gathered around and sympathized with them, and said all sorts of kind things to them, and carried their carpet-bags up the hill for them, and let them lean on them and cry, and told the king all about his brother's last moments, and the king he told it all over again on his hands to the duke, and both of them took on about that dead tanner like they'd lost the twelve disciples.	Well, the men gathered around and sympathized with them, and said all sorts of kind things to them, and carried their carpet bags up the hill for them, and let them lean on them and cry, and told the king all about his brother's last moments, and the king he told it all over again on his hands to the duke, and both of them took on about that dead tanner like they'd lost the twelve disciples.	false	787.73	809.68	16
3005_163391_000049_000001	Well, if ever I struck anything like it, I'm a nigger.	Well, if ever I struck anything like it, I'm a nigger.	false	810.11	813.76	17
3005_163391_000049_000002	It was enough to make a body ashamed of the human race.	It was enough to make a body ashamed of the human race.	false	813.92	820.02	16.895031
3005_163391_000050_000000	CHAPTER XXV.	CHAPTER twenty five.	false	820.02	820.86	13
3005_163391_000051_000000	THE news was all over town in two minutes, and you could see the people tearing down on the run from every which way, some of them putting on their coats as they come.	THE news was all over town in two minutes, and you could see the people tearing down on the run from every which way, some of them putting on their coats as they come.	false	820.86	823.83	13
3005_163391_000051_000001	Pretty soon we was in the middle of a crowd, and the noise of the tramping was like a soldier march.	Pretty soon we was in the middle of a crowd, and the noise of the tramping was like a soldier march.	false	823.83	825.24	7
3005_163391_000051_000002	The windows and dooryards was full; and every minute somebody would say, over a fence:	The windows and dooryards was full; and every minute somebody would say, over a fence:	false	825.24	830.01	11
