3005_163399_000000_000000	CHAPTER XXXII.	CHAPTER thirty two.	false	1.2	28.335	19.340063
3005_163399_000001_000000	WHEN I got there it was all still and Sunday-like, and hot and sunshiny; the hands was gone to the fields; and there was them kind of faint dronings of bugs and flies in the air that makes it seem so lonesome and like everybody's dead and gone; and if a breeze fans along and quivers the leaves it makes you feel mournful, because you feel like it's spirits whisperingspirits that's been dead ever so many yearsand you always think they're talking about _you_.	WHEN I got there it was all still and Sunday like, and hot and sunshiny; the hands was gone to the fields; and there was them kind of faint dronings of bugs and flies in the air that makes it seem so lonesome and like everybody's dead and gone; and if a breeze fans along and quivers the leaves it makes you feel mournful, because you feel like it's spirits whispering  spirits that's been dead ever so many years  and you always think they're talking about underscore you underscore.	false	28.335	58.5	18.198147
3005_163399_000001_000001	As a general thing it makes a body wish _he_ was dead, too, and done with it all.	As a general thing it makes a body wish underscore he underscore was dead, too, and done with it all.	false	58.5	63.28	13
3005_163399_000002_000000	Phelps' was one of these little one-horse cotton plantations, and they all look alike.	Phelps' was one of these little one horse cotton plantations, and they all look alike.	true	63.65	69.55	19.456228
3005_163399_000002_000001	A rail fence round a two-acre yard; a stile made out of logs sawed off and up-ended in steps, like barrels of a different length, to climb over the fence with, and for the women to stand on when they are going to jump on to a horse; some sickly grass-patches in the big yard, but mostly it was bare and smooth, like an old hat with the nap rubbed off; big double log-house for the white folkshewed logs, with the chinks stopped up with mud or mortar, and these mud-stripes been whitewashed some time or another; round-log kitchen, with a big broad, open but roofed passage joining it to the house; log smoke-house back of the kitchen; three little log nigger-cabins in a row t'other side the smoke-house; one little hut all by itself away down against the back fence, and some outbuildings down a piece the other side; ash-hopper and big kettle to bile soap in by the little hut; bench by the kitchen door, with bucket of water and a gourd; hound asleep there in the sun; more hounds asleep round about; about three shade trees away off in a corner; some currant bushes and gooseberry bushes in one place by the fence; outside of the fence a garden and a watermelon patch; then the cotton fields begins, and after the fields the woods.	A rail fence round a two acre yard; a stile made out of logs sawed off and up ended in steps, like barrels of a different length, to climb over the fence with, and for the women to stand on when they are going to jump on to a horse; some sickly grass patches in the big yard, but mostly it was bare and smooth, like an old hat with the nap rubbed off; big double log house for the white folks  hewed logs, with the chinks stopped up with mud or mortar, and these mud stripes been whitewashed some time or another; round log kitchen, with a big broad, open but roofed passage joining it to the house; log smoke house back of the kitchen; three little log nigger cabins in a row t'other side the smoke house; one little hut all by itself away down against the back fence, and some outbuildings down a piece the other side; ash hopper and big kettle to bile soap in by the little hut; bench by the kitchen door, with bucket of water and a gourd; hound asleep there in the sun; more hounds asleep round about; about three shade trees away off in a corner; some currant bushes and gooseberry bushes in one place by the fence; outside of the fence a garden and a watermelon patch; then the cotton fields begins, and after the fields the woods.	false	69.77	153.61	19.600573
3005_163399_000003_000000	I went around and clumb over the back stile by the ash-hopper, and started for the kitchen.	I went around and clumb over the back stile by the ash hopper, and started for the kitchen.	false	154.58	159.85	22.550772
3005_163399_000003_000001	When I got a little ways I heard the dim hum of a spinning-wheel wailing along up and sinking along down again; and then I knowed for certain I wished I was deadfor that _is_ the lonesomest sound in the whole world.	When I got a little ways I heard the dim hum of a spinning wheel wailing along up and sinking along down again; and then I knowed for certain I wished I was dead  for that underscore is underscore the lonesomest sound in the whole world.	false	160.22	173.65	18
3005_163399_000004_000000	I went right along, not fixing up any particular plan, but just trusting to Providence to put the right words in my mouth when the time come; for I'd noticed that Providence always did put the right words in my mouth if I left it alone.	I went right along, not fixing up any particular plan, but just trusting to Providence to put the right words in my mouth when the time come; for I'd noticed that Providence always did put the right words in my mouth if I left it alone.	true	174.71	189.13	15
3005_163399_000005_000000	When I got half-way, first one hound and then another got up and went for me, and of course I stopped and faced them, and kept still.	When I got half-way, first one hound and then another got up and went for me, and of course I stopped and faced them, and kept still.	true	190.25	199.24	21.470873
3005_163399_000005_000001	And such another powwow as they made!	And such another powwow as they made!	true	199.67	202.17	21.914593
3005_163399_000005_000002	In a quarter of a minute I was a kind of a hub of a wheel, as you may sayspokes made out of dogscircle of fifteen of them packed together around me, with their necks and noses stretched up towards me, a-barking and howling; and more a-coming; you could see them sailing over fences and around corners from everywheres.	In a quarter of a minute I was a kind of a hub of a wheel, as you may say  spokes made out of dogs  circle of fifteen of them packed together around me, with their necks and noses stretched up towards me, a barking and howling; and more a coming; you could see them sailing over fences and around corners from everywheres.	false	202.17	222.82	20.368101
