3080_5040_000000_000000	I promised in my last to write again before I went out of town, and now I'll be as good as my word.	I promised in my last to write again before I went out of town, and now I'll be as good as my word.	false	27.135	34	22.14112
3080_5040_000000_000001	They are all gone this morning, and have left me much more at liberty than I have been of late, therefore I believe this will be a long letter; perhaps too long, at least if my letters are as little entertaining as my company is.	They are all gone this morning, and have left me much more at liberty than I have been of late, therefore I believe this will be a long letter; perhaps too long, at least if my letters are as little entertaining as my company is.	false	34.85	49.54	23.161554
3080_5040_000000_000002	I was carried yesterday abroad to a dinner that was designed for mirth, but it seems one ill-humoured person in the company is enough to put all the rest out of tune; for I never saw people perform what they intended worse, and could not forbear telling them so: but to excuse themselves and silence my reproaches, they all agreed to say that I spoiled their jollity by wearing the most unreasonable looks that could be put on for such an occasion.	I was carried yesterday abroad to a dinner that was designed for mirth, but it seems one ill humoured person in the company is enough to put all the rest out of tune; for I never saw people perform what they intended worse, and could not forbear telling them so: but to excuse themselves and silence my reproaches, they all agreed to say that I spoiled their jollity by wearing the most unreasonable looks that could be put on for such an occasion.	false	50.99	81.46	22.805002
3080_5040_000000_000003	I told them I knew no remedy but leaving me behind next time, and could have told them that my looks were suitable to my fortune, though not to a feast.	I told them I knew no remedy but leaving me behind next time, and could have told them that my looks were suitable to my fortune, though not to a feast.	true	82.22	91.95	24.205458
3080_5040_000000_000004	Fye!	Fye!	false	91.95	93.78	18.402725
3080_5040_000000_000005	I am got into my complaining humour that tires myself as well as everybody else, and which (as you observe) helps not at all.	I am got into my complaining humour that tires myself as well as everybody else, and which (as you observe) helps not at all.	true	93.78	102.58	24.69782
3080_5040_000000_000006	Would it would leave me, and then I could believe I shall not always have occasion for it.	Would it would leave me, and then I could believe I shall not always have occasion for it.	true	103.43	109.6	23.270021
3080_5040_000000_000007	But that's in nobody's power, and my Lady Talmash, that says she can do whatsoever she will, cannot believe whatsoever she pleases.	But that's in nobody's power, and my Lady Talmash, that says she can do whatsoever she will, cannot believe whatsoever she pleases.	true	110.48	119.8	22.432577
3080_5040_000000_000008	'Tis not unpleasant, methinks, to hear her talk, how at such a time she was sick and the physicians told her she would have the small-pox, and showed her where they were coming out upon her; but she bethought herself that it was not at all convenient for her to have them at that time; some business she had that required her going abroad, and so she resolved she would not be sick; nor was not.	'tis not unpleasant, methinks, to hear her talk, how at such a time she was sick and the physicians told her she would have the small pox, and showed her where they were coming out upon her; but she bethought herself that it was not at all convenient for her to have them at that time; some business she had that required her going abroad, and so she resolved she would not be sick; nor was not.	false	121.28	147.76	23.786674
3080_5040_000000_000009	Twenty such stories as these she tells; and then falls into discoveries of strength of reason and the power of philosophy, till she confounds herself and all that hear her.	Twenty such stories as these she tells; and then falls into discoveries of strength of reason and the power of philosophy, till she confounds herself and all that hear her.	false	148.94	160.63	22.293365
3080_5040_000000_000010	You have no such ladies in Ireland?	You have no such ladies in Ireland?	true	160.91	162.91	20.725733
3080_5040_000001_000000	Oh me, but I heard to-day your cousin Hammond is going thither to be in Ludlow's place.	Oh me, but I heard to day your cousin Hammond is going thither to be in Ludlow's place.	false	163.82	169.72	22.799782
3080_5040_000001_000001	Is it true?	Is it true?	true	170.06	171.04	27.117311
3080_5040_000001_000002	You tell me nothing what is done there, but 'tis no matter.	You tell me nothing what is done there, but 'tis no matter.	false	171.68	175.03	21.362434
3080_5040_000001_000003	The less one knows of State affairs I find it is the better.	The less one knows of State affairs I find it is the better.	true	175.46	178.63	21.111643
3080_5040_000001_000004	My poor Lady Vavasour is carried to the Tower, and her great belly could not excuse her, because she was acquainted by somebody that there was a plot against the Protector, and did not discover it.	My poor Lady Vavasour is carried to the Tower, and her great belly could not excuse her, because she was acquainted by somebody that there was a plot against the Protector, and did not discover it.	true	179.42	191.74	24.788736
3080_5040_000001_000005	She has told now all that was told her, but vows she will never say from whence she had it: we shall see whether her resolutions are as unalterable as those of my Lady Talmash.	She has told now all that was told her, but vows she will never say from whence she had it: we shall see whether her resolutions are as unalterable as those of my Lady Talmash.	false	192.77	205.15	21.832048
3080_5040_000001_000006	I wonder how she behaved herself when she was married.	I wonder how she behaved herself when she was married.	true	206.78	209.89	20.034807
3080_5040_000001_000007	I never saw any one yet that did not look simply and out of countenance, nor ever knew a wedding well designed but one; and that was of two persons who had time enough I confess to contrive it, and nobody to please in't but themselves.	I never saw any one yet that did not look simply and out of countenance, nor ever knew a wedding well designed but one; and that was of two persons who had time enough I confess to contrive it, and nobody to please in't but themselves.	false	210.32	225.79	24.014545
3080_5040_000001_000008	He came down into the country where she was upon a visit, and one morning married her.	He came down into the country where she was upon a visit, and one morning married her.	true	226.73	232.03	23.423944
3080_5040_000001_000009	As soon as they came out of the church they took coach and came for the town, dined at an inn by the way, and at night came into lodgings that were provided for them where nobody knew them, and where they passed for married people of seven years' standing.	As soon as they came out of the church they took coach and came for the town, dined at an inn by the way, and at night came into lodgings that were provided for them where nobody knew them, and where they passed for married people of seven years' standing.	false	232.76	247.15	23.144674
3080_5040_000002_000000	The truth is I could not endure to be Mrs. Bride in a public wedding, to be made the happiest person on earth.	The truth is I could not endure to be mrs Bride in a public wedding, to be made the happiest person on earth.	false	249.02	257.32	26.77961
3080_5040_000002_000001	Do not take it ill, for I would endure it if I could, rather than fail; but in earnest I do not think it were possible for me.	Do not take it ill, for I would endure it if I could, rather than fail; but in earnest I do not think it were possible for me.	true	258.29	267.37	23.136456
3080_5040_000002_000002	You cannot apprehend the formalities of a treaty more than I do, nor so much the success on't.	You cannot apprehend the formalities of a treaty more than I do, nor so much the success on't.	false	268.82	276.09	21.90844
3080_5040_000002_000003	Yet in earnest, your father will not find my brother Peyton wanting in civility (though he is not a man of much compliment, unless it be in his letters to me), nor an unreasonable person in anything, so he will allow him out of his kindness to his wife to set a higher value upon her sister than she deserves.	Yet in earnest, your father will not find my brother Peyton wanting in civility (though he is not a man of much compliment, unless it be in his letters to me), nor an unreasonable person in anything, so he will allow him out of his kindness to his wife to set a higher value upon her sister than she deserves.	false	276.09	295.63	23.035162
3080_5040_000002_000004	I know not how he may be prejudiced as to the business, but he is not deaf to reason when 'tis civilly delivered, and is as easily gained with compliance and good usage as anybody I know, but by no other way.	I know not how he may be prejudiced as to the business, but he is not deaf to reason when 'tis civilly delivered, and is as easily gained with compliance and good usage as anybody I know, but by no other way.	true	296.6	312.55	22.890545
3080_5040_000002_000005	When he is roughly dealt with, he is like me, ten times the worse for't.	When he is roughly dealt with, he is like me, ten times the worse for't.	false	313.46	320.79	18.97412
3080_5040_000003_000000	I make it a case of conscience to discover my faults to you as fast as I know them, that you may consider what you have to do.	I make it a case of conscience to discover my faults to you as fast as I know them, that you may consider what you have to do.	true	320.79	328.99	26.151155
3080_5040_000003_000001	My aunt told me no longer agone than yesterday that I was the most wilful woman that ever she knew, and had an obstinacy of spirit nothing could overcome.	My aunt told me no longer agone than yesterday that I was the most wilful woman that ever she knew, and had an obstinacy of spirit nothing could overcome.	true	329.78	340.27	23.853884
3080_5040_000003_000002	Take heed! you see I give you fair warning.	Take heed! you see I give you fair warning.	true	340.55	343.99	21.425432
3080_5040_000004_000000	I have missed a letter this Monday: What is the reason?	I have missed a letter this Monday: What is the reason?	false	345.53	349.24	23.032698
3080_5040_000004_000001	By the next, I shall be gone into Kent, and my other journey is laid aside, which I am not displeased at, because it would have broken our intercourse very much.	By the next, I shall be gone into Kent, and my other journey is laid aside, which I am not displeased at, because it would have broken our intercourse very much.	false	349.88	358.66	24.043474
3080_5040_000005_000000	Here are some verses of Cowley's.	Here are some verses of Cowley's.	true	359.51	361.27	18.237438
3080_5040_000005_000001	Tell me how you like them.	Tell me how you like them.	true	361.55	362.86	28.17647
3080_5040_000005_000002	'Tis only a piece taken out of a new thing of his; the whole is very long, and is a description of, or rather a paraphrase upon the friendship of David and Jonathan. 'Tis, I think, the best I have seen of his, and I like the subject because 'tis that I would be perfect in.	'tis only a piece taken out of a new thing of his; the whole is very long, and is a description of, or rather a paraphrase upon the friendship of David and Jonathan. 'tis, I think, the best I have seen of his, and I like the subject because 'tis that I would be perfect in.	false	363.32	381.15	24.263823
3080_5040_000005_000003	Adieu.	Adieu.	false	381.15	382.59	100
3080_5040_000006_000000	_Je suis vostre._	underscore Je suis vostre.underscore	false	382.59	389.79	17.78279
3080_5040_000007_000000	_Letter 62._	underscore Letter sixty two.underscore	false	389.79	392.73	22.632195
3080_5040_000008_000000	_June the 26th_ [1654].	underscore June the twenty sixth underscore [sixteen fifty four].	false	392.73	396.49	27.09465
3080_5040_000009_000000	I told you in my last that my Suffolk journey was laid aside, and that into Kent hastened.	I told you in my last that my Suffolk journey was laid aside, and that into Kent hastened.	true	398.69	404.98	21.337734
3080_5040_000009_000001	I am beginning it to-day; and have chosen to go as far as Gravesend by water, though it be very gloomy weather.	I am beginning it to day; and have chosen to go as far as Gravesend by water, though it be very gloomy weather.	true	405.71	412.57	24.63712
3080_5040_000009_000002	If I drown by the way, this will be my last letter; and, like a will, I bequeath all my kindness to you in it, with a charge never to bestow it all upon another mistress, lest my ghost rise again and haunt you.	If I drown by the way, this will be my last letter; and, like a will, I bequeath all my kindness to you in it, with a charge never to bestow it all upon another mistress, lest my ghost rise again and haunt you.	true	413.69	429.67	24.598646
3080_5040_000009_000003	I am in such haste that I can say little else to you now.	I am in such haste that I can say little else to you now.	false	431.27	435.27	21.825333
3080_5040_000009_000004	When you are come over, we'l' think where to meet, for at this distance I can design nothing; only I should be as little pleased with the constraint of my brother's house as you.	When you are come over, we'l' think where to meet, for at this distance I can design nothing; only I should be as little pleased with the constraint of my brother's house as you.	false	435.27	445.96	22.66616
3080_5040_000009_000005	Pray let me know whether your man leaves you, and how you stand inclined to him I offer you.	Pray let me know whether your man leaves you, and how you stand inclined to him I offer you.	true	446.9	452.17	24.850136
3080_5040_000009_000006	Indeed, I like him extremely, and he is commended to me, by people that know him very well and are able to judge, for a most excellent servant, and faithful as possible.	Indeed, I like him extremely, and he is commended to me, by people that know him very well and are able to judge, for a most excellent servant, and faithful as possible.	true	452.93	463.87	26.372143
3080_5040_000009_000007	I'll keep him unengaged till I hear from you.	I'll keep him unengaged till I hear from you.	false	464.6	466.89	22.73745
3080_5040_000009_000008	Adieu.	Adieu.	false	466.89	469.11	20.361845
3080_5040_000010_000000	My next shall make amends for this short one.	My next shall make amends for this short one.	true	469.11	471.03	21
3080_5040_000011_000000	[_P.S._]--I received your last of June 22nd since I sealed up my letter, and I durst not but make an excuse for another short one, after you have chid me so for those you have received already; indeed, I could not help it, nor cannot now, but if that will satisfy I can assure you I shall make a much better wife than I do a husband, if I ever am one.	[underscore p s underscore]--I received your last of june twenty second since I sealed up my letter, and I durst not but make an excuse for another short one, after you have chid me so for those you have received already; indeed, I could not help it, nor cannot now, but if that will satisfy I can assure you I shall make a much better wife than I do a husband, if I ever am one.	false	471.03	495.51	22.923517
