3528_168656_000000_000000	All these streets, moreover, were more ancient than Paris.	All these streets, moreover, were more ancient than Paris.	false	4.05	7.11	21.524748
3528_168656_000000_000001	These names, Droit-Mur and Aumarais, are very ancient; the streets which bear them are very much more ancient still.	These names, Droit Mur and Aumarais, are very ancient; the streets which bear them are very much more ancient still.	false	7.11	14.7	22.607286
3528_168656_000000_000002	Aumarais Lane was called Maugout Lane; the Rue Droit-Mur was called the Rue des Eglantiers, for God opened flowers before man cut stones.	Aumarais Lane was called Maugout Lane; the Rue Droit Mur was called the Rue des Eglantiers, for God opened flowers before man cut stones.	false	14.7	25.02	21.887115
3528_168656_000001_000000	CHAPTER IX--A CENTURY UNDER A GUIMPE	CHAPTER nine-A CENTURY UNDER A GUIMPE	false	25.02	29.73	24.224424
3528_168656_000002_000000	Since we are engaged in giving details as to what the convent of the Petit-Picpus was in former times, and since we have ventured to open a window on that discreet retreat, the reader will permit us one other little digression, utterly foreign to this book, but characteristic and useful, since it shows that the cloister even has its original figures.	Since we are engaged in giving details as to what the convent of the Petit Picpus was in former times, and since we have ventured to open a window on that discreet retreat, the reader will permit us one other little digression, utterly foreign to this book, but characteristic and useful, since it shows that the cloister even has its original figures.	false	29.73	50.05	21.617401
3528_168656_000003_000000	In the Little Convent there was a centenarian who came from the Abbey of Fontevrault.	In the Little Convent there was a centenarian who came from the Abbey of Fontevrault.	true	51.68	56.47	19
3528_168656_000003_000001	She had even been in society before the Revolution.	She had even been in society before the Revolution.	true	57.14	59.95	19.653044
3528_168656_000003_000002	She talked a great deal of M. de Miromesnil, Keeper of the Seals under Louis XVI. and of a Presidentess Duplat, with whom she had been very intimate. It was her pleasure and her vanity to drag in these names on every pretext.	She talked a great deal of m de Miromesnil, Keeper of the Seals under Louis the sixteenth. and of a Presidentess Duplat, with whom she had been very intimate. It was her pleasure and her vanity to drag in these names on every pretext.	false	60.56	75.64	23.115356
3528_168656_000003_000003	She told wonders of the Abbey of Fontevrault,--that it was like a city, and that there were streets in the monastery.	She told wonders of the Abbey of Fontevrault,--that it was like a city, and that there were streets in the monastery.	true	75.92	81.7	23.166288
3528_168656_000004_000000	She talked with a Picard accent which amused the pupils.	She talked with a Picard accent which amused the pupils.	true	82.76	86.14	25.618536
3528_168656_000004_000001	Every year, she solemnly renewed her vows, and at the moment of taking the oath, she said to the priest, "Monseigneur Saint-Francois gave it to Monseigneur Saint-Julien, Monseigneur Saint-Julien gave it to Monseigneur Saint-Eusebius, Monseigneur Saint-Eusebius gave it to Monseigneur Saint-Procopius, etc., etc.; and thus I give it to you, father." And the school-girls would begin to laugh, not in their sleeves, but under their veils; charming little stifled laughs which made the vocal mothers frown.	Every year, she solemnly renewed her vows, and at the moment of taking the oath, she said to the priest, "Monseigneur Saint Francois gave it to Monseigneur Saint Julien, Monseigneur Saint Julien gave it to Monseigneur Saint Eusebius, Monseigneur Saint Eusebius gave it to Monseigneur Saint Procopius, etc, etc; and thus I give it to you, father." And the school girls would begin to laugh, not in their sleeves, but under their veils; charming little stifled laughs which made the vocal mothers frown.	false	86.63	117.46	20.126272
3528_168656_000005_000000	On another occasion, the centenarian was telling stories.	On another occasion, the centenarian was telling stories.	true	119.63	122.74	24
3528_168656_000005_000001	She said that in her youth the Bernardine monks were every whit as good as the mousquetaires.	She said that in her youth the Bernardine monks were every whit as good as the mousquetaires.	true	123.23	129.13	20
3528_168656_000005_000002	It was a century which spoke through her, but it was the eighteenth century.	It was a century which spoke through her, but it was the eighteenth century.	true	129.83	133.93	22.288532
3528_168656_000005_000003	She told about the custom of the four wines, which existed before the Revolution in Champagne and Bourgogne.	She told about the custom of the four wines, which existed before the Revolution in Champagne and Bourgogne.	true	134.63	141.28	21.789663
3528_168656_000005_000004	When a great personage, a marshal of France, a prince, a duke, and a peer, traversed a town in Burgundy or Champagne, the city fathers came out to harangue him and presented him with four silver gondolas into which they had poured four different sorts of wine.	When a great personage, a marshal of France, a prince, a duke, and a peer, traversed a town in Burgundy or Champagne, the city fathers came out to harangue him and presented him with four silver gondolas into which they had poured four different sorts of wine.	true	142.91	157.66	22.560257
3528_168656_000005_000005	On the first goblet this inscription could be read, monkey wine; on the second, lion wine; on the third, sheep wine; on the fourth, hog wine.	On the first goblet this inscription could be read, monkey wine; on the second, lion wine; on the third, sheep wine; on the fourth, hog wine.	true	158.6	168.49	21.782394
3528_168656_000005_000006	These four legends express the four stages descended by the drunkard; the first, intoxication, which enlivens; the second, that which irritates; the third, that which dulls; and the fourth, that which brutalizes.	These four legends express the four stages descended by the drunkard; the first, intoxication, which enlivens; the second, that which irritates; the third, that which dulls; and the fourth, that which brutalizes.	false	169.1	182.29	22.86316
3528_168656_000006_000000	In a cupboard, under lock and key, she kept a mysterious object of which she thought a great deal.	In a cupboard, under lock and key, she kept a mysterious object of which she thought a great deal.	true	183.35	188.47	25.88451
3528_168656_000006_000001	The rule of Fontevrault did not forbid this. She would not show this object to anyone.	The rule of Fontevrault did not forbid this. She would not show this object to anyone.	true	189.14	194.56	21.478268
3528_168656_000006_000002	She shut herself up, which her rule allowed her to do, and hid herself, every time that she desired to contemplate it.	She shut herself up, which her rule allowed her to do, and hid herself, every time that she desired to contemplate it.	true	194.81	200.95	22.235464
3528_168656_000006_000003	If she heard a footstep in the corridor, she closed the cupboard again as hastily as it was possible with her aged hands.	If she heard a footstep in the corridor, she closed the cupboard again as hastily as it was possible with her aged hands.	true	201.65	207.22	22.49307
3528_168656_000006_000004	As soon as it was mentioned to her, she became silent, she who was so fond of talking.	As soon as it was mentioned to her, she became silent, she who was so fond of talking.	false	207.83	211.69	23
3528_168656_000006_000005	The most curious were baffled by her silence and the most tenacious by her obstinacy.	The most curious were baffled by her silence and the most tenacious by her obstinacy.	true	212.9	217.63	23.281765
3528_168656_000006_000006	Thus it furnished a subject of comment for all those who were unoccupied or bored in the convent.	Thus it furnished a subject of comment for all those who were unoccupied or bored in the convent.	true	218.48	223.27	19
3528_168656_000006_000007	What could that treasure of the centenarian be, which was so precious and so secret? Some holy book, no doubt?	What could that treasure of the centenarian be, which was so precious and so secret? Some holy book, no doubt?	false	224.24	230.86	25.306917
