3528_168656_000003_000000	In the Little Convent there was a centenarian who came from the Abbey of Fontevrault.	In the Little Convent there was a centenarian who came from the Abbey of Fontevrault.
3528_168656_000003_000001	She had even been in society before the Revolution.	She had even been in society before the Revolution.
3528_168656_000003_000003	She told wonders of the Abbey of Fontevrault,--that it was like a city, and that there were streets in the monastery.	She told wonders of the Abbey of Fontevrault,--that it was like a city, and that there were streets in the monastery.
3528_168656_000004_000000	She talked with a Picard accent which amused the pupils.	She talked with a Picard accent which amused the pupils.
3528_168656_000005_000000	On another occasion, the centenarian was telling stories.	On another occasion, the centenarian was telling stories.
3528_168656_000005_000001	She said that in her youth the Bernardine monks were every whit as good as the mousquetaires.	She said that in her youth the Bernardine monks were every whit as good as the mousquetaires.
3528_168656_000005_000002	It was a century which spoke through her, but it was the eighteenth century.	It was a century which spoke through her, but it was the eighteenth century.
3528_168656_000005_000003	She told about the custom of the four wines, which existed before the Revolution in Champagne and Bourgogne.	She told about the custom of the four wines, which existed before the Revolution in Champagne and Bourgogne.
3528_168656_000005_000004	When a great personage, a marshal of France, a prince, a duke, and a peer, traversed a town in Burgundy or Champagne, the city fathers came out to harangue him and presented him with four silver gondolas into which they had poured four different sorts of wine.	When a great personage, a marshal of France, a prince, a duke, and a peer, traversed a town in Burgundy or Champagne, the city fathers came out to harangue him and presented him with four silver gondolas into which they had poured four different sorts of wine.
3528_168656_000005_000005	On the first goblet this inscription could be read, monkey wine; on the second, lion wine; on the third, sheep wine; on the fourth, hog wine.	On the first goblet this inscription could be read, monkey wine; on the second, lion wine; on the third, sheep wine; on the fourth, hog wine.
3528_168656_000006_000000	In a cupboard, under lock and key, she kept a mysterious object of which she thought a great deal.	In a cupboard, under lock and key, she kept a mysterious object of which she thought a great deal.
3528_168656_000006_000001	The rule of Fontevrault did not forbid this. She would not show this object to anyone.	The rule of Fontevrault did not forbid this. She would not show this object to anyone.
3528_168656_000006_000002	She shut herself up, which her rule allowed her to do, and hid herself, every time that she desired to contemplate it.	She shut herself up, which her rule allowed her to do, and hid herself, every time that she desired to contemplate it.
3528_168656_000006_000003	If she heard a footstep in the corridor, she closed the cupboard again as hastily as it was possible with her aged hands.	If she heard a footstep in the corridor, she closed the cupboard again as hastily as it was possible with her aged hands.
3528_168656_000006_000005	The most curious were baffled by her silence and the most tenacious by her obstinacy.	The most curious were baffled by her silence and the most tenacious by her obstinacy.
3528_168656_000006_000006	Thus it furnished a subject of comment for all those who were unoccupied or bored in the convent.	Thus it furnished a subject of comment for all those who were unoccupied or bored in the convent.
3528_168656_000006_000008	Some unique chaplet?	Some unique chaplet?
3528_168656_000006_000009	Some authentic relic? They lost themselves in conjectures.	Some authentic relic? They lost themselves in conjectures.
3528_168656_000006_000011	They found the object beneath a triple linen cloth, like some consecrated paten.	They found the object beneath a triple linen cloth, like some consecrated paten.
3528_168656_000006_000012	It was a Faenza platter representing little Loves flitting away pursued by apothecary lads armed with enormous syringes. The chase abounds in grimaces and in comical postures.	It was a Faenza platter representing little Loves flitting away pursued by apothecary lads armed with enormous syringes. The chase abounds in grimaces and in comical postures.
3528_168656_000006_000013	One of the charming little Loves is already fairly spitted.	One of the charming little Loves is already fairly spitted.
3528_168656_000006_000014	He is resisting, fluttering his tiny wings, and still making an effort to fly, but the dancer is laughing with a satanical air.	He is resisting, fluttering his tiny wings, and still making an effort to fly, but the dancer is laughing with a satanical air.
3528_168656_000006_000015	Moral: Love conquered by the colic.	Moral: Love conquered by the colic.
