3538_142836_000000_000000	[Illustration]	[Illustration]	false	9.9	10.65	12
3538_142836_000001_000000	[Illustration]	[Illustration]	false	10.65	19.8	19.40215
3538_142836_000002_000000	CHAPTER XXX.	CHAPTER thirty.	true	19.8	20.8	21.035652
3538_142836_000003_000000	GENERAL OBSERVATIONS ON PRESERVES, CONFECTIONARY, ICES, AND DESSERT DISHES.	GENERAL OBSERVATIONS ON PRESERVES, CONFECTIONARY, ICES, AND DESSERT DISHES.	true	20.96	25.72	18
3538_142836_000004_000000	PRESERVES.	PRESERVES.	true	26.36	27.34	18.054874
3538_142836_000005_000000	1495.	fourteen ninety five.	true	27.68	29.5	19.58903
3538_142836_000005_000001	From the nature of vegetable substances, and chiefly from their not passing so rapidly into the putrescent state as animal bodies, the mode of preserving them is somewhat different, although the general principles are the same.	From the nature of vegetable substances, and chiefly from their not passing so rapidly into the putrescent state as animal bodies, the mode of preserving them is somewhat different, although the general principles are the same.	false	30.02	42.52	19.883453
3538_142836_000005_000002	All the means of preservation are put in practice occasionally for fruits and the various parts of vegetables, according to the nature of the species, the climate, the uses to which they are applied, &c.	All the means of preservation are put in practice occasionally for fruits and the various parts of vegetables, according to the nature of the species, the climate, the uses to which they are applied, and c.	false	43.16	54.96	19.4846
3538_142836_000005_000003	Some are dried, as nuts, raisins, sweet herbs, &c.; others are preserved by means of sugar, such as many fruits whose delicate juices would be lost by drying; some are preserved by means of vinegar, and chiefly used as condiments or pickles; a few also by salting, as French beans; while others are preserved in spirits.	Some are dried, as nuts, raisins, sweet herbs, and c.; others are preserved by means of sugar, such as many fruits whose delicate juices would be lost by drying; some are preserved by means of vinegar, and chiefly used as condiments or pickles; a few also by salting, as French beans; while others are preserved in spirits.	false	54.96	74.8	20.215897
3538_142836_000005_000004	We have, however, in this place to treat of the best methods of preserving fruits.	We have, however, in this place to treat of the best methods of preserving fruits.	false	75.53	79.81	18
3538_142836_000005_000005	Fruit is a most important item in the economy of health; the epicurean can scarcely be said to have any luxuries without it; therefore, as it is so invaluable, when we cannot have it fresh, we must have it preserved.	Fruit is a most important item in the economy of health; the epicurean can scarcely be said to have any luxuries without it; therefore, as it is so invaluable, when we cannot have it fresh, we must have it preserved.	false	80.18	92.05	21.08908
3538_142836_000005_000006	It has long been a desideratum to preserve fruits by some cheap method, yet by such as would keep them fit for the various culinary purposes, as making tarts and other similar dishes.	It has long been a desideratum to preserve fruits by some cheap method, yet by such as would keep them fit for the various culinary purposes, as making tarts and other similar dishes.	true	92.54	102.91	20
3538_142836_000005_000007	The expense of preserving them with sugar is a serious objection; for, except the sugar is used in considerable quantities, the success is very uncertain. Sugar also overpowers and destroys the sub-acid taste so desirable in many fruits: these which are preserved in this manner are chiefly intended for the dessert.	The expense of preserving them with sugar is a serious objection; for, except the sugar is used in considerable quantities, the success is very uncertain. Sugar also overpowers and destroys the sub acid taste so desirable in many fruits: these which are preserved in this manner are chiefly intended for the dessert.	true	103.1	121.08	19.127394
