3538_142836_000002_000000	CHAPTER XXX.	CHAPTER thirty.
3538_142836_000003_000000	GENERAL OBSERVATIONS ON PRESERVES, CONFECTIONARY, ICES, AND DESSERT DISHES.	GENERAL OBSERVATIONS ON PRESERVES, CONFECTIONARY, ICES, AND DESSERT DISHES.
3538_142836_000004_000000	PRESERVES.	PRESERVES.
3538_142836_000005_000000	1495.	fourteen ninety five.
3538_142836_000005_000006	It has long been a desideratum to preserve fruits by some cheap method, yet by such as would keep them fit for the various culinary purposes, as making tarts and other similar dishes.	It has long been a desideratum to preserve fruits by some cheap method, yet by such as would keep them fit for the various culinary purposes, as making tarts and other similar dishes.
3538_142836_000005_000007	The expense of preserving them with sugar is a serious objection; for, except the sugar is used in considerable quantities, the success is very uncertain. Sugar also overpowers and destroys the sub-acid taste so desirable in many fruits: these which are preserved in this manner are chiefly intended for the dessert.	The expense of preserving them with sugar is a serious objection; for, except the sugar is used in considerable quantities, the success is very uncertain. Sugar also overpowers and destroys the sub acid taste so desirable in many fruits: these which are preserved in this manner are chiefly intended for the dessert.
3538_142836_000005_000009	Until fruit can be used, it should be placed in the dairy, an ice-house, or a refrigerator.	Until fruit can be used, it should be placed in the dairy, an ice house, or a refrigerator.
3538_142836_000005_000010	In an icehouse it will remain fresh and plump for several days.	In an icehouse it will remain fresh and plump for several days.
3538_142836_000005_000011	Fruit gathered in wet or foggy weather will soon be mildewed, and be of no service for preserves.	Fruit gathered in wet or foggy weather will soon be mildewed, and be of no service for preserves.
3538_142836_000006_000000	1496.	fourteen ninety six.
3538_142836_000006_000003	But to distinguish these properly requires very great attention and considerable experience.	But to distinguish these properly requires very great attention and considerable experience.
3538_142836_000006_000004	The principal thing to be acquainted with is the fact, that, in proportion as the syrup is longer boiled, its water will become evaporated, and its consistency will be thicker.	The principal thing to be acquainted with is the fact, that, in proportion as the syrup is longer boiled, its water will become evaporated, and its consistency will be thicker.
3538_142836_000006_000005	Great care must be taken in the management of the fire, that the syrup does not boil over, and that the boiling is not carried to such an extent as to burn the sugar.	Great care must be taken in the management of the fire, that the syrup does not boil over, and that the boiling is not carried to such an extent as to burn the sugar.
3538_142836_000007_000000	1497.	fourteen ninety seven.
3538_142836_000007_000007	The syrup employed should sometimes be clarified, which is done in the following manner:--Dissolve 2 lbs. of loaf sugar in a pint of water; add to this solution the white of an egg, and beat it well.	The syrup employed should sometimes be clarified, which is done in the following manner:--Dissolve two pounds. of loaf sugar in a pint of water; add to this solution the white of an egg, and beat it well.
3538_142836_000007_000009	Let it boil up again; then take it off, and remove carefully the scum that has risen.	Let it boil up again; then take it off, and remove carefully the scum that has risen.
3538_142836_000007_000010	Boil the solution again, throw in a little more cold water, remove the scum, and so on for three or four times successively; then strain it.	Boil the solution again, throw in a little more cold water, remove the scum, and so on for three or four times successively; then strain it.
3538_142836_000007_000011	It is considered to be sufficiently boiled when some taken up in a spoon pours out like oil.	It is considered to be sufficiently boiled when some taken up in a spoon pours out like oil.
3538_142836_000008_000000	1498.	fourteen ninety eight.
3538_142836_000008_000002	Before sugar was in use, honey was employed to preserve many vegetable productions, though this substance has now given way to the juice of the sugar-cane.	Before sugar was in use, honey was employed to preserve many vegetable productions, though this substance has now given way to the juice of the sugar cane.
3538_142836_000009_000000	1499.	fourteen ninety nine.
3538_142836_000009_000003	When they have cooled, take them out and drain them.	When they have cooled, take them out and drain them.
3538_142836_000009_000005	Boil them up three days successively, skimming each time, and they will then be finished and in a state fit to be put into pots for use.	Boil them up three days successively, skimming each time, and they will then be finished and in a state fit to be put into pots for use.
3538_142836_000009_000006	After each bailing, it is proper to examine into the state of the syrup when cold; if too thin, it will bear additional boiling; if too thick, it may be lowered with more syrup of the usual standard.	After each bailing, it is proper to examine into the state of the syrup when cold; if too thin, it will bear additional boiling; if too thick, it may be lowered with more syrup of the usual standard.
3538_142836_000009_000007	The reason why the fruit is emptied out of the preserving-pan into an earthen pan is, that the acid of the fruit acts upon the copper, of which the preserving-pans are usually made.	The reason why the fruit is emptied out of the preserving pan into an earthen pan is, that the acid of the fruit acts upon the copper, of which the preserving pans are usually made.
3538_142836_000010_000000	1500.	fifteen hundred.
3538_142836_000010_000003	Put more sugar on this, and then another layer of the slices, and so on till the jar is full.	Put more sugar on this, and then another layer of the slices, and so on till the jar is full.
3538_142836_000010_000005	Lastly, tie a wet bladder over the mouth of the jar, or cork and wax it.	Lastly, tie a wet bladder over the mouth of the jar, or cork and wax it.
3538_142836_000011_000000	1501.	fifteen o one.
3538_142836_000011_000001	Any of the fruits that have been preserved in syrup may be converted into dry preserves, by first draining them from the syrup, and then drying them in a stove or very moderate oven, adding to them a quantity of powdered loaf sugar, which will gradually penetrate the fruit, while the fluid parts of the syrup gently evaporate.	Any of the fruits that have been preserved in syrup may be converted into dry preserves, by first draining them from the syrup, and then drying them in a stove or very moderate oven, adding to them a quantity of powdered loaf sugar, which will gradually penetrate the fruit, while the fluid parts of the syrup gently evaporate.
3538_142836_000011_000002	They should be dried in the stove or oven on a sieve, and turned every six or eight hours, fresh powdered sugar being sifted over them every time they are turned.	They should be dried in the stove or oven on a sieve, and turned every six or eight hours, fresh powdered sugar being sifted over them every time they are turned.
3538_142836_000011_000005	In this way it is, also, that orange and lemon chips are preserved.	In this way it is, also, that orange and lemon chips are preserved.
3538_142836_000012_000000	1502.	fifteen o two.
3538_142836_000012_000005	Fruit pastes are a kind of marmalades, consisting of the pulp of fruits, first evaporated to a proper consistency, and afterwards boiled with sugar.	Fruit pastes are a kind of marmalades, consisting of the pulp of fruits, first evaporated to a proper consistency, and afterwards boiled with sugar.
3538_142836_000012_000009	That they may keep, it is necessary not to be sparing of sugar.	That they may keep, it is necessary not to be sparing of sugar.
3538_142836_000013_000000	1503.	fifteen o three.
3538_142836_000013_000002	If the pan is placed close on to the fire, the preserve is very liable to burn, and the colour and flavour be consequently spoiled.	If the pan is placed close on to the fire, the preserve is very liable to burn, and the colour and flavour be consequently spoiled.
3538_142836_000014_000000	1504.	fifteen o four.
3538_142836_000015_000000	1505.	fifteen o five.
3538_142836_000016_000000	1506.	fifteen o six.
3538_142836_000017_000000	1507.	fifteen o seven.
3538_142836_000018_000000	CONFECTIONARY.	CONFECTIONARY.
3538_142836_000019_000000	1508.	fifteen o eight.
3538_142836_000019_000002	The thousand and one ornamental dishes that adorn the tables of the wealthy should be purchased from the confectioner: they cannot profitably be made at home.	The thousand and one ornamental dishes that adorn the tables of the wealthy should be purchased from the confectioner: they cannot profitably be made at home.
3538_142836_000020_000000	DESSERT DISHES.	DESSERT DISHES.
3538_142836_000021_000000	1509.	fifteen o nine.
