3538_163622_000004_000000	THE SEVEN FOALS	THE SEVEN FOALS
3538_163622_000005_000001	They only just managed to live from hand to mouth, and had great difficulty in doing even so much as that, but they had three sons, and the youngest of them was called Cinderlad, for he did nothing else but lie and poke about among the ashes.	They only just managed to live from hand to mouth, and had great difficulty in doing even so much as that, but they had three sons, and the youngest of them was called Cinderlad, for he did nothing else but lie and poke about among the ashes.
3538_163622_000006_000000	One day the eldest lad said that he would go out to earn his living; he soon got leave to do that, and set out on his way into the world.	One day the eldest lad said that he would go out to earn his living; he soon got leave to do that, and set out on his way into the world.
3538_163622_000006_000001	He walked on and on for the whole day, and when night was beginning to fall he came to a royal palace.	He walked on and on for the whole day, and when night was beginning to fall he came to a royal palace.
3538_163622_000011_000000	As soon as she caught sight of the youth, who was running after the foals till the perspiration streamed down his face, she cried:	As soon as she caught sight of the youth, who was running after the foals till the perspiration streamed down his face, she cried:
3538_163622_000012_000000	'Come hither, come hither, my handsome son, and let me comb your hair for you.'	'Come hither, come hither, my handsome son, and let me comb your hair for you.'
3538_163622_000014_000000	When evening was drawing near, the youth wanted to go.	When evening was drawing near, the youth wanted to go.
3538_163622_000019_000000	'Yes, that I have!' said the youth.	'Yes, that I have!' said the youth.
3538_163622_000022_000000	'Here you see their meat, and here you see their drink.'	'Here you see their meat, and here you see their drink.'
3538_163622_000023_000000	Then the King knew how his watching had been done, and fell into such a rage that he ordered his people to chase the youth back to his own home at once; but first they were to cut three red stripes in his back, and rub salt into them.	Then the King knew how his watching had been done, and fell into such a rage that he ordered his people to chase the youth back to his own home at once; but first they were to cut three red stripes in his back, and rub salt into them.
3538_163622_000024_000000	When the youth reached home again, anyone can imagine what a state of mind he was in.	When the youth reached home again, anyone can imagine what a state of mind he was in.
3538_163622_000027_000000	In the grey light of dawn the Master of the Horse let out the seven foals, and off they went again over hill and dale, and off went the lad after them.	In the grey light of dawn the Master of the Horse let out the seven foals, and off they went again over hill and dale, and off went the lad after them.
3538_163622_000027_000001	But all went with him as it had gone with his brother.	But all went with him as it had gone with his brother.
3538_163622_000027_000002	When he had run after the foals for a long, long time and was hot and tired, he passed by a cleft in the rock where an old woman was sitting spinning with a distaff, and she called to him:	When he had run after the foals for a long, long time and was hot and tired, he passed by a cleft in the rock where an old woman was sitting spinning with a distaff, and she called to him:
3538_163622_000031_000000	On the third day Cinderlad wanted to set out.	On the third day Cinderlad wanted to set out.
3538_163622_000031_000001	He had a fancy to try to watch the seven foals himself, he said.	He had a fancy to try to watch the seven foals himself, he said.
3538_163622_000032_000000	The two others laughed at him, and mocked him.	The two others laughed at him, and mocked him.
3538_163622_000033_000000	'Yes, I will go too,' said Cinderlad, 'for I have taken it into my head.'	'Yes, I will go too,' said Cinderlad, 'for I have taken it into my head.'
