3538_163624_000006_000000	THE STORY OF SIGURD	THE STORY OF SIGURD
3538_163624_000007_000001	They have carved on the rocks pictures of some of the things that happen in the tale, and those carvings may still be seen.	They have carved on the rocks pictures of some of the things that happen in the tale, and those carvings may still be seen.
3538_163624_000007_000002	Because it is so old and so beautiful the story is told here again, but it has a sad ending--indeed it is all sad, and all about fighting and killing, as might be expected from the Danes.)	Because it is so old and so beautiful the story is told here again, but it has a sad ending-indeed it is all sad, and all about fighting and killing, as might be expected from the Danes.)
3538_163624_000008_000000	ONCE upon a time there was a King in the North who had won many wars, but now he was old.	ONCE upon a time there was a King in the North who had won many wars, but now he was old.
3538_163624_000008_000002	The old King went out and fought bravely, but at last his sword broke, and he was wounded and his men fled.	The old King went out and fought bravely, but at last his sword broke, and he was wounded and his men fled.
3538_163624_000008_000003	But in the night, when the battle was over, his young wife came out and searched for him among the slain, and at last she found him, and asked whether he might be healed.	But in the night, when the battle was over, his young wife came out and searched for him among the slain, and at last she found him, and asked whether he might be healed.
3538_163624_000008_000004	But he said 'No,' his luck was gone, his sword was broken, and he must die.	But he said 'No,' his luck was gone, his sword was broken, and he must die.
3538_163624_000009_000000	Then he died.	Then he died.
3538_163624_000009_000001	And his wife called her maid to her and said, 'Let us change clothes, and you shall be called by my name, and I by yours, lest the enemy finds us.'	And his wife called her maid to her and said, 'Let us change clothes, and you shall be called by my name, and I by yours, lest the enemy finds us.'
3538_163624_000010_000000	So this was done, and they hid in a wood, but there some strangers met them and carried them off in a ship to Denmark.	So this was done, and they hid in a wood, but there some strangers met them and carried them off in a ship to Denmark.
3538_163624_000010_000001	And when they were brought before the King, he thought the maid looked like a Queen, and the Queen like a maid.	And when they were brought before the King, he thought the maid looked like a Queen, and the Queen like a maid.
3538_163624_000010_000002	So he asked the Queen, 'How do you know in the dark of night whether the hours are wearing to the morning?'	So he asked the Queen, 'How do you know in the dark of night whether the hours are wearing to the morning?'
3538_163624_000011_000000	And she said:	And she said:
3538_163624_000013_000000	'A strange Queen to light the fires,' thought the King.	'A strange Queen to light the fires,' thought the King.
3538_163624_000015_000000	'My father gave me a gold ring,' said she, 'and always, ere the dawning, it grows cold on my finger.'	'My father gave me a gold ring,' said she, 'and always, ere the dawning, it grows cold on my finger.'
3538_163624_000016_000000	'A rich house where the maids wore gold,' said the King. 'Truly you are no maid, but a King's daughter.'	'A rich house where the maids wore gold,' said the King. 'Truly you are no maid, but a King's daughter.'
3538_163624_000017_000000	So he treated her royally, and as time went on she had a son called Sigurd, a beautiful boy and very strong.	So he treated her royally, and as time went on she had a son called Sigurd, a beautiful boy and very strong.
3538_163624_000017_000001	He had a tutor to be with him, and once the tutor bade him go to the King and ask for a horse.	He had a tutor to be with him, and once the tutor bade him go to the King and ask for a horse.
3538_163624_000019_000000	Then the old man said, 'Drive all the horses into the river, and choose the one that swims across.'	Then the old man said, 'Drive all the horses into the river, and choose the one that swims across.'
3538_163624_000020_000000	So Sigurd drove them, and only one swam across.	So Sigurd drove them, and only one swam across.
3538_163624_000020_000001	Sigurd chose him: his name was Grani, and he came of Sleipnir's breed, and was the best horse in the world.	Sigurd chose him: his name was Grani, and he came of Sleipnir's breed, and was the best horse in the world.
3538_163624_000020_000002	For Sleipnir was the horse of Odin, the God of the North, and was as swift as the wind.	For Sleipnir was the horse of Odin, the God of the North, and was as swift as the wind.
3538_163624_000021_000000	But a day or two later his tutor said to Sigurd, 'There is a great treasure of gold hidden not far from here, and it would become you to win it.'	But a day or two later his tutor said to Sigurd, 'There is a great treasure of gold hidden not far from here, and it would become you to win it.'
3538_163624_000025_000000	Then his tutor, whose name was Regin, told him that all this great hoard of red gold had once belonged to his own father.	Then his tutor, whose name was Regin, told him that all this great hoard of red gold had once belonged to his own father.
3538_163624_000026_000000	Now there was at that time a dwarf called Andvari, who lived in a pool beneath a waterfall, and there he had hidden a great hoard of gold.	Now there was at that time a dwarf called Andvari, who lived in a pool beneath a waterfall, and there he had hidden a great hoard of gold.
3538_163624_000026_000001	And one day Otter had been fishing there, and had killed a salmon and eaten it, and was sleeping, like an otter, on a stone.	And one day Otter had been fishing there, and had killed a salmon and eaten it, and was sleeping, like an otter, on a stone.
3538_163624_000026_000004	Then the person who had killed Otter went down and caught the Dwarf who owned all the treasure and took it from him.	Then the person who had killed Otter went down and caught the Dwarf who owned all the treasure and took it from him.
3538_163624_000027_000000	Only one ring was left, which the Dwarf wore, and even that was taken from him.	Only one ring was left, which the Dwarf wore, and even that was taken from him.
3538_163624_000029_000000	Then the otter skin was filled with gold and covered with gold, all but one hair, and that was covered with the poor Dwarf's last ring.	Then the otter skin was filled with gold and covered with gold, all but one hair, and that was covered with the poor Dwarf's last ring.
3538_163624_000030_000000	But it brought good luck to nobody.	But it brought good luck to nobody.
3538_163624_000030_000001	First Fafnir, the Dragon, killed his own father, and then he went and wallowed on the gold, and would let his brother have none, and no man dared go near it.	First Fafnir, the Dragon, killed his own father, and then he went and wallowed on the gold, and would let his brother have none, and no man dared go near it.
3538_163624_000031_000000	When Sigurd heard the story he said to Regin:	When Sigurd heard the story he said to Regin:
3538_163624_000032_000000	'Make me a good sword that I may kill this Dragon.'	'Make me a good sword that I may kill this Dragon.'
3538_163624_000033_000000	So Regin made a sword, and Sigurd tried it with a blow on a lump of iron, and the sword broke.	So Regin made a sword, and Sigurd tried it with a blow on a lump of iron, and the sword broke.
3538_163624_000034_000000	Another sword he made, and Sigurd broke that too.	Another sword he made, and Sigurd broke that too.
3538_163624_000035_000001	And he hammered and wrought them into a new sword, so sharp that fire seemed to burn along its edges.	And he hammered and wrought them into a new sword, so sharp that fire seemed to burn along its edges.
3538_163624_000036_000000	Sigurd tried this blade on the lump of iron, and it did not break, but split the iron in two.	Sigurd tried this blade on the lump of iron, and it did not break, but split the iron in two.
3538_163624_000036_000001	Then he threw a lock of wool into the river, and when it floated down against the sword it was cut into two pieces.	Then he threw a lock of wool into the river, and when it floated down against the sword it was cut into two pieces.
3538_163624_000036_000002	So Sigurd said that sword would do.	So Sigurd said that sword would do.
3538_163624_000037_000000	When he had been at home a few days, he rode out with Regin one morning to the heath where the Dragon used to lie.	When he had been at home a few days, he rode out with Regin one morning to the heath where the Dragon used to lie.
3538_163624_000037_000001	Then he saw the track which the Dragon made when he went to a cliff to drink, and the track was as if a great river had rolled along and left a deep valley.	Then he saw the track which the Dragon made when he went to a cliff to drink, and the track was as if a great river had rolled along and left a deep valley.
3538_163624_000038_000000	Then Sigurd went down into that deep place, and dug many pits in it, and in one of the pits he lay hidden with his sword drawn.	Then Sigurd went down into that deep place, and dug many pits in it, and in one of the pits he lay hidden with his sword drawn.
3538_163624_000038_000001	There he waited, and presently the earth began to shake with the weight of the Dragon as he crawled to the water.	There he waited, and presently the earth began to shake with the weight of the Dragon as he crawled to the water.
3538_163624_000039_000000	But Sigurd waited till half of him had crawled over the pit, and then he thrust the sword Gram right into his very heart.	But Sigurd waited till half of him had crawled over the pit, and then he thrust the sword Gram right into his very heart.
3538_163624_000040_000000	Then the Dragon lashed with his tail till stones broke and trees crashed about him.	Then the Dragon lashed with his tail till stones broke and trees crashed about him.
3538_163624_000041_000000	Then he spoke, as he died, and said:	Then he spoke, as he died, and said:
3538_163624_000043_000000	Sigurd said:	Sigurd said:
3538_163624_000044_000000	'I would touch none of it if by losing it I should never die.	'I would touch none of it if by losing it I should never die.
3538_163624_000044_000001	But all men die, and no brave man lets death frighten him from his desire.	But all men die, and no brave man lets death frighten him from his desire.
3538_163624_000045_000000	And after that Sigurd was called Fafnir's Bane, and Dragonslayer.	And after that Sigurd was called Fafnir's Bane, and Dragonslayer.
3538_163624_000047_000000	So Sigurd put the heart of Fafnir on a stake, and roasted it.	So Sigurd put the heart of Fafnir on a stake, and roasted it.
3538_163624_000047_000001	But it chanced that he touched it with his finger, and it burned him.	But it chanced that he touched it with his finger, and it burned him.
3538_163624_000048_000000	Then immediately he understood the language of birds, and he heard the Woodpeckers say:	Then immediately he understood the language of birds, and he heard the Woodpeckers say:
3538_163624_000050_000000	The next bird said:	The next bird said:
3538_163624_000051_000000	'There lies Regin, ready to betray Sigurd, who trusts him.'	'There lies Regin, ready to betray Sigurd, who trusts him.'
3538_163624_000052_000000	The third bird said:	The third bird said:
3538_163624_000054_000000	The fourth bird said:	The fourth bird said:
3538_163624_000059_000000	'High over Hindfell Red fire is flaming, There doth the maiden dwell She that should love thee well, Meet for thy taming.	'High over Hindfell Red fire is flaming, There doth the maiden dwell She that should love thee well, Meet for thy taming.
3538_163624_000061_000000	Then Sigurd remembered how the story went that somewhere, far away, there was a beautiful lady enchanted.	Then Sigurd remembered how the story went that somewhere, far away, there was a beautiful lady enchanted.
3538_163624_000061_000003	And Fafnir had lived in a cave with iron doors, a cave dug deep down in the earth, and full of gold bracelets, and crowns, and rings; and there, too, Sigurd found the Helm of Dread, a golden helmet, and whoever wears it is invisible.	And Fafnir had lived in a cave with iron doors, a cave dug deep down in the earth, and full of gold bracelets, and crowns, and rings; and there, too, Sigurd found the Helm of Dread, a golden helmet, and whoever wears it is invisible.
3538_163624_000061_000004	All these he piled on the back of the good horse Grani, and then he rode south to Hindfell.	All these he piled on the back of the good horse Grani, and then he rode south to Hindfell.
3538_163624_000062_000002	So Sigurd went within the castle door, and there he saw someone sleeping, clad all in armour.	So Sigurd went within the castle door, and there he saw someone sleeping, clad all in armour.
3538_163624_000062_000003	Then he took the helmet off the head of the sleeper, and behold, she was a most beautiful lady.	Then he took the helmet off the head of the sleeper, and behold, she was a most beautiful lady.
3538_163624_000063_000000	This curse came upon her when the thorn of the tree of sleep ran into her hand long ago as a punishment because she had displeased Odin the God.	This curse came upon her when the thorn of the tree of sleep ran into her hand long ago as a punishment because she had displeased Odin the God.
3538_163624_000063_000001	Long ago, too, she had vowed never to marry a man who knew fear, and dared not ride through the fence of flaming fire.	Long ago, too, she had vowed never to marry a man who knew fear, and dared not ride through the fence of flaming fire.
3538_163624_000063_000003	But now she and Sigurd loved each other, and promised to be true to each other, and he gave her a ring, and it was the last ring taken from the dwarf Andvari.	But now she and Sigurd loved each other, and promised to be true to each other, and he gave her a ring, and it was the last ring taken from the dwarf Andvari.
3538_163624_000063_000004	Then Sigurd rode away, and he came to the house of a King who had a fair daughter.	Then Sigurd rode away, and he came to the house of a King who had a fair daughter.
