367_130732_000000_000000	Lobsters and Lobsters	Lobsters and Lobsters	true	20.295	22.09	19
367_130732_000001_000000	When is a lobster not a lobster?	When is a lobster not a lobster?	true	22.43	24.58	18.77725
367_130732_000001_000001	When it is a crayfish.	When it is a crayfish.	true	24.62	26.29	23.325895
367_130732_000001_000002	This question and answer might well go into the primer of information for those who come to San Francisco from the East, for what is called a lobster in San Francisco is not a lobster at all but a crayfish.	This question and answer might well go into the primer of information for those who come to San Francisco from the East, for what is called a lobster in San Francisco is not a lobster at all but a crayfish.	true	27.17	37.75	20
367_130732_000001_000003	The true lobster is not found in the Pacific along the California coast, and so far efforts at transplanting have not been successful.	The true lobster is not found in the Pacific along the California coast, and so far efforts at transplanting have not been successful.	false	38.42	45.46	20.746138
367_130732_000001_000004	The Pacific crayfish, however, serves every purpose, and while many contend that its meat is not so delicate in flavor as that of its eastern cousin, the Californian will as strenuously insist that it is better, but, of course, something must always be allowed for the patriotism of the Californian.	The Pacific crayfish, however, serves every purpose, and while many contend that its meat is not so delicate in flavor as that of its eastern cousin, the Californian will as strenuously insist that it is better, but, of course, something must always be allowed for the patriotism of the Californian.	false	45.74	61.08	19
367_130732_000002_000000	Lobster, served cold with mayonnaise, or broiled live lobster are most frequently called for, and while they are both excellent, we find so many other ways of preparing this crustacean that we rarely take the common variety of lobster dishes into consideration.	Lobster, served cold with mayonnaise, or broiled live lobster are most frequently called for, and while they are both excellent, we find so many other ways of preparing this crustacean that we rarely take the common variety of lobster dishes into consideration.	true	61.08	74.14	20
367_130732_000002_000001	Probably nowhere in San Francisco could one get lobster better served than in the Old Delmonico restaurant of the days before the fire.	Probably nowhere in San Francisco could one get lobster better served than in the Old Delmonico restaurant of the days before the fire.	true	74.42	80.95	18
367_130732_000002_000002	A book could be written about this restaurant and then all would not be told for all its secrets can never be known.	A book could be written about this restaurant and then all would not be told for all its secrets can never be known.	true	81.23	86.62	21
367_130732_000003_000000	In New York City they have what they are pleased to call "Lobster Palaces," but there is not a restaurant in that great metropolis that could approach the Delmonico of San Francisco in its splendid service and its cuisine arrangements; neither could they approach the romance that always surrounded the O'Farrell street restaurant.	In New York City they have what they are pleased to call "Lobster Palaces," but there is not a restaurant in that great metropolis that could approach the Delmonico of San Francisco in its splendid service and its cuisine arrangements; neither could they approach the romance that always surrounded the O'Farrell street restaurant.	true	87.77	104.11	20
367_130732_000003_000001	It was here that most magnificent dinners were arranged; it was here that extraordinary dishes were concocted by chefs of world-wide fame; it was here that Lobster a la Newberg reached its highest perfection, and this is the recipe that was followed when it was prepared in the Delmonico:	It was here that most magnificent dinners were arranged; it was here that extraordinary dishes were concocted by chefs of world-wide fame; it was here that Lobster a la Newberg reached its highest perfection, and this is the recipe that was followed when it was prepared in the Delmonico:	true	104.39	119.44	19
367_130732_000004_000000	Lobster a la Newberg	Lobster a la Newberg	false	120.5	122.44	22
367_130732_000005_000000	One pound of lobster meat, one teaspoonful of butter, one-half pint of cream, yolks of four eggs, one wine glass of sherry, lobster fat.	One pound of lobster meat, one teaspoonful of butter, one half pint of cream, yolks of four eggs, one wine glass of sherry, lobster fat.	false	122.63	132.22	21.005398
367_130732_000005_000001	Three hours before cooking pour the sherry over the lobster meat and let it stand until ready to cook.	Three hours before cooking pour the sherry over the lobster meat and let it stand until ready to cook.	false	132.56	138.01	23.450981
