367_130732_000000_000000	Lobsters and Lobsters	Lobsters and Lobsters
367_130732_000001_000000	When is a lobster not a lobster?	When is a lobster not a lobster?
367_130732_000001_000001	When it is a crayfish.	When it is a crayfish.
367_130732_000001_000002	This question and answer might well go into the primer of information for those who come to San Francisco from the East, for what is called a lobster in San Francisco is not a lobster at all but a crayfish.	This question and answer might well go into the primer of information for those who come to San Francisco from the East, for what is called a lobster in San Francisco is not a lobster at all but a crayfish.
367_130732_000002_000000	Lobster, served cold with mayonnaise, or broiled live lobster are most frequently called for, and while they are both excellent, we find so many other ways of preparing this crustacean that we rarely take the common variety of lobster dishes into consideration.	Lobster, served cold with mayonnaise, or broiled live lobster are most frequently called for, and while they are both excellent, we find so many other ways of preparing this crustacean that we rarely take the common variety of lobster dishes into consideration.
367_130732_000002_000001	Probably nowhere in San Francisco could one get lobster better served than in the Old Delmonico restaurant of the days before the fire.	Probably nowhere in San Francisco could one get lobster better served than in the Old Delmonico restaurant of the days before the fire.
367_130732_000002_000002	A book could be written about this restaurant and then all would not be told for all its secrets can never be known.	A book could be written about this restaurant and then all would not be told for all its secrets can never be known.
367_130732_000003_000000	In New York City they have what they are pleased to call "Lobster Palaces," but there is not a restaurant in that great metropolis that could approach the Delmonico of San Francisco in its splendid service and its cuisine arrangements; neither could they approach the romance that always surrounded the O'Farrell street restaurant.	In New York City they have what they are pleased to call "Lobster Palaces," but there is not a restaurant in that great metropolis that could approach the Delmonico of San Francisco in its splendid service and its cuisine arrangements; neither could they approach the romance that always surrounded the O'Farrell street restaurant.
367_130732_000003_000001	It was here that most magnificent dinners were arranged; it was here that extraordinary dishes were concocted by chefs of world-wide fame; it was here that Lobster a la Newberg reached its highest perfection, and this is the recipe that was followed when it was prepared in the Delmonico:	It was here that most magnificent dinners were arranged; it was here that extraordinary dishes were concocted by chefs of world-wide fame; it was here that Lobster a la Newberg reached its highest perfection, and this is the recipe that was followed when it was prepared in the Delmonico:
367_130732_000005_000004	Put this in a double boiler and let cook until thick, stirring constantly.	Put this in a double boiler and let cook until thick, stirring constantly.
367_130732_000005_000005	When this is cooked pour it over the lobster and let all cook together for three minutes.	When this is cooked pour it over the lobster and let all cook together for three minutes.
367_130732_000005_000006	Serve in a chafing dish with thin slices of dry toast.	Serve in a chafing dish with thin slices of dry toast.
367_130732_000006_000000	King of Shell Fish	King of Shell Fish
367_130732_000007_000000	One has to come to San Francisco to partake of the king of shell fish-- the mammoth Pacific crab.	One has to come to San Francisco to partake of the king of shell fish- the mammoth Pacific crab.
367_130732_000007_000001	I say "come to San Francisco" advisedly, for while the crab is found all along the coast it is prepared nowhere so deliciously as in San Francisco.	I say "come to San Francisco" advisedly, for while the crab is found all along the coast it is prepared nowhere so deliciously as in San Francisco.
367_130732_000008_000001	Gobey ran one of those places which was not in good repute, consequently when ladies went there they were usually veiled and slipped in through an alley, but the enticement of Gobey's crab stew was too much for conventionality and his little private rooms were always full.	Gobey ran one of those places which was not in good repute, consequently when ladies went there they were usually veiled and slipped in through an alley, but the enticement of Gobey's crab stew was too much for conventionality and his little private rooms were always full.
