4198_12281_000000_000000	Chapter 1.XXVI.	Chapter one.twenty six.	false	0.87	2.22	11
4198_12281_000001_000000	How the inhabitants of Lerne, by the commandment of Picrochole their king, assaulted the shepherds of Gargantua unexpectedly and on a sudden.	How the inhabitants of Lerne, by the commandment of Picrochole their king, assaulted the shepherds of Gargantua unexpectedly and on a sudden.	false	2.22	5.88	13
4198_12281_000002_000000	The cake-bakers, being returned to Lerne, went presently, before they did either eat or drink, to the Capitol, and there before their king, called Picrochole, the third of that name, made their complaint, showing their panniers broken, their caps all crumpled, their coats torn, their cakes taken away, but, above all, Marquet most enormously wounded, saying that all that mischief was done by the shepherds and herdsmen of Grangousier, near the broad highway beyond Seville.	The cake bakers, being returned to Lerne, went presently, before they did either eat or drink, to the Capitol, and there before their king, called Picrochole, the third of that name, made their complaint, showing their panniers broken, their caps all crumpled, their coats torn, their cakes taken away, but, above all, Marquet most enormously wounded, saying that all that mischief was done by the shepherds and herdsmen of Grangousier, near the broad highway beyond Seville.	false	5.88	11.34	17.446629
4198_12281_000002_000001	Picrochole incontinent grew angry and furious; and, without asking any further what, how, why, or wherefore, commanded the ban and arriere ban to be sounded throughout all his country, that all his vassals of what condition soever should, upon pain of the halter, come, in the best arms they could, unto the great place before the castle, at the hour of noon, and, the better to strengthen his design, he caused the drum to be beat about the town.	Picrochole incontinent grew angry and furious; and, without asking any further what, how, why, or wherefore, commanded the ban and arriere ban to be sounded throughout all his country, that all his vassals of what condition soever should, upon pain of the halter, come, in the best arms they could, unto the great place before the castle, at the hour of noon, and, the better to strengthen his design, he caused the drum to be beat about the town.	false	11.34	13.32	11
4198_12281_000002_000002	Himself, whilst his dinner was making ready, went to see his artillery mounted upon the carriage, to display his colours, and set up the great royal standard, and loaded wains with store of ammunition both for the field and the belly, arms and victuals.	Himself, whilst his dinner was making ready, went to see his artillery mounted upon the carriage, to display his colours, and set up the great royal standard, and loaded wains with store of ammunition both for the field and the belly, arms and victuals.	false	13.32	13.8	7
4198_12281_000002_000003	At dinner he despatched his commissions, and by his express edict my Lord Shagrag was appointed to command the vanguard, wherein were numbered sixteen thousand and fourteen arquebusiers or firelocks, together with thirty thousand and eleven volunteer adventurers.	At dinner he despatched his commissions, and by his express edict my Lord Shagrag was appointed to command the vanguard, wherein were numbered sixteen thousand and fourteen arquebusiers or firelocks, together with thirty thousand and eleven volunteer adventurers.	false	13.8	14.34	3
4198_12281_000002_000004	The great Touquedillon, master of the horse, had the charge of the ordnance, wherein were reckoned nine hundred and fourteen brazen pieces, in cannons, double cannons, basilisks, serpentines, culverins, bombards or murderers, falcons, bases or passevolins, spirols, and other sorts of great guns.	The great Touquedillon, master of the horse, had the charge of the ordnance, wherein were reckoned nine hundred and fourteen brazen pieces, in cannons, double cannons, basilisks, serpentines, culverins, bombards or murderers, falcons, bases or passevolins, spirols, and other sorts of great guns.	false	14.34	14.43	-20
4198_12281_000002_000005	The rearguard was committed to the Duke of Scrapegood.	The rearguard was committed to the Duke of Scrapegood.	false	14.43	15	12
4198_12281_000002_000006	In the main battle was the king and the princes of his kingdom.	In the main battle was the king and the princes of his kingdom.	false	15	15.99	14
4198_12281_000002_000007	Thus being hastily furnished, before they would set forward, they sent three hundred light horsemen, under the conduct of Captain Swillwind, to discover the country, clear the avenues, and see whether there was any ambush laid for them.	Thus being hastily furnished, before they would set forward, they sent three hundred light horsemen, under the conduct of Captain Swillwind, to discover the country, clear the avenues, and see whether there was any ambush laid for them.	false	15.99	16.65	5
4198_12281_000002_000008	But, after they had made diligent search, they found all the land round about in peace and quiet, without any meeting or convention at all; which Picrochole understanding, commanded that everyone should march speedily under his colours.	But, after they had made diligent search, they found all the land round about in peace and quiet, without any meeting or convention at all; which Picrochole understanding, commanded that everyone should march speedily under his colours.	false	16.65	17.13	5
