4294_14317_000001_000003	chap.	chap.
4294_14317_000003_000000	THE FIRST piece I cast in bronze was that great bust, the portrait of his Excellency, which I had modelled in the goldsmiths workroom while suffering from those pains in my back.	THE FIRST piece I cast in bronze was that great bust, the portrait of his Excellency, which I had modelled in the goldsmith  s workroom while suffering from those pains in my back.
4294_14317_000003_000002	I was of course aware that the admirable sculptor Donatello had cast his bronzes with the clay of Florence; yet it seemed to me that he had met with enormous difficulties in their execution.	I was of course aware that the admirable sculptor Donatello had cast his bronzes with the clay of Florence; yet it seemed to me that he had met with enormous difficulties in their execution.
4294_14317_000003_000003	As I thought that this was due to some fault in the earth, I wanted to make these first experiments before I undertook my Perseus.	As I thought that this was due to some fault in the earth, I wanted to make these first experiments before I undertook my Perseus.
4294_14317_000004_000002	The first cast I took in my furnace succeeded in the superlative degree, and was so clean that my friends thought I should not need to retouch it.	The first cast I took in my furnace succeeded in the superlative degree, and was so clean that my friends thought I should not need to retouch it.
4294_14317_000005_000003	I felt compelled to complain pretty sharply to his Excellency; and having gone to wait on him one morning in the Via de Servi, I spoke as follows: My lord, I do not now receive the monies necessary for my task, which makes me fear that your Excellency has lost confidence in me.	I felt compelled to complain pretty sharply to his Excellency; and having gone to wait on him one morning in the Via de  Servi, I spoke as follows:   My lord, I do not now receive the monies necessary for my task, which makes me fear that your Excellency has lost confidence in me.
4294_14317_000005_000004	Once more then I tell you that I feel quite able to execute this statue three times better than the model, as I have before engaged my word.	Once more then I tell you that I feel quite able to execute this statue three times better than the model, as I have before engaged my word.
4294_14317_000008_000002	To prove the truth of these words, I need only remind your Excellency of Donatello and the great Lionardo da Vinci in the past, and of our incomparable Michel Angelo Buonarroti in the present; they augment the glory of your Excellency by their genius. I in my turn feel the same desire and hope to play my part like them; therefore, my lord, give me the leave to go.	To prove the truth of these words, I need only remind your Excellency of Donatello and the great Lionardo da Vinci in the past, and of our incomparable Michel Angelo Buonarroti in the present; they augment the glory of your Excellency by their genius. I in my turn feel the same desire and hope to play my part like them; therefore, my lord, give me the leave to go.
4294_14317_000008_000004	Now grant me my permission, prince!	Now grant me my permission, prince!
4294_14317_000009_000003	He kept indeed enticing me to push this job forward by daytime also; but I would not consent, although I felt sure I should incur his anger.	He kept indeed enticing me to push this job forward by daytime also; but I would not consent, although I felt sure I should incur his anger.
4294_14317_000009_000005	But, as I suppose your Excellency is joking, I will add no more. He replied that, far from joking, he meant solemn earnest.	But, as I suppose your Excellency is joking, I will add no more.  He replied that, far from joking, he meant solemn earnest.
4294_14317_000009_000008	There!	There!
4294_14317_000009_000009	I have mentioned one. I said: My lord, I thank you, and beg you to condescend so far as to listen to four words.	I have mentioned one.  I said:   My lord, I thank you, and beg you to condescend so far as to listen to four words.
4294_14317_000009_000010	It is true that he lent me a pair of old scales, two anvils, and three little hammers, which articles I begged his workman, Giorgio da Cortona, fifteen days ago, to fetch back.	It is true that he lent me a pair of old scales, two anvils, and three little hammers, which articles I begged his workman, Giorgio da Cortona, fifteen days ago, to fetch back.
