4350_10919_000000_000000	PART TWO	PART TWO	false	9.36	17.79	20.631937
4350_10919_000001_000000	Chapter 1	Chapter one	true	17.79	18.67	20.717371
4350_10919_000002_000000	At the end of the winter, in the Shtcherbatskys' house, a consultation was being held, which was to pronounce on the state of Kitty's health and the measures to be taken to restore her failing strength.	At the end of the winter, in the Shtcherbatskys' house, a consultation was being held, which was to pronounce on the state of Kitty's health and the measures to be taken to restore her failing strength.	true	20.96	28.54	18
4350_10919_000002_000001	She had been ill, and as spring came on she grew worse.	She had been ill, and as spring came on she grew worse.	true	28.82	31.72	20.958536
4350_10919_000002_000002	The family doctor gave her cod liver oil, then iron, then nitrate of silver, but as the first and the second and the third were alike in doing no good, and as his advice when spring came was to go abroad, a celebrated physician was called in.	The family doctor gave her cod liver oil, then iron, then nitrate of silver, but as the first and the second and the third were alike in doing no good, and as his advice when spring came was to go abroad, a celebrated physician was called in.	true	31.97	43.69	17.548014
4350_10919_000002_000003	The celebrated physician, a very handsome man, still youngish, asked to examine the patient.	The celebrated physician, a very handsome man, still youngish, asked to examine the patient.	true	44.18	48.4	18.748161
4350_10919_000002_000004	He maintained, with peculiar satisfaction, it seemed, that maiden modesty is a mere relic of barbarism, and that nothing could be more natural than for a man still youngish to handle a young girl naked.	He maintained, with peculiar satisfaction, it seemed, that maiden modesty is a mere relic of barbarism, and that nothing could be more natural than for a man still youngish to handle a young girl naked.	false	48.86	57.64	18.131847
4350_10919_000002_000005	He thought it natural because he did it every day, and felt and thought, as it seemed to him, no harm as he did it and consequently he considered modesty in the girl not merely as a relic of barbarism, but also as an insult to himself.	He thought it natural because he did it every day, and felt and thought, as it seemed to him, no harm as he did it and consequently he considered modesty in the girl not merely as a relic of barbarism, but also as an insult to himself.	false	58.01	67.99	19
4350_10919_000003_000000	There was nothing for it but to submit, since, although all the doctors had studied in the same school, had read the same books, and learned the same science, and though some people said this celebrated doctor was a bad doctor, in the princess's household and circle it was for some reason accepted that this celebrated doctor alone had some special knowledge, and that he alone could save Kitty.	There was nothing for it but to submit, since, although all the doctors had studied in the same school, had read the same books, and learned the same science, and though some people said this celebrated doctor was a bad doctor, in the princess's household and circle it was for some reason accepted that this celebrated doctor alone had some special knowledge, and that he alone could save Kitty.	false	68.12	85.6	18.516584
4350_10919_000003_000001	After a careful examination and sounding of the bewildered patient, dazed with shame, the celebrated doctor, having scrupulously washed his hands, was standing in the drawing room talking to the prince.	After a careful examination and sounding of the bewildered patient, dazed with shame, the celebrated doctor, having scrupulously washed his hands, was standing in the drawing room talking to the prince.	false	86.21	96.33	18.67412
4350_10919_000003_000002	The prince frowned and coughed, listening to the doctor.	The prince frowned and coughed, listening to the doctor.	true	96.33	98.83	19.570992
4350_10919_000003_000003	As a man who had seen something of life, and neither a fool nor an invalid, he had no faith in medicine, and in his heart was furious at the whole farce, specially as he was perhaps the only one who fully comprehended the cause of Kitty's illness.	As a man who had seen something of life, and neither a fool nor an invalid, he had no faith in medicine, and in his heart was furious at the whole farce, specially as he was perhaps the only one who fully comprehended the cause of Kitty's illness.	false	99.08	110.59	18.384268
4350_10919_000003_000004	"Conceited blockhead!" he thought, as he listened to the celebrated doctor's chatter about his daughter's symptoms.	"Conceited blockhead!" he thought, as he listened to the celebrated doctor's chatter about his daughter's symptoms.	true	110.9	116.02	18.747372
4350_10919_000003_000005	The doctor was meantime with difficulty restraining the expression of his contempt for this old gentleman, and with difficulty condescending to the level of his intelligence.	The doctor was meantime with difficulty restraining the expression of his contempt for this old gentleman, and with difficulty condescending to the level of his intelligence.	true	116.48	124.33	18.821062
4350_10919_000003_000006	He perceived that it was no good talking to the old man, and that the principal person in the house was the mother.	He perceived that it was no good talking to the old man, and that the principal person in the house was the mother.	true	124.52	129.46	18.314932
4350_10919_000003_000007	Before her he decided to scatter his pearls.	Before her he decided to scatter his pearls.	true	129.95	132.4	20.532497
4350_10919_000003_000008	At that instant the princess came into the drawing room with the family doctor.	At that instant the princess came into the drawing room with the family doctor.	false	132.56	135.94	19.294035
4350_10919_000003_000009	The prince withdrew, trying not to show how ridiculous he thought the whole performance.	The prince withdrew, trying not to show how ridiculous he thought the whole performance.	true	136.28	139.93	19.147484
4350_10919_000003_000010	The princess was distracted, and did not know what to do.	The princess was distracted, and did not know what to do.	true	140.27	142.99	19.303963
4350_10919_000003_000011	She felt she had sinned against Kitty.	She felt she had sinned against Kitty.	true	143.15	144.85	19.527147
4350_10919_000004_000000	"Well, doctor, decide our fate," said the princess.	"Well, doctor, decide our fate," said the princess.	true	145.25	147.6	20.506962
4350_10919_000004_000001	"Tell me everything."	"Tell me everything."	true	147.6	148.57	20.461956
4350_10919_000005_000000	"Is there hope?" she meant to say, but her lips quivered, and she could not utter the question.	"Is there hope?" she meant to say, but her lips quivered, and she could not utter the question.	true	148.91	152.83	18.49871
4350_10919_000005_000001	"Well, doctor?"	"Well, doctor?"	true	152.87	153.73	20.87721
4350_10919_000006_000000	"Immediately, princess.	"Immediately, princess.	true	154.43	155.445	17.983738
4350_10919_000006_000001	I will talk it over with my colleague, and then I will have the honor of laying my opinion before you."	I will talk it over with my colleague, and then I will have the honor of laying my opinion before you."	true	155.445	159.04	15
4350_10919_000007_000000	"So we had better leave you?"	"So we had better leave you?"	true	159.62	160.96	20.34886
4350_10919_000008_000000	"As you please."	"As you please."	true	161.06	161.92	22.037178
4350_10919_000009_000000	The princess went out with a sigh.	The princess went out with a sigh.	false	162.38	163.96	19.606815
4350_10919_000010_000000	When the doctors were left alone, the family doctor began timidly explaining his opinion, that there was a commencement of tuberculous trouble, but ... and so on.	When the doctors were left alone, the family doctor began timidly explaining his opinion, that there was a commencement of tuberculous trouble, but ... and so on.	false	164.27	171.73	18.531559
4350_10919_000010_000001	The celebrated doctor listened to him, and in the middle of his sentence looked at his big gold watch.	The celebrated doctor listened to him, and in the middle of his sentence looked at his big gold watch.	false	172.01	176.05	20.432562
4350_10919_000011_000000	"Yes," said he.	"Yes," said he.	true	176.99	177.9	17.312218
4350_10919_000011_000001	"But..."	"But..."	true	177.9	178.54	22.5746
4350_10919_000012_000000	The family doctor respectfully ceased in the middle of his observations.	The family doctor respectfully ceased in the middle of his observations.	true	178.76	181.9	17.598131
4350_10919_000013_000000	"The commencement of the tuberculous process we are not, as you are aware, able to define; till there are cavities, there is nothing definite.	"The commencement of the tuberculous process we are not, as you are aware, able to define; till there are cavities, there is nothing definite.	true	182.6	189.015	18.215904
4350_10919_000013_000001	But we may suspect it.	But we may suspect it.	true	189.015	190.24	22.043444
4350_10919_000013_000002	And there are indications; malnutrition, nervous excitability, and so on.	And there are indications; malnutrition, nervous excitability, and so on.	true	190.28	194.2	19.910606
4350_10919_000013_000003	The question stands thus: in presence of indications of tuberculous process, what is to be done to maintain nutrition?"	The question stands thus: in presence of indications of tuberculous process, what is to be done to maintain nutrition?"	true	194.24	200.14	19.827797
