4350_10919_000001_000000	Chapter 1	Chapter one
4350_10919_000002_000000	At the end of the winter, in the Shtcherbatskys' house, a consultation was being held, which was to pronounce on the state of Kitty's health and the measures to be taken to restore her failing strength.	At the end of the winter, in the Shtcherbatskys' house, a consultation was being held, which was to pronounce on the state of Kitty's health and the measures to be taken to restore her failing strength.
4350_10919_000002_000001	She had been ill, and as spring came on she grew worse.	She had been ill, and as spring came on she grew worse.
4350_10919_000002_000002	The family doctor gave her cod liver oil, then iron, then nitrate of silver, but as the first and the second and the third were alike in doing no good, and as his advice when spring came was to go abroad, a celebrated physician was called in.	The family doctor gave her cod liver oil, then iron, then nitrate of silver, but as the first and the second and the third were alike in doing no good, and as his advice when spring came was to go abroad, a celebrated physician was called in.
4350_10919_000002_000003	The celebrated physician, a very handsome man, still youngish, asked to examine the patient.	The celebrated physician, a very handsome man, still youngish, asked to examine the patient.
4350_10919_000003_000002	The prince frowned and coughed, listening to the doctor.	The prince frowned and coughed, listening to the doctor.
4350_10919_000003_000004	"Conceited blockhead!" he thought, as he listened to the celebrated doctor's chatter about his daughter's symptoms.	"Conceited blockhead!" he thought, as he listened to the celebrated doctor's chatter about his daughter's symptoms.
4350_10919_000003_000005	The doctor was meantime with difficulty restraining the expression of his contempt for this old gentleman, and with difficulty condescending to the level of his intelligence.	The doctor was meantime with difficulty restraining the expression of his contempt for this old gentleman, and with difficulty condescending to the level of his intelligence.
4350_10919_000003_000006	He perceived that it was no good talking to the old man, and that the principal person in the house was the mother.	He perceived that it was no good talking to the old man, and that the principal person in the house was the mother.
4350_10919_000003_000007	Before her he decided to scatter his pearls.	Before her he decided to scatter his pearls.
4350_10919_000003_000009	The prince withdrew, trying not to show how ridiculous he thought the whole performance.	The prince withdrew, trying not to show how ridiculous he thought the whole performance.
4350_10919_000003_000010	The princess was distracted, and did not know what to do.	The princess was distracted, and did not know what to do.
4350_10919_000003_000011	She felt she had sinned against Kitty.	She felt she had sinned against Kitty.
4350_10919_000004_000000	"Well, doctor, decide our fate," said the princess.	"Well, doctor, decide our fate," said the princess.
4350_10919_000004_000001	"Tell me everything."	"Tell me everything."
4350_10919_000005_000000	"Is there hope?" she meant to say, but her lips quivered, and she could not utter the question.	"Is there hope?" she meant to say, but her lips quivered, and she could not utter the question.
4350_10919_000005_000001	"Well, doctor?"	"Well, doctor?"
4350_10919_000006_000000	"Immediately, princess.	"Immediately, princess.
4350_10919_000006_000001	I will talk it over with my colleague, and then I will have the honor of laying my opinion before you."	I will talk it over with my colleague, and then I will have the honor of laying my opinion before you."
4350_10919_000007_000000	"So we had better leave you?"	"So we had better leave you?"
4350_10919_000008_000000	"As you please."	"As you please."
4350_10919_000011_000000	"Yes," said he.	"Yes," said he.
4350_10919_000011_000001	"But..."	"But..."
4350_10919_000012_000000	The family doctor respectfully ceased in the middle of his observations.	The family doctor respectfully ceased in the middle of his observations.
4350_10919_000013_000000	"The commencement of the tuberculous process we are not, as you are aware, able to define; till there are cavities, there is nothing definite.	"The commencement of the tuberculous process we are not, as you are aware, able to define; till there are cavities, there is nothing definite.
4350_10919_000013_000001	But we may suspect it.	But we may suspect it.
4350_10919_000013_000002	And there are indications; malnutrition, nervous excitability, and so on.	And there are indications; malnutrition, nervous excitability, and so on.
4350_10919_000013_000003	The question stands thus: in presence of indications of tuberculous process, what is to be done to maintain nutrition?"	The question stands thus: in presence of indications of tuberculous process, what is to be done to maintain nutrition?"
4350_10919_000015_000000	"Yes, that's an understood thing," responded the celebrated physician, again glancing at his watch.	"Yes, that's an understood thing," responded the celebrated physician, again glancing at his watch.
4350_10919_000015_000001	"Beg pardon, is the Yausky bridge done yet, or shall I have to drive around?" he asked.	"Beg pardon, is the Yausky bridge done yet, or shall I have to drive around?" he asked.
4350_10919_000015_000002	"Ah! it is.	"Ah! it is.
4350_10919_000015_000003	Oh, well, then I can do it in twenty minutes.	Oh, well, then I can do it in twenty minutes.
4350_10919_000015_000004	So we were saying the problem may be put thus: to maintain nutrition and to give tone to the nerves.	So we were saying the problem may be put thus: to maintain nutrition and to give tone to the nerves.
4350_10919_000016_000000	"And how about a tour abroad?" asked the family doctor.	"And how about a tour abroad?" asked the family doctor.
4350_10919_000017_000000	"I've no liking for foreign tours.	"I've no liking for foreign tours.
4350_10919_000018_000000	The family doctor listened attentively and respectfully.	The family doctor listened attentively and respectfully.
4350_10919_000019_000000	"But in favor of foreign travel I would urge the change of habits, the removal from conditions calling up reminiscences.	"But in favor of foreign travel I would urge the change of habits, the removal from conditions calling up reminiscences.
4350_10919_000020_000001	Well, in that case, to be sure, let them go.	Well, in that case, to be sure, let them go.
4350_10919_000020_000002	Only, those German quacks are mischievous....	Only, those German quacks are mischievous....
4350_10919_000020_000003	They ought to be persuaded....	They ought to be persuaded....
4350_10919_000022_000000	"Oh! time's up already," And he went to the door.	"Oh! time's up already," And he went to the door.
