4350_9170_000001_000000	This is absolutely incorrect.	This is absolutely incorrect.
4350_9170_000002_000000	The social conception of life, we have seen, consists in the transfer of the aim of life from the individual to groups and their maintenance--to the tribe, family, race, or state.	The social conception of life, we have seen, consists in the transfer of the aim of life from the individual to groups and their maintenance-to the tribe, family, race, or state.
4350_9170_000003_000000	In the social conception of life it is supposed that since the aim of life is found in groups of individuals, individuals will voluntarily sacrifice their own interests for the interests of the group.	In the social conception of life it is supposed that since the aim of life is found in groups of individuals, individuals will voluntarily sacrifice their own interests for the interests of the group.
4350_9170_000003_000001	And so it has been, and still is, in fact, in certain groups, the distinction being that they are the most primitive forms of association in the family or tribe or race, or even in the patriarchal state.	And so it has been, and still is, in fact, in certain groups, the distinction being that they are the most primitive forms of association in the family or tribe or race, or even in the patriarchal state.
4350_9170_000004_000001	The champions of the social conception of life usually try to connect the idea of authority, that is, of violence, with the idea of moral influence, but this connection is quite impossible.	The champions of the social conception of life usually try to connect the idea of authority, that is, of violence, with the idea of moral influence, but this connection is quite impossible.
4350_9170_000005_000000	The effect of moral influence on a man is to change his desires and to bend them in the direction of the duty required of him. The man who is controlled by moral influence acts in accordance with his own desires.	The effect of moral influence on a man is to change his desires and to bend them in the direction of the duty required of him. The man who is controlled by moral influence acts in accordance with his own desires.
4350_9170_000005_000001	Authority, in the sense in which the word is ordinarily understood, is a means of forcing a man to act in opposition to his desires.	Authority, in the sense in which the word is ordinarily understood, is a means of forcing a man to act in opposition to his desires.
4350_9170_000005_000003	Nothing can oblige a man to do what he does not choose except physical force, or the threat of it, that is--deprivation of freedom, blows, imprisonment, or threats--easily carried out--of such punishments.	Nothing can oblige a man to do what he does not choose except physical force, or the threat of it, that is-deprivation of freedom, blows, imprisonment, or threats-easily carried out-of such punishments.
4350_9170_000007_000000	The basis of authority is bodily violence.	The basis of authority is bodily violence.
4350_9170_000007_000001	The possibility of applying bodily violence to people is provided above all by an organization of armed men, trained to act in unison in submission to one will.	The possibility of applying bodily violence to people is provided above all by an organization of armed men, trained to act in unison in submission to one will.
4350_9170_000007_000002	These bands of armed men, submissive to a single will, are what constitute the army.	These bands of armed men, submissive to a single will, are what constitute the army.
4350_9170_000007_000003	The army has always been and still is the basis of power.	The army has always been and still is the basis of power.
