4852_28311_000000_000000	All Chris heard was "--needs a job bad--mother's sick."	All Chris heard was "--needs a job bad-mother's sick."	false	7.74	88.51	20.837818
4852_28311_000001_000000	"O.K.," he said.	"o k," he said.	true	89.03	90.97	22.800661
4852_28311_000001_000001	"Only why didn't you ask him yourself?"	"Only why didn't you ask him yourself?"	true	91.79	93.97	19.646868
4852_28311_000002_000000	Mike became uneasy and fished an elastic band out of his pocket, made a flick of paper and sent it soaring out into M Street.	Mike became uneasy and fished an elastic band out of his pocket, made a flick of paper and sent it soaring out into M Street.	false	94.58	102.31	20.397963
4852_28311_000003_000000	"Well--" he admitted, "I did.	"Well-" he admitted, "I did.	true	102.35	104.775	24.293182
4852_28311_000003_000001	Wicker's such a queer old guy.	Wicker's such a queer old guy.	true	104.775	106.665	20
4852_28311_000003_000002	That ol' antique shop is dark an' spooky, an'--Well, I went in, and there wasn't nobody there, on'y him and me."	That ol' antique shop is dark an' spooky, an'--Well, I went in, and there wasn't nobody there, on'y him and me."	false	106.665	114.49	20.14786
4852_28311_000004_000000	Mike stopped, and after a pause Chris said, "So what?"	Mike stopped, and after a pause Chris said, "So what?"	false	115.07	119.4	21.292164
4852_28311_000005_000000	[Illustration]	[Illustration]	false	119.4	119.46	-3
4852_28311_000006_000000	"So--" Mike swallowed.	"So-" Mike swallowed.	true	119.46	121.87	14.908502
4852_28311_000006_000001	"So I said I was there about the job, an' do you know what he said?	"So I said I was there about the job, an' do you know what he said?	false	122.81	126.345	18.724867
4852_28311_000006_000002	He said"--he went on without urging, but with a frown of perplexity ridging his forehead--"He said, 'Turn around and look out that window, son, and tell me what you see.'"	He said"--he went on without urging, but with a frown of perplexity ridging his forehead-"He said, 'Turn around and look out that window, son, and tell me what you see.'"	false	126.345	138.76	20.06667
4852_28311_000007_000000	Mike stopped and looked at Chris with a comical expression.	Mike stopped and looked at Chris with a comical expression.	true	139.28	142.29	19.66516
4852_28311_000007_000001	"Everybody knows what's outside his window!" he burst out.	"Everybody knows what's outside his window!" he burst out.	true	142.29	145.29	19.524696
4852_28311_000007_000002	"Of all the silly things!	"Of all the silly things!	false	145.29	146.98	19.534206
4852_28311_000007_000003	But I turned around and looked, like he told me to, and of course there was the traffic goin' by, and trucks, and cabs, and people crossin' the street, and the freeway overhead, an'--_you_ know."	But I turned around and looked, like he told me to, and of course there was the traffic goin' by, and trucks, and cabs, and people crossin' the street, and the freeway overhead, an'--underscore you underscore know."	false	147.02	157.3	18
4852_28311_000008_000000	"So what did he say?" Chris asked, and for the first time that day the heavy weight he carried within him lifted and lightened a little.	"So what did he say?" Chris asked, and for the first time that day the heavy weight he carried within him lifted and lightened a little.	false	158	165.07	20.21437
4852_28311_000009_000000	Mike examined the toe of his worn shoe.	Mike examined the toe of his worn shoe.	false	165.32	167.685	20.314856
4852_28311_000009_000001	"Oh, he just smiled, that funny little crackly smile, and said, 'I'm sorry, young man, you won't do.'"	"Oh, he just smiled, that funny little crackly smile, and said, 'I'm sorry, young man, you won't do.'"	false	167.685	174.87	20.217062
4852_28311_000010_000000	[Illustration]	[Illustration]	false	174.87	175.68	16.215755
4852_28311_000011_000000	For a moment both boys stared into one another's eyes, each questioning, wondering, and neither being able to supply the answer.	For a moment both boys stared into one another's eyes, each questioning, wondering, and neither being able to supply the answer.	false	175.68	182.16	14
4852_28311_000012_000000	At last, Chris broke the silence.	At last, Chris broke the silence.	false	182.16	184.29	18
4852_28311_000013_000000	"Queerest thing I ever heard.	"Queerest thing I ever heard.	false	184.29	186.165	19.974735
4852_28311_000013_000001	Gee!	Gee!	true	186.165	186.795	13
4852_28311_000013_000002	Whaddaya suppose?"	Whaddaya suppose?"	true	186.795	188.29	21.709814
4852_28311_000014_000000	Mike took heart, his experience believed and his bafflement shared.	Mike took heart, his experience believed and his bafflement shared.	false	188.45	192.645	20.544605
4852_28311_000014_000001	He spoke cheerfully.	He spoke cheerfully.	true	192.645	193.9	19.96681
4852_28311_000014_000002	"It doesn't make sense, but old Wicker's so old he may be addled, don't you reckon?	"It doesn't make sense, but old Wicker's so old he may be addled, don't you reckon?	false	194.75	198.79	20.931446
4852_28311_000014_000003	Who else would keep an antique store where nobody ever looks?	Who else would keep an antique store where nobody ever looks?	false	198.98	202.06	20.335812
4852_28311_000014_000004	All the other antique places are along Wisconsin Avenue where people go to shop."	All the other antique places are along Wisconsin Avenue where people go to shop."	false	202.22	206.68	19.911064
4852_28311_000015_000000	"You reckon Jakey really could use the job?" Chris asked, his courage ebbing as he pictured to himself the dark little shop with its bow window of small panes, and Mr. Wicker, so thin and wizened he seemed only bones and wrinkles.	"You reckon Jakey really could use the job?" Chris asked, his courage ebbing as he pictured to himself the dark little shop with its bow window of small panes, and mr Wicker, so thin and wizened he seemed only bones and wrinkles.	false	207.26	220.03	19.389357
4852_28311_000015_000001	"Think he really needs it?" he pursued.	"Think he really needs it?" he pursued.	true	220.61	223.08	20.742838
4852_28311_000016_000000	But Mike was certain, or perhaps he needed a companion in this curious experiment.	But Mike was certain, or perhaps he needed a companion in this curious experiment.	false	223.08	227.52	19.61418
4852_28311_000017_000000	"You bet he does!	"You bet he does!	true	227.52	228.85	21.60478
