4852_28330_000000_000000	Let's see, he began in his mind, a bunch of the men were singing--Bowie was one of 'em.	Let's see, he began in his mind, a bunch of the men were singing-Bowie was one of 'em.	false	67.08	72.42	17.051744
4852_28330_000000_000001	They went down to their quarters first. They were really closest to the hatch.	They went down to their quarters first. They were really closest to the hatch.	true	72.42	76.455	20.06979
4852_28330_000000_000002	Mr. Finney called Abner up to the bridge, and Abner came back and went down a while later.	mr Finney called Abner up to the bridge, and Abner came back and went down a while later.	false	76.455	81.19	16
4852_28330_000000_000003	Guess Mr. Finney went to his quarters--I don't remember seeing him cross the deck or come over that way at all.	Guess mr Finney went to his quarters-I don't remember seeing him cross the deck or come over that way at all.	true	81.5	87.31	18
4852_28330_000001_000000	Then--let's see--Captain Blizzard took a turn around the deck.	Then-let's see-Captain Blizzard took a turn around the deck.	false	87.71	92.13	22.91201
4852_28330_000001_000001	It was getting dark.	It was getting dark.	true	92.13	93.225	21.830456
4852_28330_000001_000002	He joked with the cook at the galley door, and probably went on, for I didn't see him come by again.	He joked with the cook at the galley door, and probably went on, for I didn't see him come by again.	true	93.225	98.17	17
4852_28330_000001_000003	Next, Ned Cilley was relieved at the helm by Elbert Jones, who took over.	Next, Ned Cilley was relieved at the helm by Elbert Jones, who took over.	true	98.57	102.765	15
4852_28330_000001_000004	Ned went on down.	Ned went on down.	true	102.765	104.26	21.006699
4852_28330_000002_000000	Or did he?	Or did he?	true	105.29	106.63	21.659498
4852_28330_000002_000001	Chris wrinkled his brow with concentration.	Chris wrinkled his brow with concentration.	true	106.85	109.125	19
4852_28330_000002_000002	I _guess_ so, he thought, but I don't _know_ so.	I underscore guess underscore so, he thought, but I don't underscore know underscore so.	false	109.125	113.47	19.520473
4852_28330_000002_000003	It looks to me as if it could have been one of several people, and I'll be switched if I know who.	It looks to me as if it could have been one of several people, and I'll be switched if I know who.	true	113.48	118.33	17
4852_28330_000002_000004	I'll keep my eyes open.	I'll keep my eyes open.	false	118.58	120.24	18.767569
4852_28330_000002_000005	Maybe whoever it was will give himself away somehow and give me a clue.	Maybe whoever it was will give himself away somehow and give me a clue.	true	120.24	124.03	17
4852_28330_000003_000000	The _Mirabelle_ was nearing Tahiti.	The underscore Mirabelle underscore was nearing Tahiti.	false	124.28	126.27	18.649366
4852_28330_000003_000001	The air was balmy, and already a different fragrance pervaded it, together with a softer quality which Chris now knew meant land.	The air was balmy, and already a different fragrance pervaded it, together with a softer quality which Chris now knew meant land.	false	126.27	133.71	17
4852_28330_000004_000000	At noon one day Captain Blizzard announced to Chris and Amos: "Should the wind keep up as it is now, by nightfall or by dawn at the latest, we should sight Tahiti.	At noon one day Captain Blizzard announced to Chris and amos: "Should the wind keep up as it is now, by nightfall or by dawn at the latest, we should sight Tahiti.	false	133.71	144.19	19.77473
4852_28330_000004_000001	We've water and fresh stores to take on there." He beamed over his many chins at the two boys.	We've water and fresh stores to take on there." He beamed over his many chins at the two boys.	false	144.47	150.28	20.208658
4852_28330_000004_000002	"'Tis a fair place, is Tahiti, and one you lads will have an interest and a pleasure in seeing."	"'tis a fair place, is Tahiti, and one you lads will have an interest and a pleasure in seeing."	false	150.32	156.85	19.607687
4852_28330_000005_000000	Chris lost no time, as soon as he could do it without being noticed, in hurrying down to his cabin.	Chris lost no time, as soon as he could do it without being noticed, in hurrying down to his cabin.	true	157.67	163.15	18
4852_28330_000005_000001	Locking the door, he took the conch shell from his sea chest and held it to his ear.	Locking the door, he took the conch shell from his sea chest and held it to his ear.	false	163.43	167.595	17
