5484_24318_000001_000000	CHAPTER VIII.	CHAPTER eight.
5484_24318_000002_000000	Without a word of explanation, Hermon dragged his guide along in breathless haste.	Without a word of explanation, Hermon dragged his guide along in breathless haste.
5484_24318_000002_000001	No one stopped them.	No one stopped them.
5484_24318_000003_000000	The atrium, usually swarming with guards, servants, and officials until a far later hour, was completely deserted when the blind man hurried through it with his friend.	The atrium, usually swarming with guards, servants, and officials until a far later hour, was completely deserted when the blind man hurried through it with his friend.
5484_24318_000004_000001	Not a sound, if you value your lives!"	Not a sound, if you value your lives!"
5484_24318_000007_000000	Was he to be led to the executioner's block?	Was he to be led to the executioner's block?
5484_24318_000008_000000	What pleasure had life to offer him, the blind man, who was already dead to his art?	What pleasure had life to offer him, the blind man, who was already dead to his art?
5484_24318_000010_000001	Wherever the beloved dead might be, he desired to go there also.	Wherever the beloved dead might be, he desired to go there also.
5484_24318_000010_000002	Whatever might await him, he desired no better fate.	Whatever might await him, he desired no better fate.
5484_24318_000010_000003	If he had passed into annihilation, he, Hermon, wished to follow him thither, and annihilation certainly meant redemption from pain and misery.	If he had passed into annihilation, he, Hermon, wished to follow him thither, and annihilation certainly meant redemption from pain and misery.
5484_24318_000011_000000	Only his heart grew heavy at the thought of leaving Daphne to the tireless wooer Philotas or some other--everything else from which it is usually hard to part seemed like a burden that we gladly cast aside.	Only his heart grew heavy at the thought of leaving Daphne to the tireless wooer Philotas or some other-everything else from which it is usually hard to part seemed like a burden that we gladly cast aside.
5484_24318_000012_000000	"Forward!" he called blithely and boldly to the officer; while Crates, with loud lamentations, was protesting his innocence to the warrior who was putting fetters upon him.	"Forward!" he called blithely and boldly to the officer; while Crates, with loud lamentations, was protesting his innocence to the warrior who was putting fetters upon him.
5484_24318_000013_000001	His keen ear could not deceive him, and yet a demon must be mocking him, for the voice that had called his name was the girl's of whom, in the presence of welcome death, he had thought with longing regret.	His keen ear could not deceive him, and yet a demon must be mocking him, for the voice that had called his name was the girl's of whom, in the presence of welcome death, he had thought with longing regret.
