6070_63485_000000_000000	The Schoolmaster and the Chouette then went towards the door.	The Schoolmaster and the Chouette then went towards the door.	false	0	3.78	19.268213
6070_63485_000001_000000	"You won't, then, take a 'drain' of nothin' to-night?" said the ogress.	"You won't, then, take a 'drain' of nothin' to night?" said the ogress.	false	3.78	10.785	19.199085
6070_63485_000002_000000	"No, Mother Ponisse, we only came in to take shelter from the rain," said the Schoolmaster, as he and the Chouette went out.	"No, Mother Ponisse, we only came in to take shelter from the rain," said the Schoolmaster, as he and the Chouette went out.	false	10.785	21.045	19.991934
6070_63485_000003_000000	CHAPTER VII.	CHAPTER seven.	true	21.045	22.245	18
6070_63485_000004_000000	"YOUR MONEY OR YOUR LIFE."	"YOUR MONEY o r YOUR LIFE."	false	22.245	24.07	19.9107
6070_63485_000005_000000	The noise which was made by the shutting of the door aroused Tom and Sarah from their reverie, and they rose, and, having thanked the Chourineur for the information he had given them, the fellow went out, the wind blowing very strongly, and the rain falling in torrents.	The noise which was made by the shutting of the door aroused Tom and Sarah from their reverie, and they rose, and, having thanked the Chourineur for the information he had given them, the fellow went out, the wind blowing very strongly, and the rain falling in torrents.	false	26.03	45.31	15
6070_63485_000005_000001	The Schoolmaster and the Chouette, hidden in an alley opposite the _tapis-franc_, saw the Chourineur go down the street, in the direction of the street in which the house in ruins was situated.	The Schoolmaster and the Chouette, hidden in an alley opposite the underscore tapis franc underscore, saw the Chourineur go down the street, in the direction of the street in which the house in ruins was situated.	false	45.89	58.99	15
6070_63485_000005_000002	His steps, which were somewhat irregular, in consequence of the frequent libations of the evening, were soon unheard amidst the whistling of the storm and the sheets of rain which dashed against the walls.	His steps, which were somewhat irregular, in consequence of the frequent libations of the evening, were soon unheard amidst the whistling of the storm and the sheets of rain which dashed against the walls.	true	59.69	74.68	13
6070_63485_000005_000003	Sarah and Tom left the tavern in spite of the tempest, and took a contrary direction to the Chourineur.	Sarah and Tom left the tavern in spite of the tempest, and took a contrary direction to the Chourineur.	false	75.35	82.81	14
6070_63485_000006_000000	"They're done for," said the Schoolmaster, in a low key, to the Chouette; "out with your vitriol, and mind your eye."	"They're done for," said the Schoolmaster, in a low key, to the Chouette; "out with your vitriol, and mind your eye."	true	84.2	92.83	13
6070_63485_000007_000000	"Let us take off our shoes, and then they won't hear us as we follow," suggested the Chouette.	"Let us take off our shoes, and then they won't hear us as we follow," suggested the Chouette.	true	94.34	100.57	16
