6070_86744_000000_000000	Chapter 38.	Chapter thirty eight.	false	0.36	9.075	21.530327
6070_86744_000000_000001	The Compact.	The Compact.	false	9.075	21.97	20.891903
6070_86744_000001_000000	The first words that Albert uttered to his friend, on the following morning, contained a request that Franz would accompany him on a visit to the count; true, the young man had warmly and energetically thanked the count on the previous evening; but services such as he had rendered could never be too often acknowledged.	The first words that Albert uttered to his friend, on the following morning, contained a request that Franz would accompany him on a visit to the count; true, the young man had warmly and energetically thanked the count on the previous evening; but services such as he had rendered could never be too often acknowledged.	true	22.61	45.09	21.765835
6070_86744_000001_000001	Franz, who seemed attracted by some invisible influence towards the count, in which terror was strangely mingled, felt an extreme reluctance to permit his friend to be exposed alone to the singular fascination that this mysterious personage seemed to exercise over him, and therefore made no objection to Albert's request, but at once accompanied him to the desired spot, and, after a short delay, the count joined them in the salon.	Franz, who seemed attracted by some invisible influence towards the count, in which terror was strangely mingled, felt an extreme reluctance to permit his friend to be exposed alone to the singular fascination that this mysterious personage seemed to exercise over him, and therefore made no objection to Albert's request, but at once accompanied him to the desired spot, and, after a short delay, the count joined them in the salon.	false	45.09	78.25	20.758434
6070_86744_000001_000002	"My dear count," said Albert, advancing to meet him, "permit me to repeat the poor thanks I offered last night, and to assure you that the remembrance of all I owe to you will never be effaced from my memory; believe me, as long as I live, I shall never cease to dwell with grateful recollection on the prompt and important service you rendered me; and also to remember that to you I am indebted even for my life."	"My dear count," said Albert, advancing to meet him, "permit me to repeat the poor thanks I offered last night, and to assure you that the remembrance of all I owe to you will never be effaced from my memory; believe me, as long as I live, I shall never cease to dwell with grateful recollection on the prompt and important service you rendered me; and also to remember that to you I am indebted even for my life."	false	79.19	108.13	20.369644
6070_86744_000002_000000	"My very good friend and excellent neighbor," replied the count, with a smile, "you really exaggerate my trifling exertions.	"My very good friend and excellent neighbor," replied the count, with a smile, "you really exaggerate my trifling exertions.	true	109.25	117.88	20.5069
6070_86744_000002_000001	You owe me nothing but some trifle of 20,000. francs, which you have been saved out of your travelling expenses, so that there is not much of a score between us;--but you must really permit me to congratulate you on the ease and unconcern with which you resigned yourself to your fate, and the perfect indifference you manifested as to the turn events might take."	You owe me nothing but some trifle of twenty thousand. francs, which you have been saved out of your travelling expenses, so that there is not much of a score between us;--but you must really permit me to congratulate you on the ease and unconcern with which you resigned yourself to your fate, and the perfect indifference you manifested as to the turn events might take."	false	118.13	141.76	21
6070_86744_000003_000000	"Upon my word," said Albert, "I deserve no credit for what I could not help, namely, a determination to take everything as I found it, and to let those bandits see, that although men get into troublesome scrapes all over the world, there is no nation but the French that can smile even in the face of grim Death himself.	"Upon my word," said Albert, "I deserve no credit for what I could not help, namely, a determination to take everything as I found it, and to let those bandits see, that although men get into troublesome scrapes all over the world, there is no nation but the French that can smile even in the face of grim Death himself.	true	142.22	163.75	20
6070_86744_000003_000001	All that, however, has nothing to do with my obligations to you, and I now come to ask you whether, in my own person, my family, or connections, I can in any way serve you? My father, the Comte de Morcerf, although of Spanish origin, possesses considerable influence, both at the court of France and Madrid, and I unhesitatingly place the best services of myself, and all to whom my life is dear, at your disposal."	All that, however, has nothing to do with my obligations to you, and I now come to ask you whether, in my own person, my family, or connections, I can in any way serve you? My father, the Comte de Morcerf, although of Spanish origin, possesses considerable influence, both at the court of France and Madrid, and I unhesitatingly place the best services of myself, and all to whom my life is dear, at your disposal."	false	164.84	194.05	20
6070_86744_000004_000000	"Monsieur de Morcerf," replied the count, "your offer, far from surprising me, is precisely what I expected from you, and I accept it in the same spirit of hearty sincerity with which it is made;--nay, I will go still further, and say that I had previously made up my mind to ask a great favor at your hands."	"Monsieur de Morcerf," replied the count, "your offer, far from surprising me, is precisely what I expected from you, and I accept it in the same spirit of hearty sincerity with which it is made;--nay, I will go still further, and say that I had previously made up my mind to ask a great favor at your hands."	true	194.45	215.71	20
6070_86744_000005_000000	"Oh, pray name it."	"Oh, pray name it."	true	216.02	217.96	23.019894
