6070_86745_000000_000000	Chapter 39.	Chapter thirty nine.	false	0.33	20.535	21.464941
6070_86745_000000_000001	The Guests.	The Guests.	true	20.535	21.52	24.48039
6070_86745_000001_000000	In the house in the Rue du Helder, where Albert had invited the Count of Monte Cristo, everything was being prepared on the morning of the 21st of May to do honor to the occasion.	In the house in the Rue du Helder, where Albert had invited the Count of Monte Cristo, everything was being prepared on the morning of the twenty first of May to do honor to the occasion.	false	22.01	34.17	21
6070_86745_000001_000001	Albert de Morcerf inhabited a pavilion situated at the corner of a large court, and directly opposite another building, in which were the servants' apartments.	Albert de Morcerf inhabited a pavilion situated at the corner of a large court, and directly opposite another building, in which were the servants' apartments.	false	34.17	45.85	21.09874
6070_86745_000001_000002	Two windows only of the pavilion faced the street; three other windows looked into the court, and two at the back into the garden.	Two windows only of the pavilion faced the street; three other windows looked into the court, and two at the back into the garden.	true	46.55	55.75	20.860798
6070_86745_000001_000003	Between the court and the garden, built in the heavy style of the imperial architecture, was the large and fashionable dwelling of the Count and Countess of Morcerf. A high wall surrounded the whole of the hotel, surmounted at intervals by vases filled with flowers, and broken in the centre by a large gate of gilded iron, which served as the carriage entrance.	Between the court and the garden, built in the heavy style of the imperial architecture, was the large and fashionable dwelling of the Count and Countess of Morcerf. A high wall surrounded the whole of the hotel, surmounted at intervals by vases filled with flowers, and broken in the centre by a large gate of gilded iron, which served as the carriage entrance.	false	56.57	82.09	22.582724
6070_86745_000001_000004	A small door, close to the lodge of the concierge, gave ingress and egress to the servants and masters when they were on foot.	A small door, close to the lodge of the concierge, gave ingress and egress to the servants and masters when they were on foot.	false	82.88	91.24	21.31514
6070_86745_000002_000000	It was easy to discover that the delicate care of a mother, unwilling to part from her son, and yet aware that a young man of the viscount's age required the full exercise of his liberty, had chosen this habitation for Albert.	It was easy to discover that the delicate care of a mother, unwilling to part from her son, and yet aware that a young man of the viscount's age required the full exercise of his liberty, had chosen this habitation for Albert.	false	91.43	108.48	21.39613
6070_86745_000002_000001	There were not lacking, however, evidences of what we may call the intelligent egoism of a youth who is charmed with the indolent, careless life of an only son, and who lives as it were in a gilded cage. By means of the two windows looking into the street, Albert could see all that passed; the sight of what is going on is necessary to young men, who always want to see the world traverse their horizon, even if that horizon is only a public thoroughfare.	There were not lacking, however, evidences of what we may call the intelligent egoism of a youth who is charmed with the indolent, careless life of an only son, and who lives as it were in a gilded cage. By means of the two windows looking into the street, Albert could see all that passed; the sight of what is going on is necessary to young men, who always want to see the world traverse their horizon, even if that horizon is only a public thoroughfare.	false	108.48	141.43	22.296526
6070_86745_000002_000002	Then, should anything appear to merit a more minute examination, Albert de Morcerf could follow up his researches by means of a small gate, similar to that close to the concierge's door, and which merits a particular description.	Then, should anything appear to merit a more minute examination, Albert de Morcerf could follow up his researches by means of a small gate, similar to that close to the concierge's door, and which merits a particular description.	false	142.01	158.14	23.168524
6070_86745_000002_000003	It was a little entrance that seemed never to have been opened since the house was built, so entirely was it covered with dust and dirt; but the well-oiled hinges and locks told quite another story.	It was a little entrance that seemed never to have been opened since the house was built, so entirely was it covered with dust and dirt; but the well oiled hinges and locks told quite another story.	true	159.17	173.11	23.784378
6070_86745_000002_000004	This door was a mockery to the concierge, from whose vigilance and jurisdiction it was free, and, like that famous portal in the "Arabian Nights," opening at the "Sesame" of Ali Baba, it was wont to swing backward at a cabalistic word or a concerted tap from without from the sweetest voices or whitest fingers in the world.	This door was a mockery to the concierge, from whose vigilance and jurisdiction it was free, and, like that famous portal in the "Arabian Nights," opening at the "Sesame" of Ali Baba, it was wont to swing backward at a cabalistic word or a concerted tap from without from the sweetest voices or whitest fingers in the world.	false	173.84	198.1	22.715294
6070_86745_000002_000005	At the end of a long corridor, with which the door communicated, and which formed the ante-chamber, was, on the right, Albert's breakfast-room, looking into the court, and on the left the salon, looking into the garden.	At the end of a long corridor, with which the door communicated, and which formed the ante chamber, was, on the right, Albert's breakfast room, looking into the court, and on the left the salon, looking into the garden.	true	198.44	214.63	23.78902
6070_86745_000002_000006	Shrubs and creeping plants covered the windows, and hid from the garden and court these two apartments, the only rooms into which, as they were on the ground-floor, the prying eyes of the curious could penetrate.	Shrubs and creeping plants covered the windows, and hid from the garden and court these two apartments, the only rooms into which, as they were on the ground floor, the prying eyes of the curious could penetrate.	true	215.09	229.84	20.539394
6070_86745_000002_000007	On the floor above were similar rooms, with the addition of a third, formed out of the ante-chamber; these three rooms were a salon, a boudoir, and a bedroom.	On the floor above were similar rooms, with the addition of a third, formed out of the ante chamber; these three rooms were a salon, a boudoir, and a bedroom.	true	230.48	242.65	21.228785
6070_86745_000002_000008	The salon down-stairs was only an Algerian divan, for the use of smokers.	The salon down stairs was only an Algerian divan, for the use of smokers.	true	243.08	248.74	21.654047
6070_86745_000002_000009	The boudoir up-stairs communicated with the bed-chamber by an invisible door on the staircase; it was evident that every precaution had been taken. Above this floor was a large atelier, which had been increased in size by pulling down the partitions--a pandemonium, in which the artist and the dandy strove for preeminence.	The boudoir up stairs communicated with the bed chamber by an invisible door on the staircase; it was evident that every precaution had been taken. Above this floor was a large atelier, which had been increased in size by pulling down the partitions-a pandemonium, in which the artist and the dandy strove for preeminence.	false	249.47	273.55	22.314804
6070_86745_000002_000010	There were collected and piled up all Albert's successive caprices, hunting-horns, bass-viols, flutes--a whole orchestra, for Albert had had not a taste but a fancy for music; easels, palettes, brushes, pencils--for music had been succeeded by painting; foils, boxing-gloves, broadswords, and single-sticks--for, following the example of the fashionable young men of the time, Albert de Morcerf cultivated, with far more perseverance than music and drawing, the three arts that complete a dandy's education, i.e., fencing, boxing, and single-stick; and it was here that he received Grisier, Cook, and Charles Leboucher.	There were collected and piled up all Albert's successive caprices, hunting horns, bass viols, flutes-a whole orchestra, for Albert had had not a taste but a fancy for music; easels, palettes, brushes, pencils-for music had been succeeded by painting; foils, boxing gloves, broadswords, and single sticks-for, following the example of the fashionable young men of the time, Albert de Morcerf cultivated, with far more perseverance than music and drawing, the three arts that complete a dandy's education, i e, fencing, boxing, and single stick; and it was here that he received Grisier, Cook, and Charles Leboucher.	false	273.86	323.74	22.57655
6070_86745_000002_000011	The rest of the furniture of this privileged apartment consisted of old cabinets, filled with Chinese porcelain and Japanese vases, Lucca della Robbia faience, and Palissy platters; of old arm-chairs, in which perhaps had sat Henry IV. or Sully, Louis XIII. or Richelieu--for two of these arm-chairs, adorned with a carved shield, on which were engraved the fleur-de-lis of France on an azure field evidently came from the Louvre, or, at least, some royal residence.	The rest of the furniture of this privileged apartment consisted of old cabinets, filled with Chinese porcelain and Japanese vases, Lucca della Robbia faience, and Palissy platters; of old arm chairs, in which perhaps had sat Henry the fourth. or Sully, Louis the thirteenth. or Richelieu-for two of these arm chairs, adorned with a carved shield, on which were engraved the fleur de lis of France on an azure field evidently came from the Louvre, or, at least, some royal residence.	false	324.29	361.78	21.098925
6070_86745_000002_000012	Over these dark and sombre chairs were thrown splendid stuffs, dyed beneath Persia's sun, or woven by the fingers of the women of Calcutta or of Chandernagor.	Over these dark and sombre chairs were thrown splendid stuffs, dyed beneath Persia's sun, or woven by the fingers of the women of Calcutta or of Chandernagor.	false	362.66	375.675	22.212591
6070_86745_000002_000013	What these stuffs did there, it was impossible to say; they awaited, while gratifying the eyes, a destination unknown to their owner himself; in the meantime they filled the place with their golden and silky reflections.	What these stuffs did there, it was impossible to say; they awaited, while gratifying the eyes, a destination unknown to their owner himself; in the meantime they filled the place with their golden and silky reflections.	true	375.675	391.3	21.437492
6070_86745_000002_000014	In the centre of the room was a Roller and Blanchet "baby grand" piano in rosewood, but holding the potentialities of an orchestra in its narrow and sonorous cavity, and groaning beneath the weight of the chefs-d'oeuvre of Beethoven, Weber, Mozart, Haydn, Gretry, and Porpora.	In the centre of the room was a Roller and Blanchet "baby grand" piano in rosewood, but holding the potentialities of an orchestra in its narrow and sonorous cavity, and groaning beneath the weight of the chefs d'oeuvre of Beethoven, Weber, Mozart, Haydn, Gretry, and Porpora.	false	391.64	413.77	20.774471
