6128_63240_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
6128_63240_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
6128_63240_000005_000000	BY HENRY JAMES	BY HENRY james
6128_63240_000012_000000	"Olive will come down in about ten minutes; she told me to tell you that.	"Olive will come down in about ten minutes; she told me to tell you that.
6128_63240_000012_000002	Neither five nor fifteen, and yet not ten exactly, but either nine or eleven.	Neither five nor fifteen, and yet not ten exactly, but either nine or eleven.
6128_63240_000013_000000	These words were spoken with much volubility by a fair, plump, smiling woman who entered a narrow drawing-room in which a visitor, kept waiting for a few moments, was already absorbed in a book.	These words were spoken with much volubility by a fair, plump, smiling woman who entered a narrow drawing room in which a visitor, kept waiting for a few moments, was already absorbed in a book.
6128_63240_000013_000002	He threw it down at the approach of Mrs. Luna, laughed, shook hands with her, and said in answer to her last remark, "You imply that you do tell fibs.	He threw it down at the approach of mrs Luna, laughed, shook hands with her, and said in answer to her last remark, "You imply that you do tell fibs.
6128_63240_000013_000003	Perhaps that is one."	Perhaps that is one."
6128_63240_000015_000000	"That has an unflattering sound for me," said the young man.	"That has an unflattering sound for me," said the young man.
6128_63240_000015_000001	"I pretend not to prevaricate."	"I pretend not to prevaricate."
6128_63240_000016_000002	And if she said it, she does really hope it.	And if she said it, she does really hope it.
6128_63240_000016_000003	She is willing to risk that."	She is willing to risk that."
6128_63240_000017_000000	"Just as I am?" the visitor inquired, presenting himself with rather a work-a-day aspect.	"Just as I am?" the visitor inquired, presenting himself with rather a work a day aspect.
6128_63240_000018_000000	Mrs. Luna glanced at him from head to foot, and gave a little smiling sigh, as if he had been a long sum in addition.	mrs Luna glanced at him from head to foot, and gave a little smiling sigh, as if he had been a long sum in addition.
6128_63240_000018_000001	And, indeed, he was very long, Basil Ransom, and he even looked a little hard and discouraging, like a column of figures, in spite of the friendly face which he bent upon his hostess's deputy, and which, in its thinness, had a deep dry line, a sort of premature wrinkle, on either side of the mouth.	And, indeed, he was very long, Basil Ransom, and he even looked a little hard and discouraging, like a column of figures, in spite of the friendly face which he bent upon his hostess's deputy, and which, in its thinness, had a deep dry line, a sort of premature wrinkle, on either side of the mouth.
6128_63240_000018_000002	He was tall and lean, and dressed throughout in black; his shirt-collar was low and wide, and the triangle of linen, a little crumpled, exhibited by the opening of his waistcoat, was adorned by a pin containing a small red stone.	He was tall and lean, and dressed throughout in black; his shirt collar was low and wide, and the triangle of linen, a little crumpled, exhibited by the opening of his waistcoat, was adorned by a pin containing a small red stone.
6128_63240_000018_000003	In spite of this decoration the young man looked poor--as poor as a young man could look who had such a fine head and such magnificent eyes.	In spite of this decoration the young man looked poor-as poor as a young man could look who had such a fine head and such magnificent eyes.
6128_63240_000018_000005	His forehead was high and broad, and his thick black hair, perfectly straight and glossy, and without any division, rolled back from it in a leonine manner.	His forehead was high and broad, and his thick black hair, perfectly straight and glossy, and without any division, rolled back from it in a leonine manner.
6128_63240_000018_000010	Mrs. Luna looked up at all this, but saw only a part of it; otherwise she would not have replied in a bantering manner, in answer to his inquiry: "Are you ever different from this?" Mrs. Luna was familiar--intolerably familiar.	mrs Luna looked up at all this, but saw only a part of it; otherwise she would not have replied in a bantering manner, in answer to his inquiry: "Are you ever different from this?" mrs Luna was familiar-intolerably familiar.
6128_63240_000019_000000	Basil Ransom coloured a little.	Basil Ransom coloured a little.
6128_63240_000019_000001	Then he said: "Oh yes; when I dine out I usually carry a six-shooter and a bowie-knife." And he took up his hat vaguely--a soft black hat with a low crown and an immense straight brim. Mrs. Luna wanted to know what he was doing.	Then he said: "Oh yes; when I dine out I usually carry a six shooter and a bowie knife." And he took up his hat vaguely-a soft black hat with a low crown and an immense straight brim. mrs Luna wanted to know what he was doing.
6128_63240_000019_000002	She made him sit down; she assured him that her sister quite expected him, would feel as sorry as she could ever feel for anything--for she was a kind of fatalist, anyhow--if he didn't stay to dinner.	She made him sit down; she assured him that her sister quite expected him, would feel as sorry as she could ever feel for anything-for she was a kind of fatalist, anyhow-if he didn't stay to dinner.
6128_63240_000021_000000	"Well, so it is; they are all witches and wizards, mediums, and spirit-rappers, and roaring radicals."	"Well, so it is; they are all witches and wizards, mediums, and spirit rappers, and roaring radicals."
6128_63240_000022_000000	Basil Ransom stared; the yellow light in his brown eyes deepened.	Basil Ransom stared; the yellow light in his brown eyes deepened.
6128_63240_000023_000000	"A radical?	"A radical?
6128_63240_000023_000001	She's a female Jacobin--she's a nihilist.	She's a female Jacobin-she's a nihilist.
6128_63240_000023_000003	If you are going to dine with her, you had better know it."	If you are going to dine with her, you had better know it."
