6128_63241_000000_000000	"I have told him you are a radical, and you may tell him, if you like, that I am a painted Jezebel.	"I have told him you are a radical, and you may tell him, if you like, that I am a painted Jezebel.	false	0	1.35	6
6128_63241_000000_000001	Try to reform him; a person from Mississippi is sure to be all wrong.	Try to reform him; a person from Mississippi is sure to be all wrong.	false	1.35	2.22	17.661566
6128_63241_000000_000002	I shall be back very late; we are going to a theatre-party; that's why we dine so early.	I shall be back very late; we are going to a theatre party; that's why we dine so early.	false	2.22	3.39	14
6128_63241_000000_000003	Good-bye, Mr. Ransom," Mrs. Luna continued, gathering up the feathery white shawl which added to the volume of her fairness.	Good bye, mr Ransom," mrs Luna continued, gathering up the feathery white shawl which added to the volume of her fairness.	false	3.39	4.68	20
6128_63241_000000_000004	"I hope you are going to stay a little, so that you may judge us for yourself.	"I hope you are going to stay a little, so that you may judge us for yourself.	false	4.68	5.58	20.05057
6128_63241_000000_000005	I should like you to see Newton, too; he is a noble little nature, and I want some advice about him.	I should like you to see Newton, too; he is a noble little nature, and I want some advice about him.	false	5.58	7.8	14.699867
6128_63241_000000_000006	You only stay to-morrow?	You only stay to morrow?	false	7.8	8.46	11.831951
6128_63241_000000_000007	Why, what's the use of that?	Why, what's the use of that?	false	8.46	8.82	11
6128_63241_000000_000008	Well, mind you come and see me in New York; I shall be sure to be part of the winter there.	Well, mind you come and see me in New York; I shall be sure to be part of the winter there.	false	8.82	10.05	6
6128_63241_000000_000009	I shall send you a card; I won't let you off.	I shall send you a card; I won't let you off.	false	10.05	11.97	18.172792
6128_63241_000000_000010	Don't come out; my sister has the first claim.	Don't come out; my sister has the first claim.	false	11.97	12.99	3
6128_63241_000000_000011	Olive, why don't you take him to your female convention?" Mrs. Luna's familiarity extended even to her sister; she remarked to Miss Chancellor that she looked as if she were got up for a sea-voyage.	Olive, why don't you take him to your female convention?" mrs Luna's familiarity extended even to her sister; she remarked to Miss Chancellor that she looked as if she were got up for a sea voyage.	false	12.99	17.58	19.339258
