6128_63244_000000_000000	Olive Chancellor received this appeal with peculiar feelings.	Olive Chancellor received this appeal with peculiar feelings.	true	102.285	105.69	9
6128_63244_000000_000001	With her immense sympathy for reform, she found herself so often wishing that reformers were a little different.	With her immense sympathy for reform, she found herself so often wishing that reformers were a little different.	false	105.69	112.72	16
6128_63244_000000_000002	There was something grand about Mrs. Farrinder; it lifted one up to be with her: but there was a false note when she spoke to her young friend about the ladies in Beacon Street. Olive hated to hear that fine avenue talked about as if it were such a remarkable place, and to live there were a proof of worldly glory.	There was something grand about mrs Farrinder; it lifted one up to be with her: but there was a false note when she spoke to her young friend about the ladies in Beacon Street. Olive hated to hear that fine avenue talked about as if it were such a remarkable place, and to live there were a proof of worldly glory.	false	113.33	132.49	17
6128_63244_000000_000003	All sorts of inferior people lived there, and so brilliant a woman as Mrs. Farrinder, who lived at Roxbury, ought not to mix things up.	All sorts of inferior people lived there, and so brilliant a woman as mrs Farrinder, who lived at Roxbury, ought not to mix things up.	false	132.86	140.98	15
6128_63244_000000_000004	It was, of course, very wretched to be irritated by such mistakes; but this was not the first time Miss Chancellor had observed that the possession of nerves was not by itself a reason for embracing the new truths.	It was, of course, very wretched to be irritated by such mistakes; but this was not the first time Miss Chancellor had observed that the possession of nerves was not by itself a reason for embracing the new truths.	false	141.62	153.94	10
6128_63244_000000_000005	She knew her place in the Boston hierarchy, and it was not what Mrs. Farrinder supposed; so that there was a want of perspective in talking to her as if she had been a representative of the aristocracy.	She knew her place in the Boston hierarchy, and it was not what mrs Farrinder supposed; so that there was a want of perspective in talking to her as if she had been a representative of the aristocracy.	true	154.91	166.6	16.938574
6128_63244_000000_000006	Nothing could be weaker, she knew very well, than (in the United States) to apply that term too literally; nevertheless, it would represent a reality if one were to say that, by distinction, the Chancellors belonged to the _bourgeoisie_--the oldest and best.	Nothing could be weaker, she knew very well, than (in the United States) to apply that term too literally; nevertheless, it would represent a reality if one were to say that, by distinction, the Chancellors belonged to the underscore bourgeoisie underscore--the oldest and best.	false	167	182.41	14
6128_63244_000000_000007	They might care for such a position or not (as it happened, they were very proud of it), but there they were, and it made Mrs. Farrinder seem provincial (there was something provincial, after all, in the way she did her hair too) not to understand.	They might care for such a position or not (as it happened, they were very proud of it), but there they were, and it made mrs Farrinder seem provincial (there was something provincial, after all, in the way she did her hair too) not to understand.	false	182.87	196.78	17.94974
6128_63244_000000_000008	When Miss Birdseye spoke as if one were a "leader of society," Olive could forgive her even that odious expression, because, of course, one never pretended that she, poor dear, had the smallest sense of the real.	When Miss Birdseye spoke as if one were a "leader of society," Olive could forgive her even that odious expression, because, of course, one never pretended that she, poor dear, had the smallest sense of the real.	false	197.54	209.65	10
6128_63244_000000_000009	She was heroic, she was sublime, the whole moral history of Boston was reflected in her displaced spectacles; but it was a part of her originality, as it were, that she was deliciously provincial.	She was heroic, she was sublime, the whole moral history of Boston was reflected in her displaced spectacles; but it was a part of her originality, as it were, that she was deliciously provincial.	false	209.84	222.54	13
6128_63244_000000_000010	Olive Chancellor seemed to herself to have privileges enough without being affiliated to the exclusive set and having invitations to the smaller parties, which were the real test; it was a mercy for her that she had not that added immorality on her conscience.	Olive Chancellor seemed to herself to have privileges enough without being affiliated to the exclusive set and having invitations to the smaller parties, which were the real test; it was a mercy for her that she had not that added immorality on her conscience.	false	222.54	239.41	17.340628
6128_63244_000000_000011	The ladies Mrs. Farrinder meant (it was to be supposed she meant some particular ones) might speak for themselves.	The ladies mrs Farrinder meant (it was to be supposed she meant some particular ones) might speak for themselves.	false	239.93	246.99	13
6128_63244_000000_000012	She wished to work in another field; she had long been preoccupied with the romance of the people.	She wished to work in another field; she had long been preoccupied with the romance of the people.	false	246.99	253.66	18.150297
6128_63244_000000_000013	She had an immense desire to know intimately some _very_ poor girl.	She had an immense desire to know intimately some underscore very underscore poor girl.	false	254.09	258.25	10
6128_63244_000000_000014	This might seem one of the most accessible of pleasures; but, in point of fact, she had not found it so.	This might seem one of the most accessible of pleasures; but, in point of fact, she had not found it so.	false	258.86	264.48	10
6128_63244_000000_000015	There were two or three pale shop-maidens whose acquaintance she had sought; but they had seemed afraid of her, and the attempt had come to nothing.	There were two or three pale shop maidens whose acquaintance she had sought; but they had seemed afraid of her, and the attempt had come to nothing.	false	264.48	274.05	18.208128
6128_63244_000000_000016	She took them more tragically then they took themselves; they couldn't make out what she wanted them to do, and they always ended by being odiously mixed up with Charlie.	She took them more tragically then they took themselves; they couldn't make out what she wanted them to do, and they always ended by being odiously mixed up with Charlie.	false	274.05	284.2	18.99975
