6432_63723_000001_000000	THE ODD COIN	THE ODD COIN
6432_63723_000002_000000	Colonel Ashley fished for a time in silence, broken only by the gentle snores of Shag, farther back in the field, and by the murmur of the water.	Colonel Ashley fished for a time in silence, broken only by the gentle snores of Shag, farther back in the field, and by the murmur of the water.
6432_63723_000002_000001	The old colored man, wrapped in a warm coat, for it was not summer yet, seemed to be enjoying his siesta when, with a suddenness that was startling in that solitude, the military detective uttered a cry of:	The old colored man, wrapped in a warm coat, for it was not summer yet, seemed to be enjoying his siesta when, with a suddenness that was startling in that solitude, the military detective uttered a cry of:
6432_63723_000003_000000	"I've got it!"	"I've got it!"
6432_63723_000004_000000	"What?" called Kenneth.	"What?" called Kenneth.
6432_63723_000004_000001	"The solution to my problem?"	"The solution to my problem?"
6432_63723_000005_000000	"No!	"No!
6432_63723_000005_000001	My fish!" chuckled the colonel, as he skilfully played the luckless trout, now struggling to get loose from the hook.	My fish!" chuckled the colonel, as he skilfully played the luckless trout, now struggling to get loose from the hook.
6432_63723_000006_000000	And when the fish was landed, panting on the grass, and Shag had been roused from his slumber to slip the now limp fish into the creel, Colonel Ashley gave a sigh of relief and remarked:	And when the fish was landed, panting on the grass, and Shag had been roused from his slumber to slip the now limp fish into the creel, Colonel Ashley gave a sigh of relief and remarked:
6432_63723_000007_000000	"I think I see it now."	"I think I see it now."
6432_63723_000008_000000	"The reason she asked no alimony?" inquired Kenneth.	"The reason she asked no alimony?" inquired Kenneth.
6432_63723_000009_000000	"No.	"no
6432_63723_000009_000001	I wasn't thinking of that.	I wasn't thinking of that.
6432_63723_000009_000002	But I have been gathering up some loose ends, and I think I know where to tie them together.	But I have been gathering up some loose ends, and I think I know where to tie them together.
6432_63723_000009_000003	However, don't think I'm not interested in your case.	However, don't think I'm not interested in your case.
6432_63723_000009_000004	I've fished enough for to-day.	I've fished enough for to day.
6432_63723_000009_000005	Not that, ordinarily, I'm satisfied with one, but I'm not working the rod now.	Not that, ordinarily, I'm satisfied with one, but I'm not working the rod now.
6432_63723_000009_000006	I am, as Shag calls it, 'detectin',' and I just came out here to clarify my thoughts.	I am, as Shag calls it, 'detectin',' and I just came out here to clarify my thoughts.
6432_63723_000009_000007	Having done that, I'm at your service, if I can help."	Having done that, I'm at your service, if I can help."
6432_63723_000010_000000	"Well, I don't know that you can.	"Well, I don't know that you can.
6432_63723_000010_000001	As I said, the facts of the separation of the Larchs will soon be heralded all over the city, for the final papers were filed to-day, and the reporters will be sure to see them.	As I said, the facts of the separation of the Larchs will soon be heralded all over the city, for the final papers were filed to day, and the reporters will be sure to see them.
6432_63723_000010_000003	It's a plain and sordid story enough, with the exception of her refusal of alimony, and that I can't understand.	It's a plain and sordid story enough, with the exception of her refusal of alimony, and that I can't understand.
6432_63723_000011_000000	"Certainly, my dear Kenneth."	"Certainly, my dear Kenneth."
6432_63723_000012_000000	"It has no connection with the Darcy murder, and so I didn't mention it to you before."	"It has no connection with the Darcy murder, and so I didn't mention it to you before."
6432_63723_000013_000000	"Go on."	"Go on."
6432_63723_000014_000000	"It isn't generally known," went on the lawyer, "that the hotel keeper's wife has left him.	"It isn't generally known," went on the lawyer, "that the hotel keeper's wife has left him.
6432_63723_000016_000000	"That's what he did.	"That's what he did.
6432_63723_000016_000001	He seems to have been decent for a while after their marriage--which marriage was a mistake from the first--I can see that now.	He seems to have been decent for a while after their marriage-which marriage was a mistake from the first-I can see that now.
6432_63723_000016_000002	I used to know Cynthia when she was a girl--she was the daughter of Lodan Ratchford, and her mother had peculiar and, to my mind, wrong ideas of social position and money.	I used to know Cynthia when she was a girl-she was the daughter of Lodan Ratchford, and her mother had peculiar and, to my mind, wrong ideas of social position and money.
6432_63723_000016_000003	Well, poor Cynthia is paying the penalty now.	Well, poor Cynthia is paying the penalty now.
6432_63723_000016_000004	She was really forced into this marriage which, to say the least, must have been distasteful to her.	She was really forced into this marriage which, to say the least, must have been distasteful to her.
6432_63723_000016_000005	But I don't suppose more than two or three know that."	But I don't suppose more than two or three know that."
6432_63723_000017_000000	The colonel did not disclose the fact that it was no news to him. Aaron Grafton's statement was being unexpectedly confirmed.	The colonel did not disclose the fact that it was no news to him. Aaron Grafton's statement was being unexpectedly confirmed.
6432_63723_000017_000001	He remembered that Cynthia and Grafton had once been in love with each other.	He remembered that Cynthia and Grafton had once been in love with each other.
6432_63723_000018_000000	"Well, when Cynthia came to me, in my capacity as lawyer as well as old friend, I could hardly believe what she told me about her husband," went on Kenneth.	"Well, when Cynthia came to me, in my capacity as lawyer as well as old friend, I could hardly believe what she told me about her husband," went on Kenneth.
6432_63723_000018_000001	"She said he had struck her more than once, and she could stand it no longer.	"She said he had struck her more than once, and she could stand it no longer.
6432_63723_000019_000001	On those grounds I went before the vice chancellor, prepared to prove my case by competent witnesses.	On those grounds I went before the vice chancellor, prepared to prove my case by competent witnesses.
6432_63723_000019_000002	But they were not needed."	But they were not needed."
6432_63723_000020_000000	"Why not?"	"Why not?"
6432_63723_000021_000000	"Because Larch made no defense.	"Because Larch made no defense.
6432_63723_000021_000001	He let the case go by default, for which I was glad, as it saved Cynthia from telling her story in open court.	He let the case go by default, for which I was glad, as it saved Cynthia from telling her story in open court.
6432_63723_000021_000002	Larch, by refusing to appear, practically admitted the charges against him and did not oppose the separation.	Larch, by refusing to appear, practically admitted the charges against him and did not oppose the separation.
6432_63723_000023_000002	She had some means of her own, she declared, and would work rather than accept a cent from him.	She had some means of her own, she declared, and would work rather than accept a cent from him.
6432_63723_000025_000000	"Did he pay it?"	"Did he pay it?"
6432_63723_000026_000000	"No; but he will, or I'll sue him and get judgment.	"No; but he will, or I'll sue him and get judgment.
6432_63723_000026_000001	Oh, he'll pay all right.	Oh, he'll pay all right.
6432_63723_000026_000002	He'll be so tickled to get out of paying his wife a monthly sum that he'll settle with me.	He'll be so tickled to get out of paying his wife a monthly sum that he'll settle with me.
6432_63723_000026_000004	For I really think he loved Cynthia once.	For I really think he loved Cynthia once.
6432_63723_000026_000006	Well, it's a queer world anyhow!"	Well, it's a queer world anyhow!"
6432_63723_000027_000000	"Isn't it?" agreed the colonel.	"Isn't it?" agreed the colonel.
6432_63723_000027_000001	"And it takes all sorts of persons to make it up.	"And it takes all sorts of persons to make it up.
6432_63723_000028_000000	"Not a great deal.	"Not a great deal.
6432_63723_000028_000001	Still I would like to know.	Still I would like to know.
6432_63723_000028_000002	There will be a sensation when this comes out."	There will be a sensation when this comes out."
6432_63723_000030_000000	The murder of Mrs. Darcy had, some time ago, been shifted off the front page, though it would get back there when the young jeweler was tried. As for the killing of Shere Ali, that occasioned only passing interest, the murdered man not being well known.	The murder of mrs Darcy had, some time ago, been shifted off the front page, though it would get back there when the young jeweler was tried. As for the killing of Shere Ali, that occasioned only passing interest, the murdered man not being well known.
6432_63723_000031_000000	But the separation of Mr. and Mrs. Larch was different.	But the separation of mr and mrs Larch was different.
6432_63723_000031_000001	The finely appointed hotel kept by Larch, called the "Homestead," from the name of an old inn of Colonial days which it replaced, was known for miles around.	The finely appointed hotel kept by Larch, called the "Homestead," from the name of an old inn of Colonial days which it replaced, was known for miles around.
6432_63723_000031_000002	It had a double reputation, so to speak.	It had a double reputation, so to speak.
6432_63723_000031_000004	Grave, and even reverend, conventions assembled in its ballroom, and politicians of the upper, if not better, class were frequently seen in its dining-room or cafe.	Grave, and even reverend, conventions assembled in its ballroom, and politicians of the upper, if not better, class were frequently seen in its dining room or cafe.
6432_63723_000031_000005	Being convenient to the courthouse, nearly all the judges and lawyers took lunch there.	Being convenient to the courthouse, nearly all the judges and lawyers took lunch there.
6432_63723_000032_000000	Larch himself was a peculiar character.	Larch himself was a peculiar character.
6432_63723_000032_000001	In a smaller place he would have been called a saloon keeper.	In a smaller place he would have been called a saloon keeper.
6432_63723_000032_000002	Going a little higher up the scale in population he might have been designated as a hotel proprietor.	Going a little higher up the scale in population he might have been designated as a hotel proprietor.
6432_63723_000032_000003	But in Colchester, which was rather unique among cities, he was looked up to as one of the substantial citizens of the place, for he owned the Homestead, where Washington, when it was a wayside inn, had stopped one night--at least such was the rumor--and families socially prominent, some of whose members had very strong views on prohibition, did not hesitate to attend balls given at the hotel.	But in Colchester, which was rather unique among cities, he was looked up to as one of the substantial citizens of the place, for he owned the Homestead, where Washington, when it was a wayside inn, had stopped one night-at least such was the rumor-and families socially prominent, some of whose members had very strong views on prohibition, did not hesitate to attend balls given at the hotel.
