6938_70848_000000_000000	Chapter XII	Chapter twelve	false	1.8	17.94	25.421324
6938_70848_000001_000000	The Peasants' Congress	The Peasants' Congress	false	17.94	22.23	26.369442
6938_70848_000002_000000	It was on November 18th that the snow came.	It was on november eighteenth that the snow came.	false	22.23	25.36	27.580782
6938_70848_000002_000001	In the morning we woke to window-ledges heaped white, and snowflakes falling so whirling thick that it was impossible to see ten feet ahead.	In the morning we woke to window ledges heaped white, and snowflakes falling so whirling thick that it was impossible to see ten feet ahead.	true	25.49	33.93	24
6938_70848_000002_000002	The mud was gone; in a twinkling the gloomy city became white, dazzling.	The mud was gone; in a twinkling the gloomy city became white, dazzling.	false	33.93	38.53	24.725636
6938_70848_000002_000003	The _droshki_ with their padded coachmen turned into sleights, bounding along the uneven street at headlong speed, their drivers' beards stiff and frozen....	The underscore droshki underscore with their padded coachmen turned into sleights, bounding along the uneven street at headlong speed, their drivers' beards stiff and frozen....	false	38.84	48.345	23.49702
6938_70848_000002_000004	In spite of Revolution, all Russia plunging dizzily into the unknown and terrible future, joy swept the city with the coming of the snow.	In spite of Revolution, all Russia plunging dizzily into the unknown and terrible future, joy swept the city with the coming of the snow.	true	48.345	57.045	22
6938_70848_000002_000005	Everybody was smiling; people ran into the streets, holding out their arms to the soft, falling flakes, laughing.	Everybody was smiling; people ran into the streets, holding out their arms to the soft, falling flakes, laughing.	false	57.045	64.03	24.577047
6938_70848_000002_000006	Hidden was all the greyness; only the gold and coloured spires and cupolas, with heightened barbaric splendour, gleamed through the white snow.	Hidden was all the greyness; only the gold and coloured spires and cupolas, with heightened barbaric splendour, gleamed through the white snow.	false	64.25	73.18	24.753994
6938_70848_000003_000000	Even the sun came out, pale and watery, at noon.	Even the sun came out, pale and watery, at noon.	true	73.46	76.695	25.873932
6938_70848_000003_000001	The colds and rheumatism of the rainy months vanished.	The colds and rheumatism of the rainy months vanished.	false	76.695	80.56	22.765991
6938_70848_000003_000002	The life of the city grew gay, and the very Revolution ran swifter....	The life of the city grew gay, and the very Revolution ran swifter....	true	80.78	85.3	21
