7018_75789_000000_000000	When it was the Five Hundred and Sixty-first Night,	When it was the Five Hundred and Sixty first Night,	true	19.98	22.51	15
7018_75789_000001_000000	She said, It hath reached me, O auspicious King, that Sindbad the Seaman continued in these words:--Now after I had buried the last of my party and abode alone on the island, I arose and dug me a deep grave on the sea-shore, saying to myself, "Whenas I grow weak and know that death cometh to me, I will cast myself into the grave and die there, so the wind may drift the sand over me and cover me and I be buried therein."[FN#76] Then I fell to reproaching myself for my little wit in leaving my native land and betaking me again to travel, after all I had suffered during my first five voyages, and when I had not made a single one without suffering more horrible perils and more terrible hardships than in its forerunner and having no hope of escape from my present stress; and I repented me of my folly and bemoaned myself, especially as I had no need of money, seeing that I had enough and more than enough and could not spend what I had, no, nor a half of it in all my life.	She said, It hath reached me, O auspicious King, that Sindbad the Seaman continued in these words:--Now after I had buried the last of my party and abode alone on the island, I arose and dug me a deep grave on the sea shore, saying to myself, "Whenas I grow weak and know that death cometh to me, I will cast myself into the grave and die there, so the wind may drift the sand over me and cover me and I be buried therein."[f n # seventy six] Then I fell to reproaching myself for my little wit in leaving my native land and betaking me again to travel, after all I had suffered during my first five voyages, and when I had not made a single one without suffering more horrible perils and more terrible hardships than in its forerunner and having no hope of escape from my present stress; and I repented me of my folly and bemoaned myself, especially as I had no need of money, seeing that I had enough and more than enough and could not spend what I had, no, nor a half of it in all my life.	false	23.09	83.71	19.838419
7018_75789_000001_000001	However, after a while Allah sent me a thought and I said to myself, "By God, needs must this stream have an end as well as a beginning; ergo an issue somewhere, and belike its course may lead to some inhabited place; so my best plan is to make me a little boat[FN#77] big enough to sit in, and carry it and launching it on the river, embark therein and drop down the stream.	However, after a while Allah sent me a thought and I said to myself, "By God, needs must this stream have an end as well as a beginning; ergo an issue somewhere, and belike its course may lead to some inhabited place; so my best plan is to make me a little boat[f n # seventy seven] big enough to sit in, and carry it and launching it on the river, embark therein and drop down the stream.	false	84.17	109.81	20.321056
7018_75789_000001_000002	If I escape, I escape, by God's leave; and if I perish, better die in the river than here." Then, sighing for myself, I set to work collecting a number of pieces of Chinese and Comorin aloes-wood and I bound them together with ropes from the wreckage; then I chose out from the broken-up ships straight planks of even size and fixed them firmly upon the aloes-wood, making me a boat-raft a little narrower than the channel of the stream; and I tied it tightly and firmly as though it were nailed.	If I escape, I escape, by God's leave; and if I perish, better die in the river than here." Then, sighing for myself, I set to work collecting a number of pieces of Chinese and Comorin aloes wood and I bound them together with ropes from the wreckage; then I chose out from the broken up ships straight planks of even size and fixed them firmly upon the aloes wood, making me a boat raft a little narrower than the channel of the stream; and I tied it tightly and firmly as though it were nailed.	true	110.39	142.21	21.00177
7018_75789_000001_000003	Then I loaded it with the goods, precious ores and jewels: and the union pearls which were like gravel and the best of the ambergris crude and pure, together with what I had collected on the island and what was left me of victual and wild herbs.	Then I loaded it with the goods, precious ores and jewels: and the union pearls which were like gravel and the best of the ambergris crude and pure, together with what I had collected on the island and what was left me of victual and wild herbs.	true	142.67	156.43	16
7018_75789_000001_000004	Lastly I lashed a piece of wood on either side, to serve me as oars; and launched it, and embarking, did according to the saying of the poet,	Lastly I lashed a piece of wood on either side, to serve me as oars; and launched it, and embarking, did according to the saying of the poet,	true	156.98	166	18.658667
7018_75789_000002_000000	"Fly, fly with life whenas evils threat; * Leave the house to tell of its builder's fate! Land after land shalt thou seek and find * But no other life on thy wish shall wait: Fret not thy soul in thy thoughts o' night; * All woes shall end or sooner or late. Whoso is born in one land to die, * There and only there shall gang his gait: Nor trust great things to another wight, * Soul hath only soul for confederate."[FN#78]	"Fly, fly with life whenas evils threat; asterisk Leave the house to tell of its builder's fate! Land after land shalt thou seek and find asterisk But no other life on thy wish shall wait: Fret not thy soul in thy thoughts o' night; asterisk All woes shall end or sooner or late. Whoso is born in one land to die, asterisk There and only there shall gang his gait: Nor trust great things to another wight, asterisk Soul hath only soul for confederate."[f n # seventy eight]	false	166.88	200.985	20.337973
7018_75789_000003_000000	My boat-raft drifted with the stream, I pondering the issue of my affair; and the drifting ceased not till I came to the place where it disappeared beneath the mountain.	My boat raft drifted with the stream, I pondering the issue of my affair; and the drifting ceased not till I came to the place where it disappeared beneath the mountain.	true	200.985	211.54	22.033815
7018_75789_000003_000001	I rowed my conveyance into the place which was intensely dark; and the current carried the raft with it down the underground channel.[FN#79] The thin stream bore me on through a narrow tunnel where the raft touched either side and my head rubbed against the roof, return therefrom being impossible.	I rowed my conveyance into the place which was intensely dark; and the current carried the raft with it down the underground channel.[f n # seventy nine] The thin stream bore me on through a narrow tunnel where the raft touched either side and my head rubbed against the roof, return therefrom being impossible.	false	211.79	230.62	21.766994
7018_75789_000003_000002	Then I blamed myself for having thus risked my life, and said, "If this passage grow any straiter, the raft will hardly pass, and I cannot turn back; so I shall inevitably perish miserably in this place." And I threw myself down upon my face on the raft, by reason of the narrowness of the channel, whilst the stream ceased not to carry me along, knowing not night from day, for the excess of the gloom which encompassed me about and my terror and concern for myself lest I should perish.	Then I blamed myself for having thus risked my life, and said, "If this passage grow any straiter, the raft will hardly pass, and I cannot turn back; so I shall inevitably perish miserably in this place." And I threw myself down upon my face on the raft, by reason of the narrowness of the channel, whilst the stream ceased not to carry me along, knowing not night from day, for the excess of the gloom which encompassed me about and my terror and concern for myself lest I should perish.	false	231.41	263.11	20.370197
7018_75789_000003_000003	And in such condition my course continued down the channel which now grew wide and then straiter till, sore aweary by reason of the darkness which could be felt, I fell asleep, as I lay prone on the raft, and I slept knowing not an the time were long or short. When I awoke at last, I found myself in the light of Heaven and opening my eyes I saw myself in a broad stream and the raft moored to an island in the midst of a number of Indians and Abyssinians.	And in such condition my course continued down the channel which now grew wide and then straiter till, sore aweary by reason of the darkness which could be felt, I fell asleep, as I lay prone on the raft, and I slept knowing not an the time were long or short. When I awoke at last, I found myself in the light of Heaven and opening my eyes I saw myself in a broad stream and the raft moored to an island in the midst of a number of Indians and Abyssinians.	false	264.68	294.25	21.46669
