7018_75789_000000_000000	When it was the Five Hundred and Sixty-first Night,	When it was the Five Hundred and Sixty first Night,
7018_75789_000001_000003	Then I loaded it with the goods, precious ores and jewels: and the union pearls which were like gravel and the best of the ambergris crude and pure, together with what I had collected on the island and what was left me of victual and wild herbs.	Then I loaded it with the goods, precious ores and jewels: and the union pearls which were like gravel and the best of the ambergris crude and pure, together with what I had collected on the island and what was left me of victual and wild herbs.
7018_75789_000001_000004	Lastly I lashed a piece of wood on either side, to serve me as oars; and launched it, and embarking, did according to the saying of the poet,	Lastly I lashed a piece of wood on either side, to serve me as oars; and launched it, and embarking, did according to the saying of the poet,
7018_75789_000003_000000	My boat-raft drifted with the stream, I pondering the issue of my affair; and the drifting ceased not till I came to the place where it disappeared beneath the mountain.	My boat raft drifted with the stream, I pondering the issue of my affair; and the drifting ceased not till I came to the place where it disappeared beneath the mountain.
7018_75789_000003_000005	But I was delighted at my escape from the river.	But I was delighted at my escape from the river.
7018_75789_000003_000006	When they saw I understood them not and made them no answer, one of them came forward and said to me in Arabic, "Peace be with thee, O my brother!	When they saw I understood them not and made them no answer, one of them came forward and said to me in Arabic, "Peace be with thee, O my brother!
7018_75789_000003_000009	Who are ye and what country is this?" "O my brother," answered he, "we are husbandmen and tillers of the soil, who came out to water our fields and plantations; and, finding thee asleep on this raft, laid hold of it and made it fast by us, against thou shouldst awake at thy leisure.	Who are ye and what country is this?" "O my brother," answered he, "we are husbandmen and tillers of the soil, who came out to water our fields and plantations; and, finding thee asleep on this raft, laid hold of it and made it fast by us, against thou shouldst awake at thy leisure.
7018_75789_000004_000000	When it was the Five Hundred and Sixty-second Night,	When it was the Five Hundred and Sixty second Night,
7018_75789_000005_000002	So I consorted with the chief of the islanders, and they paid me the utmost respect.	So I consorted with the chief of the islanders, and they paid me the utmost respect.
7018_75789_000005_000006	One day, the King himself asked me of the fashions and form of government of my country, and I acquainted him with the circumstance of the Caliph's sway in the city of Baghdad and the justice of his rule.	One day, the King himself asked me of the fashions and form of government of my country, and I acquainted him with the circumstance of the Caliph's sway in the city of Baghdad and the justice of his rule.
7018_75789_000005_000009	Then he bestowed on me great riches from his treasuries and charged me with a magnificent present for the Caliph Harun al-Rashid.	Then he bestowed on me great riches from his treasuries and charged me with a magnificent present for the Caliph Harun al Rashid.
7018_75789_000005_000010	Moreover he gave me a sealed letter, saying, "Carry this with thine own hand to the Commander of the Faithful and give him many salutations from us!" "Hearing and obedience," I replied.	Moreover he gave me a sealed letter, saying, "Carry this with thine own hand to the Commander of the Faithful and give him many salutations from us!" "Hearing and obedience," I replied.
7018_75789_000005_000016	Then I took leave of him and of all my intimates and acquaintances in the island and embarked with the merchants aforesaid.	Then I took leave of him and of all my intimates and acquaintances in the island and embarked with the merchants aforesaid.
7018_75789_000005_000017	We sailed with a fair wind, committing ourselves to the care of Allah (be He extolled and exalted!) and by His permission arrived at Bassorah, where I passed a few days and nights equipping myself and packing up my bales.	We sailed with a fair wind, committing ourselves to the care of Allah (be He extolled and exalted!) and by His permission arrived at Bassorah, where I passed a few days and nights equipping myself and packing up my bales.
7018_75789_000005_000020	For state processions a throne is set for him upon a huge elephant, eleven cubits high: and upon this he sitteth having his great lords and officers and guests standing in two ranks, on his right hand and on his left.	For state processions a throne is set for him upon a huge elephant, eleven cubits high: and upon this he sitteth having his great lords and officers and guests standing in two ranks, on his right hand and on his left.
7018_75789_000005_000025	Then he conferred on me exceeding great favours, and I repaired to my quarter and entered my home, where I warehoused all my goods and possessions. Presently, my friends came to me and I distributed presents among my family and gave alms and largesse; after which I yielded myself to joyance and enjoyment, mirth and merry-making, and forgot all that I had suffered.	Then he conferred on me exceeding great favours, and I repaired to my quarter and entered my home, where I warehoused all my goods and possessions. Presently, my friends came to me and I distributed presents among my family and gave alms and largesse; after which I yielded myself to joyance and enjoyment, mirth and merry making, and forgot all that I had suffered.
7018_75789_000006_000000	When it was the Five Hundred and Sixty-third Night,	When it was the Five Hundred and Sixty third Night,
7018_75789_000007_000000	She said, It hath reached me, O auspicious King, that when Sindbad the Seaman had related the history of what befel him in his sixth voyage, and all the company had dispersed, Sindbad the Landsman went home and slept as of wont.	She said, It hath reached me, O auspicious King, that when Sindbad the Seaman had related the history of what befel him in his sixth voyage, and all the company had dispersed, Sindbad the Landsman went home and slept as of wont.
7018_75789_000007_000001	Next day he rose and prayed the dawn-prayer and repaired to his namesake's house where, after the company was all assembled, the host began to relate	Next day he rose and prayed the dawn prayer and repaired to his namesake's house where, after the company was all assembled, the host began to relate
7018_75789_000008_000000	The Seventh Voyage of Sindbad the Seaman.	The Seventh Voyage of Sindbad the Seaman.
7018_75789_000009_000002	So we covered the bales with our cloaks and garments and drugget and canvas, lest they be spoiled by the rain, and betook ourselves to prayer and supplication to Almighty Allah and humbled ourselves before Him for deliverance from the peril that was upon us.	So we covered the bales with our cloaks and garments and drugget and canvas, lest they be spoiled by the rain, and betook ourselves to prayer and supplication to Almighty Allah and humbled ourselves before Him for deliverance from the peril that was upon us.
7018_75789_000009_000006	Presently we heard a terrible great cry like the loud-pealing thunder, whereat we were terror-struck and became as dead men, giving ourselves up for lost.	Presently we heard a terrible great cry like the loud pealing thunder, whereat we were terror struck and became as dead men, giving ourselves up for lost.
7018_75789_000009_000009	So we besought the Almighty and called for succour upon His Apostle (on whom be blessing and peace!), when suddenly a violent squall of wind arose and smote the ship, which rose out of the water and settled upon a great reef, the haunt of sea-monsters, where it broke up and fell asunder into planks and all and everything on board were plunged into the sea.	So we besought the Almighty and called for succour upon His Apostle (on whom be blessing and peace!), when suddenly a violent squall of wind arose and smote the ship, which rose out of the water and settled upon a great reef, the haunt of sea monsters, where it broke up and fell asunder into planks and all and everything on board were plunged into the sea.
7018_75789_000009_000010	As for me, I tore off all my clothes but my gown and swam a little way, till I happened upon one of the ship's planks whereto I clung and bestrode it like a horse, whilst the winds and the waters sported with me and the waves carried me up and cast me down; and I was in most piteous plight for fear and distress and hunger and thirst.	As for me, I tore off all my clothes but my gown and swam a little way, till I happened upon one of the ship's planks whereto I clung and bestrode it like a horse, whilst the winds and the waters sported with me and the waves carried me up and cast me down; and I was in most piteous plight for fear and distress and hunger and thirst.
