7105_2340_000000_000000	"I'll never open your letters again," she promised.	"I'll never open your letters again," she promised.	false	0	4.56	22.043293
7105_2340_000000_000001	And Clovis has no more devoted slave than Bertie Heasant.	And Clovis has no more devoted slave than Bertie Heasant.	false	4.56	16.08	22.120722
7105_2340_000001_000000	THE SEVEN CREAM JUGS	THE SEVEN CREAM JUGS	false	16.08	22.69	21.517765
7105_2340_000002_000000	"I suppose we shall never see Wilfred Pigeoncote here now that he has become heir to the baronetcy and to a lot of money," observed Mrs. Peter Pigeoncote regretfully to her husband.	"I suppose we shall never see Wilfred Pigeoncote here now that he has become heir to the baronetcy and to a lot of money," observed mrs peter Pigeoncote regretfully to her husband.	true	22.91	35.05	21
7105_2340_000003_000000	"Well, we can hardly expect to," he replied, "seeing that we always choked him off from coming to see us when he was a prospective nobody.	"Well, we can hardly expect to," he replied, "seeing that we always choked him off from coming to see us when he was a prospective nobody.	true	35.09	45.1	26.002575
7105_2340_000003_000001	I don't think I've set eyes on him since he was a boy of twelve."	I don't think I've set eyes on him since he was a boy of twelve."	false	45.29	49.66	16
7105_2340_000004_000000	"There was a reason for not wanting to encourage his acquaintanceship," said Mrs. Peter.	"There was a reason for not wanting to encourage his acquaintanceship," said mrs peter.	true	49.76	55.03	20.148432
7105_2340_000004_000001	"With that notorious failing of his he was not the sort of person one wanted in one's house."	"With that notorious failing of his he was not the sort of person one wanted in one's house."	true	55.13	61.27	18
7105_2340_000005_000000	"Well, the failing still exists, doesn't it?" said her husband; "or do you suppose a reform of character is entailed along with the estate?"	"Well, the failing still exists, doesn't it?" said her husband; "or do you suppose a reform of character is entailed along with the estate?"	false	61.55	72.76	21.155737
7105_2340_000006_000000	"Oh, of course, there is still that drawback," admitted the wife, "but one would like to make the acquaintance of the future head of the family, if only out of mere curiosity.	"Oh, of course, there is still that drawback," admitted the wife, "but one would like to make the acquaintance of the future head of the family, if only out of mere curiosity.	true	73.16	85.17	20.73823
7105_2340_000006_000001	Besides, cynicism apart, his being rich will make a difference in the way people will look at his failing.	Besides, cynicism apart, his being rich will make a difference in the way people will look at his failing.	true	85.17	92.68	24
7105_2340_000006_000002	When a man is absolutely wealthy, not merely well-to-do, all suspicion of sordid motive naturally disappears; the thing becomes merely a tiresome malady."	When a man is absolutely wealthy, not merely well to do, all suspicion of sordid motive naturally disappears; the thing becomes merely a tiresome malady."	true	92.9	103.66	16
7105_2340_000007_000000	Wilfrid Pigeoncote had suddenly become heir to his uncle, Sir Wilfrid Pigeoncote, on the death of his cousin, Major Wilfrid Pigeoncote, who had succumbed to the after-effects of a polo accident. (A Wilfrid Pigeoncote had covered himself with honours in the course of Marlborough's campaigns, and the name Wilfrid had been a baptismal weakness in the family ever since.) The new heir to the family dignity and estates was a young man of about five-and-twenty, who was known more by reputation than by person to a wide circle of cousins and kinsfolk.	Wilfrid Pigeoncote had suddenly become heir to his uncle, Sir Wilfrid Pigeoncote, on the death of his cousin, Major Wilfrid Pigeoncote, who had succumbed to the after effects of a polo accident. (A Wilfrid Pigeoncote had covered himself with honours in the course of Marlborough's campaigns, and the name Wilfrid had been a baptismal weakness in the family ever since.) The new heir to the family dignity and estates was a young man of about five and twenty, who was known more by reputation than by person to a wide circle of cousins and kinsfolk.	false	103.7	140.37	19
7105_2340_000007_000001	And the reputation was an unpleasant one.	And the reputation was an unpleasant one.	true	140.37	143.17	18
7105_2340_000007_000002	The numerous other Wilfrids in the family were distinguished one from another chiefly by the names of their residences or professions, as Wilfrid of Hubbledown, and young Wilfrid the Gunner, but this particular scion was known by the ignominious and expressive label of Wilfrid the Snatcher.	The numerous other Wilfrids in the family were distinguished one from another chiefly by the names of their residences or professions, as Wilfrid of Hubbledown, and young Wilfrid the Gunner, but this particular scion was known by the ignominious and expressive label of Wilfrid the Snatcher.	false	143.42	164.8	17
7105_2340_000007_000003	From his late schooldays onward he had been possessed by an acute and obstinate form of kleptomania; he had the acquisitive instinct of the collector without any of the collector's discrimination.	From his late schooldays onward he had been possessed by an acute and obstinate form of kleptomania; he had the acquisitive instinct of the collector without any of the collector's discrimination.	true	164.99	177.705	20
7105_2340_000007_000004	Anything that was smaller and more portable than a sideboard, and above the value of ninepence, had an irresistible attraction for him, provided that it fulfilled the necessary condition of belonging to some one else.	Anything that was smaller and more portable than a sideboard, and above the value of ninepence, had an irresistible attraction for him, provided that it fulfilled the necessary condition of belonging to some one else.	false	177.705	190.47	12
7105_2340_000007_000005	On the rare occasions when he was included in a country-house party, it was usual and almost necessary for his host, or some member of the family, to make a friendly inquisition through his baggage on the eve of his departure, to see if he had packed up "by mistake" any one else's property.	On the rare occasions when he was included in a country house party, it was usual and almost necessary for his host, or some member of the family, to make a friendly inquisition through his baggage on the eve of his departure, to see if he had packed up "by mistake" any one else's property.	false	190.47	210.01	16
7105_2340_000007_000006	The search usually produced a large and varied yield.	The search usually produced a large and varied yield.	true	210.17	213.97	17.106068
7105_2340_000008_000000	"This is funny," said Peter Pigeoncote to his wife, some half-hour after their conversation; "here's a telegram from Wilfrid, saying he's passing through here in his motor, and would like to stop and pay us his respects.	"This is funny," said peter Pigeoncote to his wife, some half hour after their conversation; "here's a telegram from Wilfrid, saying he's passing through here in his motor, and would like to stop and pay us his respects.	false	214.16	227.77	21.357935
7105_2340_000008_000001	Can stay for the night if it doesn't inconvenience us.	Can stay for the night if it doesn't inconvenience us.	false	227.96	231.6	20.836609
7105_2340_000008_000002	Signed 'Wilfrid Pigeoncote.' Must be the Snatcher; none of the others have a motor.	Signed 'Wilfrid Pigeoncote.' Must be the Snatcher; none of the others have a motor.	true	231.6	238.27	21.000862
7105_2340_000008_000003	I suppose he's bringing us a present for the silver wedding."	I suppose he's bringing us a present for the silver wedding."	true	238.43	242.02	16
7105_2340_000009_000000	"Good gracious!" said Mrs. Peter, as a thought struck her; "this is rather an awkward time to have a person with his failing in the house. All those silver presents set out in the drawing-room, and others coming by every post; I hardly know what we've got and what are still to come. We can't lock them all up; he's sure to want to see them."	"Good gracious!" said mrs peter, as a thought struck her; "this is rather an awkward time to have a person with his failing in the house. All those silver presents set out in the drawing room, and others coming by every post; I hardly know what we've got and what are still to come. We can't lock them all up; he's sure to want to see them."	false	242.3	263.74	21.7406
7105_2340_000010_000000	"We must keep a sharp look-out, that's all," said Peter reassuringly.	"We must keep a sharp look out, that's all," said peter reassuringly.	true	263.9	268.69	21.769213
7105_2340_000011_000000	"But these practised kleptomaniacs are so clever," said his wife, apprehensively, "and it will be so awkward if he suspects that we are watching him."	"But these practised kleptomaniacs are so clever," said his wife, apprehensively, "and it will be so awkward if he suspects that we are watching him."	false	268.88	278.92	23.067993
7105_2340_000012_000000	Awkwardness was indeed the prevailing note that evening when the passing traveller was being entertained.	Awkwardness was indeed the prevailing note that evening when the passing traveller was being entertained.	false	279.89	286.24	16
7105_2340_000012_000001	The talk flitted nervously and hurriedly from one impersonal topic to another.	The talk flitted nervously and hurriedly from one impersonal topic to another.	true	286.64	291.64	23.710016
7105_2340_000012_000002	The guest had none of the furtive, half-apologetic air that his cousins had rather expected to find; he was polite, well-assured, and, perhaps, just a little inclined to "put on side".	The guest had none of the furtive, half apologetic air that his cousins had rather expected to find; he was polite, well assured, and, perhaps, just a little inclined to "put on side".	false	291.89	306.25	22.049759
7105_2340_000012_000003	His hosts, on the other hand, wore an uneasy manner that might have been the hallmark of conscious depravity.	His hosts, on the other hand, wore an uneasy manner that might have been the hallmark of conscious depravity.	true	306.44	313.45	21
7105_2340_000012_000004	In the drawing- room, after dinner, their nervousness and awkwardness increased.	In the drawing room, after dinner, their nervousness and awkwardness increased.	true	313.58	318.85	19.260918
7105_2340_000013_000000	"Oh, we haven't shown you the silver-wedding presents," said Mrs. Peter, suddenly, as though struck by a brilliant idea for entertaining the guest; "here they all are.	"Oh, we haven't shown you the silver wedding presents," said mrs peter, suddenly, as though struck by a brilliant idea for entertaining the guest; "here they all are.	true	319.01	331.21	21.00981
7105_2340_000013_000001	Such nice, useful gifts.	Such nice, useful gifts.	false	331.4	333.84	19.062592
7105_2340_000013_000002	A few duplicates, of course."	A few duplicates, of course."	true	333.84	335.83	25
7105_2340_000014_000000	"Seven cream jugs," put in Peter.	"Seven cream jugs," put in peter.	true	336.65	340.39	25.661446
7105_2340_000015_000000	"Yes, isn't it annoying," went on Mrs. Peter; "seven of them.	"Yes, isn't it annoying," went on mrs peter; "seven of them.	false	340.7	346.36	17.98892
7105_2340_000015_000001	We feel that we must live on cream for the rest of our lives.	We feel that we must live on cream for the rest of our lives.	true	346.37	350.11	18.004536
7105_2340_000015_000002	Of course, some of them can be changed."	Of course, some of them can be changed."	true	350.3	354.01	22.174683
7105_2340_000016_000000	Wilfrid occupied himself chiefly with such of the gifts as were of antique interest, carrying one or two of them over to the lamp to examine their marks.	Wilfrid occupied himself chiefly with such of the gifts as were of antique interest, carrying one or two of them over to the lamp to examine their marks.	true	354.38	364.905	23
7105_2340_000016_000001	The anxiety of his hosts at these moments resembled the solicitude of a cat whose newly born kittens are being handed round for inspection.	The anxiety of his hosts at these moments resembled the solicitude of a cat whose newly born kittens are being handed round for inspection.	false	364.905	374.79	18
