7975_280057_000005_000001	BOYHOOD DAYS	BOYHOOD DAYS
7975_280057_000006_000001	These hatreds were soon to make trouble for me of which I had never dreamed.	These hatreds were soon to make trouble for me of which I had never dreamed.
7975_280057_000007_000000	Mine was a happy childhood.	Mine was a happy childhood.
7975_280057_000008_000000	My people had always been prominent, politically.	My people had always been prominent, politically.
7975_280057_000008_000001	It was born in the blood.	It was born in the blood.
7975_280057_000008_000003	The Youngers came from Strasburg, and helped to rule there when it was a free city. Henry Washington Younger, my father, represented Jackson county three times in the legislature, and was also judge of the county court.	The Youngers came from Strasburg, and helped to rule there when it was a free city. Henry Washington Younger, my father, represented Jackson county three times in the legislature, and was also judge of the county court.
7975_280057_000008_000005	Mother was descended from the Sullivans, Ladens and Percivals of South Carolina, the Taylors of Virginia and the Fristoes of Tennessee, and my grandfather Fristoe was a grand nephew of Chief Justice John Marshall of Virginia.	Mother was descended from the Sullivans, Ladens and Percivals of South Carolina, the Taylors of Virginia and the Fristoes of Tennessee, and my grandfather Fristoe was a grand nephew of Chief Justice john Marshall of Virginia.
7975_280057_000009_000000	Naturally we were Southerners in sympathy and in fact.	Naturally we were Southerners in sympathy and in fact.
7975_280057_000009_000001	My father owned slaves and his children were reared in ease, though the border did not then abound in what would now be called luxury.	My father owned slaves and his children were reared in ease, though the border did not then abound in what would now be called luxury.
7975_280057_000009_000002	The railroads had not reached Jackson county, and wild game was plentiful on my father's farm on Big Creek near Lee's Summit.	The railroads had not reached Jackson county, and wild game was plentiful on my father's farm on Big Creek near Lee's Summit.
7975_280057_000009_000003	I cannot remember when I did not know how to shoot.	I cannot remember when I did not know how to shoot.
7975_280057_000009_000005	But this garden spot was destined to be a bloody battle ground when the nation divided.	But this garden spot was destined to be a bloody battle ground when the nation divided.
7975_280057_000010_000001	My brother James was born January 15, 1848, John in 1851, and Robert in December, 1853.	My brother james was born january fifteenth eighteen forty eight, john in eighteen fifty one, and Robert in December, eighteen fifty three.
7975_280057_000010_000002	My eldest brother, Richard, died in 1860.	My eldest brother, Richard, died in eighteen sixty.
7975_280057_000010_000003	This was before the conflicts and troubles centered on our home that planted a bitterness in my young heart which cried out for revenge and this feeling was only accentuated by the cruelties of war which followed.	This was before the conflicts and troubles centered on our home that planted a bitterness in my young heart which cried out for revenge and this feeling was only accentuated by the cruelties of war which followed.
7975_280057_000010_000004	I refer in particular to the shameful and cowardly murder of my father for money which he was known to have in his possession, and the cruel treatment of my mother at the hands of the Missouri Militia.	I refer in particular to the shameful and cowardly murder of my father for money which he was known to have in his possession, and the cruel treatment of my mother at the hands of the Missouri Militia.
7975_280057_000010_000005	My father was in the employ of the United States government and had the mail contract for five hundred miles.	My father was in the employ of the United States government and had the mail contract for five hundred miles.
7975_280057_000010_000006	While in Washington attending to some business regarding this matter, a raid was made by the Kansas Jayhawkers upon the livery stable and stage line for several miles out into the country, the robbers also looting his store and destroying his property generally.	While in Washington attending to some business regarding this matter, a raid was made by the Kansas Jayhawkers upon the livery stable and stage line for several miles out into the country, the robbers also looting his store and destroying his property generally.
7975_280057_000010_000007	When my father returned from Washington and learned of these outrages he went to Kansas City, Mo., headquarters of the State Militia, to see if anything could be done.	When my father returned from Washington and learned of these outrages he went to kansas city missouri., headquarters of the State Militia, to see if anything could be done.
7975_280057_000010_000008	He had started back to Harrisonville in a buggy, but was waylaid one mile south of Westport, a suburb of Kansas City, and brutally murdered; falling out of his buggy into the road with three mortal bullet wounds.	He had started back to Harrisonville in a buggy, but was waylaid one mile south of Westport, a suburb of Kansas City, and brutally murdered; falling out of his buggy into the road with three mortal bullet wounds.
7975_280057_000010_000009	His horse was tied to a tree and his body left lying where it fell.	His horse was tied to a tree and his body left lying where it fell.
