7975_280063_000000_000000	The apple-woman's expedition had been a success.	The apple woman's expedition had been a success.	false	0	10.17	18.410784
7975_280063_000001_000000	7.	seven.	false	10.17	10.56	-20
7975_280063_000001_000001	LONE JACK	LONE JACK	true	10.56	11.59	18.095667
7975_280063_000002_000000	It was in August, 1862, nearly a year after the party at Col.	It was in August, eighteen sixty two, nearly a year after the party at col	false	12.5	16.62	19.29361
7975_280063_000002_000001	Mockbee's, that I was formally enrolled in the army of the Confederate States of America by Col.	Mockbee's, that I was formally enrolled in the army of the Confederate States of America by col	false	16.62	21.78	20.382954
7975_280063_000002_000002	Gideon W. Thompson.	Gideon w Thompson.	true	21.78	23.19	23.187103
7975_280063_000002_000003	I was eighteen, and for some little time had been assisting Col.	I was eighteen, and for some little time had been assisting col	false	23.19	26.4	16
7975_280063_000002_000004	Hays in recruiting a regiment around my old home.	Hays in recruiting a regiment around my old home.	true	26.4	29.53	17.399664
7975_280063_000003_000000	It was within a day or two after the surrender of Buell at Independence that I was elected as first lieutenant in Capt.	It was within a day or two after the surrender of Buell at Independence that I was elected as first lieutenant in Capt.	false	29.69	35.67	20.83529
7975_280063_000003_000001	Jarrette's company in Col. Upton B. Hays' regiment, which was a part of the brigade of Gen.	Jarrette's company in col Upton b Hays' regiment, which was a part of the brigade of Gen.	false	35.67	39.96	19
7975_280063_000003_000002	Joseph O. Shelby.	Joseph o Shelby.	true	39.96	41.26	19.899313
7975_280063_000004_000000	We took the oath, perhaps 300 of us, down on Luther Mason's farm, a few miles from where I now write, where Col.	We took the oath, perhaps three hundred of us, down on Luther Mason's farm, a few miles from where I now write, where col	false	42.02	48.54	18.974783
7975_280063_000004_000001	Hays had encamped after Independence.	Hays had encamped after Independence.	true	48.54	50.89	19.768751
7975_280063_000005_000000	Millions of boys and men have read with rising hair the terrible "black oath" which was supposed to have been taken by these brave fighters, but of which they never heard, nor I, until I read it in books published long after the war.	Millions of boys and men have read with rising hair the terrible "black oath" which was supposed to have been taken by these brave fighters, but of which they never heard, nor I, until I read it in books published long after the war.	false	51.26	63.31	18
7975_280063_000006_000000	When Col.	When col	false	63.5	64.23	19.80572
7975_280063_000006_000001	Hays camped on the Cowherd, White, Howard and Younger farms, Quantrell had been left to guard the approaches to Kansas City, and to prevent the escape to that point of news from the scattered Confederate commands which were recruiting in western Missouri.	Hays camped on the Cowherd, White, Howard and Younger farms, Quantrell had been left to guard the approaches to Kansas City, and to prevent the escape to that point of news from the scattered Confederate commands which were recruiting in western Missouri.	false	64.23	77.65	20.171587
7975_280063_000006_000002	At the same time he was obtaining from the Chicago and St. Louis papers and other sources, information about the northern armies, which was conveyed by couriers to Confederate officers in the south, and he kept concealed along the Missouri river skiffs and ferry boats to enable the Confederate officers, recruiting north of the river, to have free access to the south.	At the same time he was obtaining from the Chicago and saint Louis papers and other sources, information about the northern armies, which was conveyed by couriers to Confederate officers in the south, and he kept concealed along the Missouri river skiffs and ferry boats to enable the Confederate officers, recruiting north of the river, to have free access to the south.	true	77.81	97.03	19.230486
7975_280063_000007_000000	The night that I was enlisted, I was sent by Col.	The night that I was enlisted, I was sent by col	false	97.25	99.66	19
7975_280063_000007_000001	Hays to meet Cols. Cockrell, Coffee, Tracy, Jackman and Hunter, who, with the remnants of regiments that had been shattered in various battles through the south, were headed toward Col.	Hays to meet Cols. Cockrell, Coffee, Tracy, Jackman and Hunter, who, with the remnants of regiments that had been shattered in various battles through the south, were headed toward col	false	99.66	108.72	18
7975_280063_000007_000002	Hays' command.	Hays' command.	false	108.72	109.72	18.377005
7975_280063_000008_000000	It was Col.	It was col	false	109.85	110.52	26.386982
7975_280063_000008_000001	Hays' plan for them to join him the fifteenth, and after a day's rest, the entire command would attack Kansas City, and, among other advantages resulting from victory there, secure possession of Weller's steam ferry.	Hays' plan for them to join him the fifteenth, and after a day's rest, the entire command would attack Kansas City, and, among other advantages resulting from victory there, secure possession of Weller's steam ferry.	false	110.52	122.44	19.49576
7975_280063_000009_000000	Boone Muir and myself met Coffee and the rest below Rose Hill, on Grand river.	Boone Muir and myself met Coffee and the rest below Rose Hill, on Grand river.	false	122.69	126.87	14
7975_280063_000009_000001	Col.	col	false	126.87	127.5	100
7975_280063_000009_000002	Cockrell, whose home was in Johnson county, had gone by a different route, hoping to secure new recruits among his neighbors, and, as senior colonel, had directed the rest of the command to encamp the next evening at Lone Jack, a little village in the southeastern portion of Jackson county, so called from a solitary big black jack tree that rose from an open field nearly a mile from any other timber.	Cockrell, whose home was in Johnson county, had gone by a different route, hoping to secure new recruits among his neighbors, and, as senior colonel, had directed the rest of the command to encamp the next evening at Lone Jack, a little village in the southeastern portion of Jackson county, so called from a solitary big black jack tree that rose from an open field nearly a mile from any other timber.	false	127.5	148.99	19
7975_280063_000010_000000	At noon of Aug. 15, Muir and I had been in the saddle twenty-four to thirty hours, and I threw myself on the blue grass to sleep.	At noon of august fifteenth, Muir and I had been in the saddle twenty four to thirty hours, and I threw myself on the blue grass to sleep.	false	149.24	156.6	18.335636
