8131_117029_000000_000000	Chapter XVII	Chapter seventeen
8131_117029_000001_000000	SECURITY PAYOFF	SECURITY PAYOFF
8131_117029_000002_000000	It was three days before Bruce Gordon made up his mind to hunt up Security; another four days passed after they had sent him back to wait until they received orders from Headquarters for him.	It was three days before Bruce Gordon made up his mind to hunt up Security; another four days passed after they had sent him back to wait until they received orders from Headquarters for him.
8131_117029_000002_000001	There was a man coming from Earth on a second ship who would see him.	There was a man coming from Earth on a second ship who would see him.
8131_117029_000002_000002	They gave him a chauffeur back to the Chicken Coop, and politely indicated that it would be better if he stayed within reach.	They gave him a chauffeur back to the Chicken Coop, and politely indicated that it would be better if he stayed within reach.
8131_117029_000003_000000	The dome had been down a full week when he watched the last of Randolph's equipment packed onto a truck and hauled away.	The dome had been down a full week when he watched the last of Randolph's equipment packed onto a truck and hauled away.
8131_117029_000003_000002	Rusty was busy opening his bar, and the others were all busy.	Rusty was busy opening his bar, and the others were all busy.
8131_117029_000003_000003	Only Gordon and Sheila were left.	Only Gordon and Sheila were left.
8131_117029_000004_000000	He heard her coming down the old stairs, and ducked out through the private exit, snapping his helmet in place as he went through the seal. She must have sensed his desire to be left alone, since she made no attempt to follow.	He heard her coming down the old stairs, and ducked out through the private exit, snapping his helmet in place as he went through the seal. She must have sensed his desire to be left alone, since she made no attempt to follow.
8131_117029_000004_000001	She'd asked no questions and hadn't even tried to convince him that he'd be sent back to Earth now.	She'd asked no questions and hadn't even tried to convince him that he'd be sent back to Earth now.
8131_117029_000005_000000	He muttered to himself as he headed over the rubble toward the previously domed section.	He muttered to himself as he headed over the rubble toward the previously domed section.
8131_117029_000006_000000	Out at the spaceport, ships were dropping down from Deimos with the supplies that had been held up so long, and a long line of trucks went snaking by.	Out at the spaceport, ships were dropping down from Deimos with the supplies that had been held up so long, and a long line of trucks went snaking by.
8131_117029_000006_000001	Credit had been established again, and the businesses were open.	Credit had been established again, and the businesses were open.
8131_117029_000007_000000	For the time being, the hoods and punks were having a tough time of it, with working papers demanded as constant identification.	For the time being, the hoods and punks were having a tough time of it, with working papers demanded as constant identification.
8131_117029_000007_000001	And while it lasted, at least, Marsport was beginning to have its face lifted.	And while it lasted, at least, Marsport was beginning to have its face lifted.
8131_117029_000007_000002	Wrecks were being broken up, with salvageable material used for newer homes. Gordon came to a row of temporary bubbles, individual dwellings built like the dome, but opaque for privacy.	Wrecks were being broken up, with salvageable material used for newer homes. Gordon came to a row of temporary bubbles, individual dwellings built like the dome, but opaque for privacy.
8131_117029_000009_000000	They had been lucky.	They had been lucky.
8131_117029_000009_000001	The dome had exploded outwards, with only bits of it falling back; and the buildings had come through the outward explosion of the pressure with little damage.	The dome had exploded outwards, with only bits of it falling back; and the buildings had come through the outward explosion of the pressure with little damage.
8131_117029_000009_000002	Gordon grinned wryly. Schulberg's volunteers were official, now.	Gordon grinned wryly. Schulberg's volunteers were official, now.
8131_117029_000009_000004	The old charter for Marsport from North America was dead, and the whole city was now under Security charter, like the rest of the planet.	The old charter for Marsport from North America was dead, and the whole city was now under Security charter, like the rest of the planet.
8131_117029_000010_000000	Gordon moved automatically toward the Seventh Ward.	Gordon moved automatically toward the Seventh Ward.
8131_117029_000010_000001	Fats' Place was still open, though the crooked tables had been removed.	Fats' Place was still open, though the crooked tables had been removed.
8131_117029_000010_000002	Gordon dropped to a stool, slipping off his helmet.	Gordon dropped to a stool, slipping off his helmet.
8131_117029_000010_000003	He reached automatically for the glass of ether-needled beer.	He reached automatically for the glass of ether needled beer.
8131_117029_000010_000004	This time, it even tasted good to him.	This time, it even tasted good to him.
