8280_266249_000001_000000	"There are some nice looking people on board," remarked Mr. Travilla, in an undertone, to his wife.	"There are some nice looking people on board," remarked mr Travilla, in an undertone, to his wife.
8280_266249_000002_000000	"Beside ourselves," added Cousin Ronald, laughing.	"Beside ourselves," added Cousin Ronald, laughing.
8280_266249_000003_000000	"Yes," she answered; "that little group yonder: a young minister and his wife and child, I suppose.	"Yes," she answered; "that little group yonder: a young minister and his wife and child, I suppose.
8280_266249_000004_000000	"Yes, mamma," chimed in the last named young gentleman, "he's a nice little boy.	"Yes, mamma," chimed in the last named young gentleman, "he's a nice little boy.
8280_266249_000005_000000	Permission was given and the next moment the two stood close together each gazing admiringly into the other's face.	Permission was given and the next moment the two stood close together each gazing admiringly into the other's face.
8280_266249_000007_000000	"Do you, son?" was the smiling rejoinder.	"Do you, son?" was the smiling rejoinder.
8280_266249_000007_000001	"He certainly looks like a very nice little boy.	"He certainly looks like a very nice little boy.
8280_266249_000007_000002	Suppose you and he shake hands, Frank."	Suppose you and he shake hands, Frank."
8280_266249_000008_000000	"Yes, sir," said the child, holding out a small, plump hand, "What's your name, little boy?"	"Yes, sir," said the child, holding out a small, plump hand, "What's your name, little boy?"
8280_266249_000010_000000	"Yes, Frank Daly.	"Yes, Frank Daly.
8280_266249_000010_000001	Don't you like this nice big boat?"	Don't you like this nice big boat?"
8280_266249_000011_000000	"Yes I do.	"Yes I do.
8280_266249_000012_000000	Frank looked inquiringly at his father.	Frank looked inquiringly at his father.
8280_266249_000013_000000	"Yes, you may go if you wish," returned the latter, and the two started off hand in hand.	"Yes, you may go if you wish," returned the latter, and the two started off hand in hand.
8280_266249_000014_000000	"Mamma, see!	"Mamma, see!
8280_266249_000014_000001	isn't he a dear little boy?" asked Harold, leading his new friend up before her with an air of proud ownership.	isn't he a dear little boy?" asked Harold, leading his new friend up before her with an air of proud ownership.
8280_266249_000015_000000	"Yes indeed," she said, bending down to kiss Frank and stroke his hair.	"Yes indeed," she said, bending down to kiss Frank and stroke his hair.
8280_266249_000018_000000	"His name is Fank," said Harold.	"His name is Fank," said Harold.
8280_266249_000019_000000	Then Frank's papa came for him, saying the air was growing very cool, and it was time to go in.	Then Frank's papa came for him, saying the air was growing very cool, and it was time to go in.
8280_266249_000020_000000	Our friends were of the same opinion and all repaired to the ladies' saloon, where, through the children, they and the Dalys soon made acquaintance.	Our friends were of the same opinion and all repaired to the ladies' saloon, where, through the children, they and the Dalys soon made acquaintance.
8280_266249_000021_000000	Mr. Daly was a minister going South for the winter for the sake of his own and his wife's health.	mr Daly was a minister going South for the winter for the sake of his own and his wife's health.
8280_266249_000022_000000	Cousin Ronald took Frank on his knee and asked, "What are you going to do, my little fellow, when you get to be a man."	Cousin Ronald took Frank on his knee and asked, "What are you going to do, my little fellow, when you get to be a man."
8280_266249_000026_000000	"Rather comical, I think, my man.	"Rather comical, I think, my man.
8280_266249_000027_000000	"No sir: they don't laugh when papa says it."	"No sir: they don't laugh when papa says it."
8280_266249_000029_000000	Mr. Daly smiled.	mr Daly smiled.
8280_266249_000029_000001	"I never knew before," said he, "that my boy intended to follow my profession."	"I never knew before," said he, "that my boy intended to follow my profession."
8280_266249_000030_000000	The ladies were weary, and retired to their state rooms shortly after tea, but the gentlemen sought the open air again and paced the deck for some time.	The ladies were weary, and retired to their state rooms shortly after tea, but the gentlemen sought the open air again and paced the deck for some time.
