8461_258277_000000_000000	When it was the Seven Hundred and Eighteenth Night,	When it was the Seven Hundred and Eighteenth Night,	true	31.8	34.995	24.949158
8461_258277_000001_000000	She resumed, It hath reached me, O auspicious King, that the broker, having saluted Ali of Cairo with the salam, asked him the reason of his enchantment and what had befallen him; and he answered by telling him all that had passed, when the broker said to him, "Will not my daughter and the handmaid suffice thee?" but he answered, "Needs must I have Zaynab also." Now suddenly there came a rap at the door and the maid said, "Who is at the door?"	She resumed, It hath reached me, O auspicious King, that the broker, having saluted Ali of Cairo with the salam, asked him the reason of his enchantment and what had befallen him; and he answered by telling him all that had passed, when the broker said to him, "Will not my daughter and the handmaid suffice thee?" but he answered, "Needs must I have Zaynab also." Now suddenly there came a rap at the door and the maid said, "Who is at the door?"	false	34.995	67.24	24.202497
8461_258277_000001_000001	The knocker replied, "Kamar, daughter of Azariah the Jew; say me, is Ali of Cairo with you?" Replied the broker's daughter, "O thou daughter of a dog!	The knocker replied, "Kamar, daughter of Azariah the Jew; say me, is Ali of Cairo with you?" Replied the broker's daughter, "O thou daughter of a dog!	true	67.73	80.115	22.518934
8461_258277_000001_000002	If he be with us, what wilt thou with him?	If he be with us, what wilt thou with him?	false	80.115	83.49	22.465874
8461_258277_000001_000003	Go down, O maid, and open to her." So the maid let her in, and when she looked upon Ali and he upon her, he said, "What bringeth thee hither O dog's daughter?" Quoth she, "I testify that there is no god but the God and I testify that Mohammed is the Apostle of God." And, having thus Islamised, she asked him, "Do men in the Faith of Al-Islam give marriage portions to women or do women dower men?" Quoth he, "Men endow women." "Then," said she, "I come and dower myself for thee, bringing thee, as my marriage-portion, my dress together with the rod and charger and chains and the head of my father, the enemy of thee and the foeman of Allah." And she threw down the Jew's head before him.	Go down, O maid, and open to her." So the maid let her in, and when she looked upon Ali and he upon her, he said, "What bringeth thee hither O dog's daughter?" Quoth she, "I testify that there is no god but the God and I testify that Mohammed is the Apostle of God." And, having thus Islamised, she asked him, "Do men in the Faith of Al Islam give marriage portions to women or do women dower men?" Quoth he, "Men endow women." "Then," said she, "I come and dower myself for thee, bringing thee, as my marriage portion, my dress together with the rod and charger and chains and the head of my father, the enemy of thee and the foeman of Allah." And she threw down the Jew's head before him.	false	83.49	136.81	22.763632
8461_258277_000001_000004	Now the cause of her slaying her sire was as follows.	Now the cause of her slaying her sire was as follows.	true	137.54	140.92	20.225885
8461_258277_000001_000005	On the night of his turning Ali into a dog, she saw, in a dream, a speaker who said to her, "Become a Moslemah." She did so; and as soon as she awoke next morning she expounded Al-Islam to her father who refused to embrace the Faith; so she drugged him with Bhang and killed him.	On the night of his turning Ali into a dog, she saw, in a dream, a speaker who said to her, "Become a Moslemah." She did so; and as soon as she awoke next morning she expounded Al Islam to her father who refused to embrace the Faith; so she drugged him with Bhang and killed him.	true	141.44	161.56	24.04614
8461_258277_000001_000006	As for Ali, he took the gear and said to the broker, "Meet we to-morrow at the Caliph's Divan, that I may take thy daughter and the handmaid to wife." Then he set out rejoicing, to return to the barrack of the Forty.	As for Ali, he took the gear and said to the broker, "Meet we to morrow at the Caliph's Divan, that I may take thy daughter and the handmaid to wife." Then he set out rejoicing, to return to the barrack of the Forty.	false	162.53	177.55	22.71585
8461_258277_000001_000007	On his way he met a sweetmeat seller, who was beating hand upon hand and saying, "There is no Majesty and there is no Might save in Allah, the Glorious, the Great!	On his way he met a sweetmeat seller, who was beating hand upon hand and saying, "There is no Majesty and there is no Might save in Allah, the Glorious, the Great!	true	178.52	189.58	23.186619
8461_258277_000001_000008	Folk's labour hath waxed sinful and man is active only in fraud!"	Folk's labour hath waxed sinful and man is active only in fraud!"	false	189.92	195.13	23.79504
8461_258277_000001_000009	Then said he to Ali, "I conjure thee, by Allah, taste of this confection!" So Ali took a piece and ate it and fell down senseless, for there was Bhang therein; whereupon the sweetmeat-seller seized the dress and the charger and the rest of the gear and thrusting them into the box where he kept his sweetmeats hoisted it up and made off.	Then said he to Ali, "I conjure thee, by Allah, taste of this confection!" So Ali took a piece and ate it and fell down senseless, for there was Bhang therein; whereupon the sweetmeat seller seized the dress and the charger and the rest of the gear and thrusting them into the box where he kept his sweetmeats hoisted it up and made off.	false	195.89	219.4	23.623974
