8461_278226_000000_000000	CHAPTER XXXV.	CHAPTER thirty five.	false	0.84	22.125	24.18387
8461_278226_000001_000000	A DISCOVERY AT THE LUXEMBOURG.	A DISCOVERY AT THE LUXEMBOURG.	true	22.125	25.33	24.057251
8461_278226_000002_000000	While Henry Dunbar sat in his lonely room at Maudesley Abbey, held prisoner by his broken leg, and waiting anxiously for the hour in which he should be allowed the privilege of taking his first experimental promenade upon crutches, Sir Philip Jocelyn and his beautiful young wife drove together on the crowded boulevards of the French capital.	While Henry Dunbar sat in his lonely room at Maudesley Abbey, held prisoner by his broken leg, and waiting anxiously for the hour in which he should be allowed the privilege of taking his first experimental promenade upon crutches, Sir Philip Jocelyn and his beautiful young wife drove together on the crowded boulevards of the French capital.	false	26.48	47.02	23.244831
8461_278226_000003_000000	They had been southward, and had returned to the gayest capital in all the world at the time when that capital is at its best and brightest. They had returned to Paris for the early new year: and, as this year happened fortunately to be ushered into existence by a sharp frost and a bright sunny sky, the boulevards were not the black rivers of mud and slush that they are apt to be in the first days of the infantine year. Prince Louis Napoleon Buonaparte was only First President as yet; and Paris was by no means the wonderful city of endless boulevards and palatial edifices that it has since grown to be under the master hand which rules and beautifies it, as a lover adorns his mistress.	They had been southward, and had returned to the gayest capital in all the world at the time when that capital is at its best and brightest. They had returned to Paris for the early new year: and, as this year happened fortunately to be ushered into existence by a sharp frost and a bright sunny sky, the boulevards were not the black rivers of mud and slush that they are apt to be in the first days of the infantine year. Prince Louis Napoleon Buonaparte was only First President as yet; and Paris was by no means the wonderful city of endless boulevards and palatial edifices that it has since grown to be under the master hand which rules and beautifies it, as a lover adorns his mistress.	false	48.32	96.01	22.435995
8461_278226_000003_000001	But it was not the less the most charming city in the universe; and Philip Jocelyn and his wife were as happy as two children in this paradise of brick and mortar.	But it was not the less the most charming city in the universe; and Philip Jocelyn and his wife were as happy as two children in this paradise of brick and mortar.	true	96.98	107.98	23.49956
8461_278226_000004_000000	They suited each other so well; they were never tired of each other's society, or at a stand-still for want of something to say to each other. They were rather frivolous, perhaps; but a little frivolity may be pardoned in two people who were so very young and so entirely happy.	They suited each other so well; they were never tired of each other's society, or at a stand still for want of something to say to each other. They were rather frivolous, perhaps; but a little frivolity may be pardoned in two people who were so very young and so entirely happy.	true	109.49	130.03	21.839993
8461_278226_000004_000001	Sir Philip may have been a little too much devoted to horses and dogs, and Laura may have been a shade too enthusiastic upon the subject of new bonnets, and the jewellery in the Rue de la Paix.	Sir Philip may have been a little too much devoted to horses and dogs, and Laura may have been a shade too enthusiastic upon the subject of new bonnets, and the jewellery in the Rue de la Paix.	true	130.22	143.11	21
8461_278226_000004_000002	But if they idled a little just now, in this delicious honeymoon-time, when it was so sweet to be together always, from morning till night, driving in a sleigh with jingling bells upon the snowy roads in the Bois, sitting on the balcony at Meurice's at night, looking down into the long lamp-lit street and the misty gardens, where the trees were leafless and black against the dark blue sky, they meant to do their duty, and be useful to their fellow-creatures, when they were settled at Jocelyn's Rock.	But if they idled a little just now, in this delicious honeymoon time, when it was so sweet to be together always, from morning till night, driving in a sleigh with jingling bells upon the snowy roads in the Bois, sitting on the balcony at Meurice's at night, looking down into the long lamp lit street and the misty gardens, where the trees were leafless and black against the dark blue sky, they meant to do their duty, and be useful to their fellow creatures, when they were settled at Jocelyn's Rock.	false	144.41	177.21	22.638952
8461_278226_000004_000003	Sir Philip had half-a-dozen schemes for free schools, and model cottages with ovens that would bake everything in the world, and chimneys that would never smoke.	Sir Philip had half a dozen schemes for free schools, and model cottages with ovens that would bake everything in the world, and chimneys that would never smoke.	false	177.21	189.61	22.936977
8461_278226_000004_000004	And Laura had her own pet plans.	And Laura had her own pet plans.	true	189.92	192.21	24
8461_278226_000004_000005	Was she not an heiress, and therefore specially sent into the world to give happiness to people who had been born without that pleasant appendage of a silver spoon in their infantine mouths?	Was she not an heiress, and therefore specially sent into the world to give happiness to people who had been born without that pleasant appendage of a silver spoon in their infantine mouths?	false	192.21	203.53	21.707666
8461_278226_000004_000006	She meant to be scrupulously conscientious in the administration of her talents; and sometimes at church on a Sunday, when the sermon was particularly awakening, she mentally debated the serious question as to whether new bonnets, and a pair of Jouvin's gloves daily, were not sinful; but I think she decided that the new bonnets and gloves were, on the whole, a pardonable weakness, as being good for trade.	She meant to be scrupulously conscientious in the administration of her talents; and sometimes at church on a Sunday, when the sermon was particularly awakening, she mentally debated the serious question as to whether new bonnets, and a pair of Jouvin's gloves daily, were not sinful; but I think she decided that the new bonnets and gloves were, on the whole, a pardonable weakness, as being good for trade.	false	204.44	231.13	23.179352
8461_278226_000005_000000	The Warwickshire baronet knew a good many people in Paris, and he and his bride received a very enthusiastic welcome from these old friends, who pronounced that Miladi Jocelyn was _charmante_ and _la belle des belles_; and that Sir Jocelyn was the most fortunate of men in having discovered this gay, lighthearted girl amongst the prudish and pragmatical _meess_ of the _brumeuse Angleterre_.	The Warwickshire baronet knew a good many people in Paris, and he and his bride received a very enthusiastic welcome from these old friends, who pronounced that Miladi Jocelyn was underscore charmante underscore and underscore la belle des belles underscore; and that Sir Jocelyn was the most fortunate of men in having discovered this gay, lighthearted girl amongst the prudish and pragmatical underscore meess underscore of the underscore brumeuse Angleterre underscore.	false	232.7	259.41	23.521008
8461_278226_000006_000000	Laura made herself very much at home with her Parisian acquaintance; and in the grand house in the Rue Lepelletier many a glass was turned full upon the beautiful English bride with the _chevelure dore_ and the violet blue eyes.	Laura made herself very much at home with her Parisian acquaintance; and in the grand house in the Rue Lepelletier many a glass was turned full upon the beautiful English bride with the underscore chevelure dore underscore and the violet blue eyes.	false	259.41	274.15	22.485874
8461_278226_000007_000000	One morning Laura told her husband, with a gay laugh, that she was going to victimize him; but he was to promise to be patient and bear with her for once in a way.	One morning Laura told her husband, with a gay laugh, that she was going to victimize him; but he was to promise to be patient and bear with her for once in a way.	true	275.87	286.63	23.580242
8461_278226_000008_000000	"What is it you want me to do, my darling?"	"What is it you want me to do, my darling?"	true	287.78	290.14	23.92795
8461_278226_000009_000000	"I want you to give me a long day in the Luxembourg.	"I want you to give me a long day in the Luxembourg.	true	291.14	294.4	23.011557
8461_278226_000009_000001	I want to see all the pictures--the modern pictures especially.	I want to see all the pictures-the modern pictures especially.	true	294.53	298.39	26.403574
8461_278226_000009_000002	I remember all the Rubenses at the Louvre, for I saw them three years ago, when I was staying in Paris with grandpapa.	I remember all the Rubenses at the Louvre, for I saw them three years ago, when I was staying in Paris with grandpapa.	true	299	306.07	21.772038
8461_278226_000009_000003	I like the modern pictures best, Philip: and I want you to tell me all about the artists, and what I ought to admire, and all that sort of thing."	I like the modern pictures best, Philip: and I want you to tell me all about the artists, and what I ought to admire, and all that sort of thing."	true	306.86	315.52	24.471407
8461_278226_000010_000000	Sir Philip never refused his wife anything; so he said, yes: and Laura ran away to her dressing-room like a school-girl who has been pleading for a holiday and has won her cause.	Sir Philip never refused his wife anything; so he said, yes: and Laura ran away to her dressing room like a school girl who has been pleading for a holiday and has won her cause.	true	316.52	327.94	24.750694
8461_278226_000010_000001	She returned in a little more than ten minutes, in the freshest toilette, all pale shimmering blue, like the spring sky, with pearl-grey gloves and boots and parasol, and a bonnet that seemed made of azure butterflies.	She returned in a little more than ten minutes, in the freshest toilette, all pale shimmering blue, like the spring sky, with pearl grey gloves and boots and parasol, and a bonnet that seemed made of azure butterflies.	true	329.24	343.53	24.050219
8461_278226_000011_000000	It was drawing towards the close of this delightful honeymoon tour, and it was a bright sunshiny morning early in February; but February in Paris is sometimes better than April in London.	It was drawing towards the close of this delightful honeymoon tour, and it was a bright sunshiny morning early in February; but February in Paris is sometimes better than April in London.	false	343.53	358.27	21.745914
8461_278226_000012_000000	Philip Jocelyn's work that morning was by no means light, for Laura was fond of pictures, in a frivolous amateurish kind of way; and she ran from one canvas to another, like a fickle-minded bee that is bewildered by the myriad blossoms of a boundless parterre.	Philip Jocelyn's work that morning was by no means light, for Laura was fond of pictures, in a frivolous amateurish kind of way; and she ran from one canvas to another, like a fickle minded bee that is bewildered by the myriad blossoms of a boundless parterre.	false	358.43	374.55	22.876104
8461_278226_000012_000001	But she fixed upon a picture which she said she preferred to anything she had seen in the gallery.	But she fixed upon a picture which she said she preferred to anything she had seen in the gallery.	false	374.55	382.42	22.12243
8461_278226_000013_000000	Philip Jocelyn was examining some pictures on the other side of the room when his wife made this discovery.	Philip Jocelyn was examining some pictures on the other side of the room when his wife made this discovery.	true	383.75	389.97	21.412712
8461_278226_000013_000001	She hurried to him immediately, and led him off to look at the picture.	She hurried to him immediately, and led him off to look at the picture.	true	389.97	393.67	26.245447
8461_278226_000013_000002	It was a peasant-girl's head, very exquisitely painted by a modern artist, and the baronet approved his wife's taste.	It was a peasant girl's head, very exquisitely painted by a modern artist, and the baronet approved his wife's taste.	true	394.52	402.16	25.209501
8461_278226_000014_000000	"How I wish you could get me a copy of that picture, Philip," Laura said, entreatingly.	"How I wish you could get me a copy of that picture, Philip," Laura said, entreatingly.	true	403.82	409.36	24.723787
8461_278226_000014_000001	"I should so like one to hang in my morning-room at Jocelyn's Rock.	"I should so like one to hang in my morning room at Jocelyn's Rock.	true	409.76	414.34	19.183067
8461_278226_000014_000002	I wonder who painted that lovely face?"	I wonder who painted that lovely face?"	true	414.53	417.22	21
8461_278226_000015_000000	There was a young artist hard at work at his easel, copying a large devotional subject that hung near the picture Laura admired.	There was a young artist hard at work at his easel, copying a large devotional subject that hung near the picture Laura admired.	false	418.37	425.73	24
8461_278226_000015_000001	Sir Philip asked this gentleman if he knew the name of the artist who had painted the peasant-girl.	Sir Philip asked this gentleman if he knew the name of the artist who had painted the peasant girl.	false	425.73	431.85	23.027992
