8461_281231_000000_000000	Before long the inmates of the castle had other things to occupy them.	Before long the inmates of the castle had other things to occupy them.	false	0	10.8	22.360144
8461_281231_000000_000001	The enemy was announced to be under their very walls; and each knight repaired hastily to his post, and at the head of the few followers whom they were able to muster they awaited with calm determination the threatened assault.	The enemy was announced to be under their very walls; and each knight repaired hastily to his post, and at the head of the few followers whom they were able to muster they awaited with calm determination the threatened assault.	false	10.8	33.3	21.017994
8461_281231_000001_000000	When at length the attack upon the castle was commenced all was at once bustle and clamour within its gloomy walls.	When at length the attack upon the castle was commenced all was at once bustle and clamour within its gloomy walls.	true	33.3	40.15	21.206984
8461_281231_000001_000001	The heavy step of men-at-arms traversed the battlements, or resounded on the narrow and winding passages and the stairs which led to the various bartizans and points of defence.	The heavy step of men at arms traversed the battlements, or resounded on the narrow and winding passages and the stairs which led to the various bartizans and points of defence.	false	40.73	51.1	20.756615
8461_281231_000001_000002	The voices of the knights were heard animating their followers, or directing means of defence; while their commands were often drowned in the clashing of armour or the clamourous shouts of those whom they addressed.	The voices of the knights were heard animating their followers, or directing means of defence; while their commands were often drowned in the clashing of armour or the clamourous shouts of those whom they addressed.	false	52.25	64.6	21.113026
8461_281231_000001_000003	The shrill bugle without was answered by a flourish of Norman trumpets from the battlements, while the cries of both parties augmented the fearful din.	The shrill bugle without was answered by a flourish of Norman trumpets from the battlements, while the cries of both parties augmented the fearful din.	false	65.96	76.26	22.904377
8461_281231_000001_000004	Showers of well-directed arrows came pouring against each embrasure and opening in the parapets, as well as every window where a defender might be suspected to be stationed; and these were answered by a furious discharge of whizzing shafts and missiles from the walls.	Showers of well directed arrows came pouring against each embrasure and opening in the parapets, as well as every window where a defender might be suspected to be stationed; and these were answered by a furious discharge of whizzing shafts and missiles from the walls.	true	76.26	93.7	20
8461_281231_000002_000000	And so for some time the fight went on; many combatants falling on either side.	And so for some time the fight went on; many combatants falling on either side.	true	94.94	100.69	20.978565
8461_281231_000002_000001	But soon the conflict became even more desperate when the Black Knight, at the head of a body of his followers, led an attack upon the outer barrier of the barbican.	But soon the conflict became even more desperate when the Black Knight, at the head of a body of his followers, led an attack upon the outer barrier of the barbican.	true	101.48	111.43	23.151567
8461_281231_000002_000002	Down came the piles and palisades before their irresistible onslaught; but their headlong rush through the broken barriers was met by Front-de- Boeuf himself and a number of the defenders.	Down came the piles and palisades before their irresistible onslaught; but their headlong rush through the broken barriers was met by Front de Boeuf himself and a number of the defenders.	false	112.52	124.45	21.4168
8461_281231_000003_000000	The two leaders came face to face, and fought hand to hand on the breach amid the roar of their followers who watched the progress of the strife.	The two leaders came face to face, and fought hand to hand on the breach amid the roar of their followers who watched the progress of the strife.	false	126.02	134.97	21
8461_281231_000003_000001	Hot and fierce was the combat that ensued between them; but ere many minutes had passed the giant form of Front-de- Boeuf tottered like an oak under the steel of the woodman, and dropped to the ground.	Hot and fierce was the combat that ensued between them; but ere many minutes had passed the giant form of Front de Boeuf tottered like an oak under the steel of the woodman, and dropped to the ground.	false	134.97	149.38	23.580746
8461_281231_000004_000000	His followers rushed forward to where he lay, and their united force compelling the Black Knight to pause, they dragged their wounded leader within the walls.	His followers rushed forward to where he lay, and their united force compelling the Black Knight to pause, they dragged their wounded leader within the walls.	false	150.74	160.69	21.170214
8461_281231_000005_000000	An interval of quiet now succeeded, the besiegers remaining in possession of the outer defences of the castle, and the besieged retiring for the time within the walls of the fortress.	An interval of quiet now succeeded, the besiegers remaining in possession of the outer defences of the castle, and the besieged retiring for the time within the walls of the fortress.	true	161.99	173.8	20.784286
8461_281231_000006_000000	During the confusion which reigned amongst the followers of Front- de-Boeuf when the attack had commenced, Rebecca had been allowed to take the place of the old crone, Ulrica, who was in close attendance on the wounded man who had been brought into the castle in company with Isaac of York and the other captives.	During the confusion which reigned amongst the followers of Front de Boeuf when the attack had commenced, Rebecca had been allowed to take the place of the old crone, Ulrica, who was in close attendance on the wounded man who had been brought into the castle in company with Isaac of York and the other captives.	true	175.19	193.51	21.186638
8461_281231_000006_000001	The sufferer was Ivanhoe himself, who had so mysteriously disappeared on the conclusion of the tournament, when his father, Cedric, had sent his servants to attend him to a place of safety.	The sufferer was Ivanhoe himself, who had so mysteriously disappeared on the conclusion of the tournament, when his father, Cedric, had sent his servants to attend him to a place of safety.	true	194.48	206.83	20.480406
8461_281231_000006_000002	The gallant young warrior, who, as he fell fainting to the ground, seemed to be abandoned by all the world, had been transported from the lists at the entreaty of Rebecca, to the house at Ashby then occupied by Isaac of York, where his wounds were dressed and tended by the Jewish maiden herself.	The gallant young warrior, who, as he fell fainting to the ground, seemed to be abandoned by all the world, had been transported from the lists at the entreaty of Rebecca, to the house at Ashby then occupied by Isaac of York, where his wounds were dressed and tended by the Jewish maiden herself.	true	207.95	226.72	21.983068
8461_281231_000006_000003	So great was her skill and knowledge of medicine, that she undertook to restore the injured knight to health in eight days' time; but she informed him of the necessity they were under of removing to York, and of her father's resolution to transport him thither, and tend him in his own house until his wound should be healed.	So great was her skill and knowledge of medicine, that she undertook to restore the injured knight to health in eight days' time; but she informed him of the necessity they were under of removing to York, and of her father's resolution to transport him thither, and tend him in his own house until his wound should be healed.	false	227.57	248.41	21.508429
8461_281231_000006_000004	It was on their journey to that town that they were overtaken on the road by Cedric and his party, in whose company they were afterwards carried captive to the Castle of Torquilstone.	It was on their journey to that town that they were overtaken on the road by Cedric and his party, in whose company they were afterwards carried captive to the Castle of Torquilstone.	true	248.51	258.31	21.80073
8461_281231_000007_000000	But to return to the assault.	But to return to the assault.	true	259.79	261.55	19.07032
8461_281231_000007_000001	When Front-de-Boeuf, deeply wounded, was rescued by his followers from the fury of the Black Knight, he was conveyed to his chamber.	When Front de Boeuf, deeply wounded, was rescued by his followers from the fury of the Black Knight, he was conveyed to his chamber.	false	261.74	268.74	23.75534
8461_281231_000007_000002	As he lay upon his bed, racked with pain and mental agony, and filled with the fear of rapidly approaching death, he heard a voice address him.	As he lay upon his bed, racked with pain and mental agony, and filled with the fear of rapidly approaching death, he heard a voice address him.	false	268.74	278.44	22.585743
